Commodity code,Commodity,Renminbi Yuan
1,Live animals,623617085.0
2,Meat and edible meat offal,672593019.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",9656850155.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",377223997.0
5,"roducts of animal origin,not elsewhere specified or included",929847700.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",204431347.0
7,Edible vegetables and certain roots and tubers,6390574413.0
8,Edible fruit and nuts; peel of citrus fruit or melons,5173592567.0
9,"Coffee, tea, maté and spices",1720915996.0
10,Cereals,225791788.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,406904397.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",2409717647.0
13,"Lac; gums, resins and other vegetable saps and extracts",846687806.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,70992158.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,449705878.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",4977648240.0
17,Sugars and sugar confectionery,986701288.0
18,Cocoa and cocoa preparations,339539435.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",949435948.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",4828144377.0
21,Miscellaneous edible preparations,1918541323.0
22,"Beverages, spirits and vinegar",1388648982.0
23,Residues and waste from the food industries; prepared animal fodder,1537188556.0
24,Tobacco and manufactured tobacco substitutes,1299795227.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",2271854478.0
26,"Ores, slag and ash",206927348.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",16940810055.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",7544932459.0
29,Organic chemicals,24373097052.0
30,Pharmaceutical products,4047284434.0
31,Fertilisers,7238369095.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,3569982897.0
33,Essential oils and resinoids; perfumery,2735502195.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",2007909879.0
35,Albuminoidal substances; modified starches;,1497004719.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,384265680.0
37,Photographic or cinematographic goods,677547050.0
38,Miscellaneous chemical products,7228381028.0
39,Plastics and articles thereof,39331236945.0
40,Rubber and articles thereof,11789187298.0
41,Raw hides and skins (other than furskins) and leather,321756714.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",18763793720.0
43,Furskins and artificial fur; manufactures thereof,1567385694.0
44,Wood and articles of wood; wood charcoal,8125212571.0
45,Cork and articles of cork,13696978.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",955679937.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,79402535.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",10689159341.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2380677427.0
50,ilk,720965472.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1290574977.0
52,Cotton,8824150603.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,1038728069.0
54,Man-made filaments; strip and the like of man-made textile materials,9485704723.0
55,Man-made staple fibres,6928540119.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",2754727762.0
57,Carpets and other textile floor coverings,1494120709.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,2714354955.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",3968796507.0
60,Knitted or crocheted fabrics,7964859164.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",53590200810.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",48208301578.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,16132516669.0
64,"Footwear, gaiters and the like; parts of such articles",33341391446.0
65,Headgear and parts thereof,2942855074.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",2042193827.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,3855651577.0
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",8377338495.0
69,Geramic products,18069078165.0
70,Glass and glassware,9559628889.0
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",33881023738.0
72,Iron and steel,23875800018.0
73,Articles of iron or steel,35337839692.0
74,Copper and articles thereof,3051063951.0
75,Nickel and articles thereof,175456674.0
76,Aluminium and articles thereof,12855986156.0
78,Lead and articles thereof,90442043.0
79,Zinc and articles thereof,235529264.0
80,Tin and articles thereof,83301173.0
81,Other base metals; cermets; articles thereof,1360052269.0
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",8691994754.0
83,Miscellaneous articles of base metal,12041794311.0
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",217582350425.0
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",398094228473.0
86,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",6169939729.0
87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",36430001441.0
88,"Aircraft, spacecraft, and parts thereof",4228928521.0
89,"Ships, boats and floating structures",15746861486.0
90,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof",47562717495.0
91,Clocks and watches and parts thereof,3788170792.0
92,Musical instruments; parts and accessories of such articles,895173061.0
93,Arms and ammunition; parts and accessories thereof,85976673.0
94,"Furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",61633774262.0
95,"Toys, games and sports requisites;parts and accessories thereof",21824704130.0
96,Miscellaneous manufactured articles,9561742166.0
97,"Works of art, collectors' pieces and antiques",210975405.0
98,Commodities not classified accroding to kind,217898120.0
