商品编码,商品名称,人民币
1,第1章 活动物,317279257
2,第2章 肉及食用...,484548294
3,第3章 鱼、甲壳...,6915325169
4,第4章 乳品；蛋...,308233284
5,第5章 其他动物...,1377949847
6,第6章 活树及其...,162573750
7,第7章 食用蔬菜...,6398722174
8,第8章 食用水果...,2421615244
9,第9章 咖啡、茶...,1689574069
10,第10章 谷物,300581160
11,第11章 制粉工业...,339846347
12,第12章 含油子仁...,1112303909
13,第13章 虫胶；树...,757250792
14,第14章 编结用植...,78379763
15,第15章 动、植物...,497151307
16,第16章 肉、鱼、...,5452094580
17,第17章 糖及糖食,1044645374
18,第18章 可可及可...,174631971
19,第19章 谷物、粮...,970668881
20,第20章 蔬菜、水...,4262441470
21,第21章 杂项食品,1886288771
22,第22章 饮料、酒...,1108571160
23,第23章 食品工业...,1580655574
24,第24章 烟草、烟...,845885930
25,第25章 盐；硫磺...,1817407558
26,第26章 矿砂、矿...,464125070
27,第27章 矿物燃料...,20056519065
28,第28章 无机化学...,8981646641
29,第29章 有机化学...,27173613967
30,第30章 药品,4192331637
31,第31章 肥料,4053727220
32,第32章 鞣料浸膏...,3985051289
33,第33章 精油及香...,2753874630
34,第34章 肥皂、有...,2067779810
35,第35章 蛋白类物...,1744607394
36,第36章 炸药；烟...,424305824
37,第37章 照相及电...,588701401
38,第38章 杂项化学...,9192939929
39,第39章 塑料及其...,40372434055
40,第40章 橡胶及其...,12635595419
41,第41章 生皮（毛...,306130900
42,第42章 皮革制品...,17469363952
43,第43章 毛皮、人...,2843207140
44,第44章 木及木制...,7995409908
45,第45章 软木及软...,10200004
46,第46章 稻草、秸...,759912588
47,第47章 木浆及其...,88381566
48,第48章 纸及纸板...,11372256605
49,第49章 书籍、报...,2473736452
50,第50章 蚕丝,567137082
51,第51章 羊毛、动...,1165554599
52,第52章 棉花,8064836389
53,第53章 其他植物...,386219894
54,第54章 化学纤维...,10393518964
55,第55章 化学纤维...,6858628399
56,第56章 絮胎、毡...,2977884188
57,第57章 地毯及纺...,1542587558
58,第58章 特种机织...,2736041176
59,第58章 浸渍、涂...,4160671697
60,第60章 针织物及...,10439960850
61,第61章 针织或钩...,50047359754
62,第62章 非针织或...,50906852319
63,第63章 其他纺织...,15335243024
64,第64章 鞋靴、护...,31903211587
65,第65章 帽类及其...,2876850953
66,第66章 雨伞、阳...,1297902252
67,第67章 已加工羽...,3724239208
68,第68章 石料、石...,6676516190
69,第69章 陶瓷产品,11822272735
70,第70章 玻璃及其...,8970727881
71,第71章 天然或养...,9994247250
72,第72章 钢铁,25703937812
73,第73章 钢铁制品,33326491447
74,第74章 铜及其制...,3151802534
75,第75章 镍及其制...,266967017
76,第76章 铝及其制...,13438879820
78,第78章 铅及其制...,23868270
79,第79章 锌及其制...,127330327
80,第80章 锡及其制...,32739264
81,第81章 其他贱金...,1807781244
82,第82章 贱金属工...,8998218916
83,第83章 贱金属杂...,10024292187
84,第84章 核反应堆...,223597650247
85,第85章 电机、电...,323536571266
86,第86章 铁道及电...,6074307499
87,第87章 车辆及其...,38614934539
88,第88章 航空器、...,2377037151
89,第89章 船舶及浮...,9506308892
90,第90章 光学、照...,40445992860
91,第91章 钟表及其...,2655716609
92,第92章 乐器及其...,938302550
93,第93章 武器、弹...,82165118
94,第94章 家具；寝...,51381020144
95,第95章 玩具、游...,37073395952
96,第96章 杂项制品,9007510393
97,第97章 艺术品、...,67794507
98,第98章 特殊交易...,1894516890
