Commodity code,Commodity,Renminbi Yuan
1,Live animals,266040287.0
2,Meat and edible meat offal,419819719.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6937065456.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",349917635.0
5,"roducts of animal origin,not elsewhere specified or included",1512284114.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",285085803.0
7,Edible vegetables and certain roots and tubers,5617998837.0
8,Edible fruit and nuts; peel of citrus fruit or melons,2352723046.0
9,"Coffee, tea, maté and spices",2096604983.0
10,Cereals,632379061.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,504557454.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1895404026.0
13,"Lac; gums, resins and other vegetable saps and extracts",998162541.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,88683000.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,608126620.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",5233268362.0
17,Sugars and sugar confectionery,939992122.0
18,Cocoa and cocoa preparations,207928953.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1228161530.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",4609828839.0
21,Miscellaneous edible preparations,2369343481.0
22,"Beverages, spirits and vinegar",1072838599.0
23,Residues and waste from the food industries; prepared animal fodder,1815811141.0
24,Tobacco and manufactured tobacco substitutes,633089316.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",2214589146.0
26,"Ores, slag and ash",443118721.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",33011403759.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",11133463134.0
29,Organic chemicals,38855902288.0
30,Pharmaceutical products,5554092106.0
31,Fertilisers,3833636629.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,4960005076.0
33,Essential oils and resinoids; perfumery,3219497947.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",2473533445.0
35,Albuminoidal substances; modified starches;,1872462865.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,301929178.0
37,Photographic or cinematographic goods,701792126.0
38,Miscellaneous chemical products,10636717616.0
39,Plastics and articles thereof,46296872794.0
40,Rubber and articles thereof,13230127070.0
41,Raw hides and skins (other than furskins) and leather,466923962.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",12058803129.0
43,Furskins and artificial fur; manufactures thereof,1423839983.0
44,Wood and articles of wood; wood charcoal,6484569103.0
45,Cork and articles of cork,12385742.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",991086648.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,91125989.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",11970580666.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1943462069.0
50,ilk,483589507.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1707310487.0
52,Cotton,9047806819.0
