Commodity code,Commodity,Renminbi Yuan
1,Live animals,279339782.0
2,Meat and edible meat offal,505490132.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6639152766.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",312314471.0
5,"roducts of animal origin,not elsewhere specified or included",1467969327.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",225283637.0
7,Edible vegetables and certain roots and tubers,5723733547.0
8,Edible fruit and nuts; peel of citrus fruit or melons,3607229752.0
9,"Coffee, tea, maté and spices",2239171922.0
10,Cereals,640819593.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,524211332.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1006985887.0
13,"Lac; gums, resins and other vegetable saps and extracts",828221956.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,62018903.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,861959798.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",4850741305.0
17,Sugars and sugar confectionery,1125795395.0
18,Cocoa and cocoa preparations,261640926.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1381406609.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",4305021778.0
21,Miscellaneous edible preparations,2284684016.0
22,"Beverages, spirits and vinegar",1185904866.0
23,Residues and waste from the food industries; prepared animal fodder,1630963061.0
24,Tobacco and manufactured tobacco substitutes,763147627.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",1774361665.0
26,"Ores, slag and ash",656603152.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",20902314678.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",9563452554.0
29,Organic chemicals,31529287547.0
30,Pharmaceutical products,5172619637.0
31,Fertilisers,4423377424.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,4520147553.0
33,Essential oils and resinoids; perfumery,4150836914.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",2780432029.0
35,Albuminoidal substances; modified starches;,1911796519.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,747228988.0
37,Photographic or cinematographic goods,617216858.0
38,Miscellaneous chemical products,9740243999.0
39,Plastics and articles thereof,50352594547.0
40,Rubber and articles thereof,13023273948.0
41,Raw hides and skins (other than furskins) and leather,360809323.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",17394029474.0
43,Furskins and artificial fur; manufactures thereof,2752924638.0
44,Wood and articles of wood; wood charcoal,7532945164.0
45,Cork and articles of cork,13555410.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",914400765.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,85266162.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",13748529866.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2926170177.0
50,ilk,528991471.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1126106388.0
52,Cotton,7480292940.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,520258009.0
54,Man-made filaments; strip and the like of man-made textile materials,12509614251.0
55,Man-made staple fibres,6798509259.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",3466584285.0
57,Carpets and other textile floor coverings,1716021776.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,2870440543.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",4519103450.0
60,Knitted or crocheted fabrics,11418694286.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",53662871270.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",45961758831.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,17112593159.0
64,"Footwear, gaiters and the like; parts of such articles",30366314364.0
65,Headgear and parts thereof,3356342997.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",1318922908.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,5167780987.0
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",6376826834.0
69,Geramic products,15760668636.0
70,Glass and glassware,10739404909.0
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",12213114513.0
72,Iron and steel,21781754798.0
73,Articles of iron or steel,40405042207.0
74,Copper and articles thereof,3479987100.0
75,Nickel and articles thereof,403642568.0
76,Aluminium and articles thereof,15074865270.0
78,Lead and articles thereof,27647804.0
79,Zinc and articles thereof,204248582.0
80,Tin and articles thereof,51612298.0
81,Other base metals; cermets; articles thereof,2004463852.0
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",9989395001.0
83,Miscellaneous articles of base metal,11166431754.0
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",232082707485.0
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",391264655347.0
86,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",4155228845.0
87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",43516820542.0
88,"Aircraft, spacecraft, and parts thereof",1630824159.0
89,"Ships, boats and floating structures",12732369485.0
90,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof",44112991153.0
91,Clocks and watches and parts thereof,3044823503.0
92,Musical instruments; parts and accessories of such articles,1225555113.0
93,Arms and ammunition; parts and accessories thereof,88179001.0
94,"Furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",58610382424.0
95,"Toys, games and sports requisites;parts and accessories thereof",55574204726.0
96,Miscellaneous manufactured articles,10656711792.0
97,"Works of art, collectors' pieces and antiques",199963605.0
98,Commodities not classified accroding to kind,10383138354.0
