商品编码,商品名称,人民币
1,第1章 活动物,297429470
2,第2章 肉及食用...,724973168
3,第3章 鱼、甲壳...,5870128148
4,第4章 乳品；蛋...,422878403
5,第5章 其他动物...,1113152901
6,第6章 活树及其...,291926893
7,第7章 食用蔬菜...,8078922300
8,第8章 食用水果...,3583795812
9,第9章 咖啡、茶...,2128340157
10,第10章 谷物,247509032
11,第11章 制粉工业...,651099063
12,第12章 含油子仁...,1809671696
13,第13章 虫胶；树...,1289569090
14,第14章 编结用植...,156444564
15,动、植物或微生物油、...,2783807581
16,第16章 肉、鱼、...,6936258769
17,第17章 糖及糖食,2023921386
18,第18章 可可及可...,244876055
19,第19章 谷物、粮...,1790962443
20,第20章 蔬菜、水...,5249412907
21,第21章 杂项食品,3909614524
22,第22章 饮料、酒...,1633944230
23,第23章 食品工业...,2774352061
24,第24章 烟草、烟...,6119845858
25,第25章 盐；硫磺...,2092278232
26,第26章 矿砂、矿...,2848719842
27,第27章 矿物燃料...,34129781523
28,第28章 无机化学...,17090275416
29,第29章 有机化学...,51244412151
30,第30章 药品,7857075201
31,第31章 肥料,5940319356
32,第32章 鞣料浸膏...,6718807842
33,第33章 精油及香...,5485981554
34,第34章 肥皂、有...,4838062707
35,第35章 蛋白类物...,3045593405
36,第36章 炸药；烟...,711852676
37,第37章 照相及电...,872559099
38,第38章 杂项化学...,17694475688
39,第39章 塑料及其...,88374730086
40,第40章 橡胶及其...,23624896693
41,第41章 生皮（毛...,704957605
42,第42章 皮革制品...,24712769141
43,第43章 毛皮、人...,471480981
44,第44章 木及木制...,10104853980
45,第45章 软木及软...,27543641
46,第46章 稻草、秸...,785535579
47,第47章 木浆及其...,200673359
48,第48章 纸及纸板...,18839387441
49,第49章 书籍、报...,3308399821
50,第50章 蚕丝,394122241
51,第51章 羊毛、动...,1127834748
52,第52章 棉花,6198524050
53,第53章 其他植物...,517482653
54,第54章 化学纤维...,17855763860
55,第55章 化学纤维...,8482688869
56,第56章 絮胎、毡...,4968439767
57,第57章 地毯及纺...,2637846676
58,第58章 特种机织...,3822095477
59,第59章 浸渍、涂...,5996265614
60,第60章 针织物及...,15684925133
61,第61章 针织或钩...,58120629269
62,第62章 非针织或...,45465340546
63,第63章 其他纺织...,21599030207
64,第64章 鞋靴、护...,32803402549
65,第65章 帽类及其...,3918131634
66,第66章 雨伞、阳...,2001667556
67,第67章 已加工羽...,6786732909
68,第68章 石料、石...,6821608903
69,第69章 陶瓷产品,11791241767
70,第70章 玻璃及其...,15682117066
71,第71章 天然或养...,18469811704
72,第72章 钢铁,39163765794
73,第73章 钢铁制品,60803058898
74,第74章 铜及其制...,17776124751
75,第75章 镍及其制...,1880998486
76,第76章 铝及其制...,25443803021
78,第78章 铅及其制...,58593180
79,第79章 锌及其制...,123355923
80,第80章 锡及其制...,365256908
81,第81章 其他贱金...,3321074054
82,第82章 贱金属工...,16066673669
83,第83章 贱金属杂...,16952428251
84,第84章 核反应堆...,353192725628
85,第85章 电机、电...,542680385190
86,第86章 铁道及电...,12807155448
87,第87章 车辆及其...,124635006352
88,第88章 航空器、...,4047848853
89,第89章 船舶及浮...,26331907856
90,第90章 光学、照...,44880160817
91,第91章 钟表及其...,3221594117
92,第92章 乐器及其...,1489126885
93,第93章 武器、弹...,155629905
94,第94章 家具；寝...,75183144855
95,第95章 玩具、游...,54324460573
96,第96章 杂项制品,19134162187
97,第97章 艺术品、...,349950671
98,第98章 特殊交易...,56652863777
99,跨境电商B2B简化申...,1325717081
