Commodity code,Commodity,US dollar
1,Live animals,55709472.0
2,Meat and edible meat offal,78308389.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1144759343.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",45120097.0
5,"roducts of animal origin,not elsewhere specified or included",140548867.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",26751235.0
7,Edible vegetables and certain roots and tubers,960474275.0
8,Edible fruit and nuts; peel of citrus fruit or melons,452693848.0
9,"Coffee, tea, maté and spices",236090179.0
10,Cereals,18164245.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,41209663.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",185448339.0
13,"Lac; gums, resins and other vegetable saps and extracts",111139066.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,9980887.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,46547151.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",717432760.0
17,Sugars and sugar confectionery,151009743.0
18,Cocoa and cocoa preparations,24888470.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",134223391.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",616611454.0
21,Miscellaneous edible preparations,265131027.0
22,"Beverages, spirits and vinegar",197741699.0
23,Residues and waste from the food industries; prepared animal fodder,254042873.0
24,Tobacco and manufactured tobacco substitutes,126527261.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",234879007.0
26,"Ores, slag and ash",19219568.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2433316856.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",1029303863.0
29,Organic chemicals,3659784452.0
30,Pharmaceutical products,598310134.0
31,Fertilisers,568627309.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,517621337.0
33,Essential oils and resinoids; perfumery,377863185.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",278562257.0
35,Albuminoidal substances; modified starches;,205128619.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,46729124.0
37,Photographic or cinematographic goods,90089158.0
38,Miscellaneous chemical products,1148294134.0
39,Plastics and articles thereof,5338722539.0
40,Rubber and articles thereof,1727057985.0
41,Raw hides and skins (other than furskins) and leather,53029332.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",2349516282.0
43,Furskins and artificial fur; manufactures thereof,366376456.0
44,Wood and articles of wood; wood charcoal,1195167679.0
45,Cork and articles of cork,1600477.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",121906961.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,8608040.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",1551167953.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",369087864.0
50,ilk,82805396.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",187597469.0
52,Cotton,1251725311.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,52189084.0
54,Man-made filaments; strip and the like of man-made textile materials,1400862349.0
55,Man-made staple fibres,1055379047.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",421668525.0
57,Carpets and other textile floor coverings,210892189.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,391006964.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",580293695.0
60,Knitted or crocheted fabrics,1329918536.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",7575506049.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",7245476544.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,2165461194.0
64,"Footwear, gaiters and the like; parts of such articles",4579494291.0
65,Headgear and parts thereof,433509430.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",210061459.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,492188145.0
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",887654925.0
69,Geramic products,1438269128.0
70,Glass and glassware,1301591945.0
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1543386106.0
72,Iron and steel,4312410037.0
73,Articles of iron or steel,4390863788.0
74,Copper and articles thereof,676750249.0
75,Nickel and articles thereof,27895666.0
76,Aluminium and articles thereof,1808878684.0
78,Lead and articles thereof,3317021.0
79,Zinc and articles thereof,25768719.0
80,Tin and articles thereof,4931578.0
81,Other base metals; cermets; articles thereof,212835717.0
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1145804101.0
83,Miscellaneous articles of base metal,1318933942.0
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",28462924515.0
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",45601907500.0
86,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",523169744.0
87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",5149696511.0
88,"Aircraft, spacecraft, and parts thereof",217535118.0
89,"Ships, boats and floating structures",1928949300.0
90,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof",5683033230.0
91,Clocks and watches and parts thereof,454575698.0
92,Musical instruments; parts and accessories of such articles,132926002.0
93,Arms and ammunition; parts and accessories thereof,12945474.0
94,"Furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",7405539842.0
95,"Toys, games and sports requisites;parts and accessories thereof",4349502383.0
96,Miscellaneous manufactured articles,1296472847.0
97,"Works of art, collectors' pieces and antiques",16612506.0
98,Commodities not classified accroding to kind,327573124.0
