Commodity code,Commodity,US dollar
1,Live animals,39358628.0
2,Meat and edible meat offal,62177477.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1027132199.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",51780622.0
5,"roducts of animal origin,not elsewhere specified or included",223944616.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",42229979.0
7,Edible vegetables and certain roots and tubers,833171713.0
8,Edible fruit and nuts; peel of citrus fruit or melons,349430592.0
9,"Coffee, tea, maté and spices",310485287.0
10,Cereals,93510195.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,74707278.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",280863957.0
13,"Lac; gums, resins and other vegetable saps and extracts",147824033.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,13143088.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,89875202.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",774495536.0
17,Sugars and sugar confectionery,139199017.0
18,Cocoa and cocoa preparations,30792016.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",182211111.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",682292189.0
21,Miscellaneous edible preparations,350825744.0
22,"Beverages, spirits and vinegar",158849077.0
23,Residues and waste from the food industries; prepared animal fodder,268759323.0
24,Tobacco and manufactured tobacco substitutes,93755092.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",327208968.0
26,"Ores, slag and ash",65521064.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4850375559.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",1647630486.0
29,Organic chemicals,5753429564.0
30,Pharmaceutical products,823747546.0
31,Fertilisers,564695667.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,734339743.0
33,Essential oils and resinoids; perfumery,477620728.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",366335657.0
35,Albuminoidal substances; modified starches;,277316742.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,44660298.0
37,Photographic or cinematographic goods,103913205.0
38,Miscellaneous chemical products,1574544170.0
39,Plastics and articles thereof,6853988777.0
40,Rubber and articles thereof,1958931587.0
41,Raw hides and skins (other than furskins) and leather,69121671.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",1785719732.0
43,Furskins and artificial fur; manufactures thereof,210757384.0
44,Wood and articles of wood; wood charcoal,960217996.0
45,Cork and articles of cork,1839283.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",146788153.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,13467311.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",1772917201.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",287889311.0
50,ilk,71572168.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",252763355.0
52,Cotton,1339706822.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,105231672.0
54,Man-made filaments; strip and the like of man-made textile materials,1750158865.0
55,Man-made staple fibres,1025875137.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",484642895.0
57,Carpets and other textile floor coverings,219425035.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,429015606.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",659915926.0
60,Knitted or crocheted fabrics,1356754151.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",3961331445.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",3926159836.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,1999066384.0
64,"Footwear, gaiters and the like; parts of such articles",2891442193.0
65,Headgear and parts thereof,300385782.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",255413995.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,555354542.0
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",931957162.0
69,Geramic products,1492638045.0
70,Glass and glassware,1417842362.0
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1554749493.0
72,Iron and steel,3834637241.0
73,Articles of iron or steel,5397482731.0
74,Copper and articles thereof,615005205.0
75,Nickel and articles thereof,32443410.0
76,Aluminium and articles thereof,2222594858.0
78,Lead and articles thereof,2689439.0
79,Zinc and articles thereof,14970796.0
80,Tin and articles thereof,15648684.0
81,Other base metals; cermets; articles thereof,338067662.0
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1129509020.0
83,Miscellaneous articles of base metal,1257416759.0
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",36292400863.0
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",53379541290.0
