商品编码,商品名称,美元
1,第1章 活动物,40657260
2,第2章 肉及食用...,83262064
3,第3章 鱼、甲壳...,799258781
4,第4章 乳品；蛋...,58127243
5,第5章 其他动物...,153163050
6,第6章 活树及其...,36904865
7,第7章 食用蔬菜...,872041197
8,第8章 食用水果...,289785160
9,第9章 咖啡、茶...,304216247
10,第10章 谷物,77959003
11,第11章 制粉工业...,84058403
12,第12章 含油子仁...,216302608
13,第13章 虫胶；树...,183175322
14,第14章 编结用植...,20376002
15,动、植物或微生物油、...,198789988
16,第16章 肉、鱼、...,863576025
17,第17章 糖及糖食,259675311
18,第18章 可可及可...,29350245
19,第19章 谷物、粮...,227628912
20,第20章 蔬菜、水...,785038677
21,第21章 杂项食品,639999433
22,第22章 饮料、酒...,298783143
23,第23章 食品工业...,360276902
24,第24章 烟草、烟...,804717155
25,第25章 盐；硫磺...,252758879
26,第26章 矿砂、矿...,329964896
27,第27章 矿物燃料...,4124654049
28,第28章 无机化学...,2751609634
29,第29章 有机化学...,6307651295
30,第30章 药品,918603950
31,第31章 肥料,900130301
32,第32章 鞣料浸膏...,788172086
33,第33章 精油及香...,695385267
34,第34章 肥皂、有...,592039251
35,第35章 蛋白类物...,369375302
36,第36章 炸药；烟...,117680546
37,第37章 照相及电...,105642742
38,第38章 杂项化学...,2592310266
39,第39章 塑料及其...,11169206931
40,第40章 橡胶及其...,3026143278
41,第41章 生皮（毛...,72450731
42,第42章 皮革制品...,3567125899
43,第43章 毛皮、人...,125059938
44,第44章 木及木制...,1355821273
45,第45章 软木及软...,3910662
46,第46章 稻草、秸...,134280038
47,第47章 木浆及其...,23658589
48,第48章 纸及纸板...,2463078655
49,第49章 书籍、报...,398301354
50,第50章 蚕丝,65092382
51,第51章 羊毛、动...,185796039
52,第52章 棉花,850497670
53,第53章 其他植物...,62990601
54,第54章 化学纤维...,2560409894
55,第55章 化学纤维...,1137659276
56,第56章 絮胎、毡...,662978098
57,第57章 地毯及纺...,319755565
58,第58章 特种机织...,496048038
59,第59章 浸渍、涂...,806998788
60,第60章 针织物及...,1889539056
61,第61章 针织或钩...,7839394714
62,第62章 非针织或...,6964463570
63,第63章 其他纺织...,2796328190
64,第64章 鞋靴、护...,4791739128
65,第65章 帽类及其...,542167952
66,第66章 雨伞、阳...,259642427
67,第67章 已加工羽...,896994931
68,第68章 石料、石...,1040642511
69,第69章 陶瓷产品,2133530133
70,第70章 玻璃及其...,2069010349
71,第71章 天然或养...,2566665104
72,第72章 钢铁,5285225475
73,第73章 钢铁制品,8087641828
74,第74章 铜及其制...,849209783
75,第75章 镍及其制...,87660067
76,第76章 铝及其制...,2982695143
78,第78章 铅及其制...,34674592
79,第79章 锌及其制...,15660863
80,第80章 锡及其制...,36063502
81,第81章 其他贱金...,394137711
82,第82章 贱金属工...,2044316464
83,第83章 贱金属杂...,2232844767
84,第84章 核反应堆...,44564547247
85,第85章 电机、电...,71305390013
86,第86章 铁道及电...,1120268514
87,第87章 车辆及其...,15697551307
88,第88章 航空器、...,1235252850
89,第89章 船舶及浮...,4081353671
90,第90章 光学、照...,5960612394
91,第91章 钟表及其...,418756874
92,第92章 乐器及其...,181511333
93,第93章 武器、弹...,16086921
94,第94章 家具；寝...,10157751214
95,第95章 玩具、游...,8217526889
96,第96章 杂项制品,2387079370
97,第97章 艺术品、...,54580138
98,第98章 特殊交易...,4636090651
99,跨境电商B2B简化申...,170827478
