商品编码,商品名称,美元
1,第1章   活动物,36481724.0
2,第2章   肉及食用杂碎,137663920.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,863645439.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,81644725.0
5,第5章   其他动物产品,167963962.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,54687337.0
7,第7章   食用蔬菜、根及块茎,829530813.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,533289483.0
9,第9章   咖啡、茶、马黛茶及调味香料,279935843.0
10,第10章  谷物,57320901.0
11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,70688306.0
12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,216734349.0
13,第13章  虫胶；树胶、树脂及其他植物液、汁,165445093.0
14,第14章  编结用植物材料；其他植物产品,29225613.0
15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,347149211.0
16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,897282395.0
17,第17章  糖及糖食,299687018.0
18,第18章  可可及可可制品,59843586.0
19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,274864836.0
20,第20章  蔬菜、水果、坚果或植物其他部分的制品,671672621.0
21,第21章  杂项食品,579566634.0
22,第22章  饮料、酒及醋,231402137.0
23,第23章  食品工业的残渣及废料；配制的动物饲料,305711174.0
24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,724292773.0
25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,293223849.0
26,第26章  矿砂、矿渣及矿灰,245421041.0
27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,4508626534.0
28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,2212821975.0
29,第29章  有机化学品,6868003057.0
30,第30章  药品,1460793481.0
31,第31章  肥料,1862354495.0
32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,803786443.0
33,第33章  精油及香膏；芳香料制品及化妆盥洗品,871394964.0
