商品编码,商品名称,人民币
1,第1章 活动物,317575883
2,第2章 肉及食用...,3468690058
3,第3章 鱼、甲壳...,2999378028
4,第4章 乳品;蛋...,1477946020
5,第5章 其他动物...,220220754
6,第6章 活树及其...,118949305
7,第7章 食用蔬菜...,1080171530
8,第8章 食用水果...,2678840893
9,第9章 咖啡、茶...,220692162
10,第10章 谷物,4254621362
11,第11章 制粉工业...,352172773
12,第12章 含油子仁...,23102548293
13,第13章 虫胶;树...,111581052
14,第14章 编结用植...,73759311
15,第15章 动、植物...,3915460205
16,第16章 肉、鱼、...,126985407
17,第17章 糖及糖食,756974397
18,第18章 可可及可...,393330100
19,第19章 谷物、粮...,2136295261
20,第20章 蔬菜、水...,449557625
21,第21章 杂项食品,888713762
22,第22章 饮料、酒...,2366085917
23,第23章 食品工业...,2945558186
24,第24章 烟草、烟...,417179629
25,第25章 盐;硫磺...,2987393485
26,第26章 矿砂、矿...,44985213826
27,第27章 矿物燃料...,98673777722
28,第28章 无机化学...,5854927802
29,第29章 有机化学...,23243321778
30,第30章 药品,8870238650
31,第31章 肥料,2334066229
32,第32章 鞣料浸膏...,2052493408
33,第33章 精油及香...,2128688519
34,第34章 肥皂、有...,1919723123
35,第35章 蛋白类物...,1507993020
36,第36章 炸药;烟...,105392523
37,第37章 照相及电...,1104418905
38,第38章 杂项化学...,7038833463
39,第39章 塑料及其...,32922941311
40,第40章 橡胶及其...,6918201021
41,第41章 生皮（毛...,3366789666
42,第42章 皮革制品...,1093820012
43,第43章 毛皮、人...,942333520
44,第44章 木及木制...,8753408625
45,第45章 软木及软...,20585321
46,第46章 稻草、秸...,5524549
47,第47章 木浆及其...,9109992229
48,第48章 纸及纸板...,1994485352
49,第49章 书籍、报...,766382323
50,第50章 蚕丝,28881454
51,第51章 羊毛、动...,1825780457
52,第52章 棉花,4848388426
53,第53章 其他植物...,474941339
54,第54章 化学纤维...,1471661170
55,第55章 化学纤维...,1348394803
56,第56章 絮胎、毡...,553285229
57,第57章 地毯及纺...,72346881
58,第58章 特种机织...,268810349
59,第58章 浸渍、涂...,853108512
60,第60章 针织物及...,910081036
61,第61章 针织或钩...,1487826977
62,第62章 非针织或...,2373001898
63,第63章 其他纺织...,208045051
64,第64章 鞋靴、护...,1625031670
65,第65章 帽类及其...,26762474
66,第66章 雨伞、阳...,6771734
67,第67章 已加工羽...,82011259
68,第68章 石料、石...,755677700
69,第69章 陶瓷产品,353918411
70,第70章 玻璃及其...,3403324809
71,第71章 天然或养...,44743208873
72,第72章 钢铁,8655119652
73,第73章 钢铁制品,4596473006
74,第74章 铜及其制...,17035972742
75,第75章 镍及其制...,2274130291
76,第76章 铝及其制...,3855525722
78,第78章 铅及其制...,17051028
79,第79章 锌及其制...,599341104
80,第80章 锡及其制...,184087202
81,第81章 其他贱金...,1069633974
82,第82章 贱金属工...,1642312276
83,第83章 贱金属杂...,775546546
84,第84章 核反应堆...,79119717085
85,第85章 电机、电...,219440696771
86,第86章 铁道及电...,706020778
87,第87章 车辆及其...,30544320933
88,第88章 航空器、...,13652011380
89,第89章 船舶及浮...,304570068
90,第90章 光学、照...,50145664750
91,第91章 钟表及其...,1723015797
92,第92章 乐器及其...,174115476
93,第93章 武器、弹...,157804
94,第94章 家具;寝...,1561952543
95,第95章 玩具、游...,994862389
96,第96章 杂项制品,1136861433
97,第97章 艺术品、...,240410116
98,第98章 特殊交易...,3441074846
