Commodity code,Commodity,Renminbi Yuan
1,Live animals,356601146.0
2,Meat and edible meat offal,5170912391.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3546108635.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1740904831.0
5,"roducts of animal origin,not elsewhere specified or included",285743231.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",119748777.0
7,Edible vegetables and certain roots and tubers,1101503626.0
8,Edible fruit and nuts; peel of citrus fruit or melons,3832534585.0
9,"Coffee, tea, maté and spices",251422391.0
10,Cereals,4478168119.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,650834292.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",19963093694.0
13,"Lac; gums, resins and other vegetable saps and extracts",113951370.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,104473928.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,3406461867.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",62908877.0
17,Sugars and sugar confectionery,693570367.0
18,Cocoa and cocoa preparations,244658202.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1868848737.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",463337045.0
21,Miscellaneous edible preparations,1204521400.0
22,"Beverages, spirits and vinegar",2527912297.0
23,Residues and waste from the food industries; prepared animal fodder,1943477253.0
24,Tobacco and manufactured tobacco substitutes,3186059589.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",2356963407.0
26,"Ores, slag and ash",47219475585.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",93148208787.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",4854625963.0
29,Organic chemicals,23809948291.0
30,Pharmaceutical products,10019039194.0
31,Fertilisers,1853148851.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,2243680062.0
33,Essential oils and resinoids; perfumery,2616901269.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",2053495898.0
35,Albuminoidal substances; modified starches;,1541720980.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,110429859.0
37,Photographic or cinematographic goods,1294971734.0
38,Miscellaneous chemical products,7877618524.0
39,Plastics and articles thereof,32674129249.0
40,Rubber and articles thereof,7145767036.0
41,Raw hides and skins (other than furskins) and leather,3468397593.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",1061743543.0
43,Furskins and artificial fur; manufactures thereof,1005321163.0
44,Wood and articles of wood; wood charcoal,11018877419.0
45,Cork and articles of cork,21303799.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",6411561.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,9195373694.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",2109644585.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",728741976.0
50,ilk,36350996.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2051067087.0
52,Cotton,4169932362.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,474141055.0
54,Man-made filaments; strip and the like of man-made textile materials,1685032155.0
55,Man-made staple fibres,1141011887.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",639069155.0
57,Carpets and other textile floor coverings,76545562.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,316183910.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",1059938249.0
60,Knitted or crocheted fabrics,1036588882.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",1002010821.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",1429021772.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,249752618.0
64,"Footwear, gaiters and the like; parts of such articles",1207028092.0
65,Headgear and parts thereof,26690239.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",6536052.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,169616651.0
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",824341282.0
69,Geramic products,374692910.0
70,Glass and glassware,3622956090.0
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",30508053744.0
72,Iron and steel,8557085528.0
73,Articles of iron or steel,5171946691.0
74,Copper and articles thereof,18901937766.0
75,Nickel and articles thereof,3469727971.0
76,Aluminium and articles thereof,2897486484.0
78,Lead and articles thereof,29481518.0
79,Zinc and articles thereof,642562396.0
80,Tin and articles thereof,125170213.0
81,Other base metals; cermets; articles thereof,977028630.0
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1623367377.0
83,Miscellaneous articles of base metal,1003392370.0
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",79621219644.0
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",208837515674.0
86,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",597868422.0
87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",38259611756.0
88,"Aircraft, spacecraft, and parts thereof",14766689745.0
89,"Ships, boats and floating structures",264017494.0
90,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof",48377562989.0
91,Clocks and watches and parts thereof,1417322521.0
92,Musical instruments; parts and accessories of such articles,188416734.0
