Commodity code,Commodity,Renminbi Yuan
1,,153541197.0
2,,4827575069.0
3,,4727559272.0
4,,2299687448.0
5,,307611944.0
6,,216181187.0
7,,1084692813.0
8,,2336659757.0
9,,205672394.0
10,,3098524713.0
11,,463314532.0
12,,17806406537.0
13,,115139526.0
14,,52311197.0
15,,4448709186.0
16,,109426363.0
17,,611995070.0
18,,481519627.0
19,,3584103583.0
20,,632495687.0
21,,1649903282.0
22,,2738154850.0
23,,1424663969.0
24,,276590545.0
25,,3252967194.0
26,,63907375207.0
27,,126502927711.0
28,,6905417670.0
29,,28448680616.0
30,,11970842408.0
31,,1393992617.0
32,,2461704352.0
33,,5009144657.0
34,,2280662235.0
35,,1794964311.0
36,,72925338.0
37,,1185489338.0
38,,8209832728.0
39,,35410427211.0
40,,8866067627.0
41,,2687070054.0
42,,1616437297.0
43,,654305896.0
44,,12253446415.0
45,,15636514.0
46,,9252956.0
47,,11058115273.0
48,,2987483339.0
49,,1065294144.0
50,,23264806.0
51,,1821614742.0
52,,4599917967.0
53,,354201129.0
54,,1651804211.0
55,,1291860451.0
56,,702534347.0
57,,68052981.0
58,,269356154.0
59,,875298667.0
60,,890006104.0
61,,1396505129.0
62,,2085010461.0
63,,264082263.0
64,,1849586146.0
65,,40876482.0
66,,5046642.0
67,,132148247.0
68,,889135653.0
69,,531128704.0
70,,3623213059.0
71,,37886016819.0
72,,11447774728.0
73,,5178503149.0
74,,21137302795.0
75,,2416623176.0
76,,3580077881.0
78,,247302485.0
79,,1531094782.0
80,,94117886.0
81,,1896830416.0
82,,1914287564.0
83,,965717838.0
84,,90047627635.0
85,,278646237285.0
86,,320673790.0
87,,42922794503.0
88,,10356703879.0
89,,677291741.0
90,,52245958446.0
91,,1797098669.0
92,,234914178.0
93,,677057.0
94,,1960635154.0
95,,1045939450.0
96,,1608797038.0
97,,36436474.0
98,,8093583924.0
