Commodity code,Commodity,Renminbi Yuan
1,Live animals,240328336.0
2,Meat and edible meat offal,11383381450.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",9529431863.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",3013352288.0
5,"roducts of animal origin,not elsewhere specified or included",458807947.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",217532148.0
7,Edible vegetables and certain roots and tubers,628060828.0
8,Edible fruit and nuts; peel of citrus fruit or melons,6203313943.0
9,"Coffee, tea, maté and spices",667347080.0
10,Cereals,2699312165.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,769673085.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",24843569722.0
13,"Lac; gums, resins and other vegetable saps and extracts",235081429.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,79952797.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,5957263023.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",235347047.0
17,Sugars and sugar confectionery,1265480833.0
18,Cocoa and cocoa preparations,615624827.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",3973031383.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",843904182.0
21,Miscellaneous edible preparations,2960767046.0
22,"Beverages, spirits and vinegar",3199767736.0
23,Residues and waste from the food industries; prepared animal fodder,2276590907.0
24,Tobacco and manufactured tobacco substitutes,525619220.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",4645033955.0
26,"Ores, slag and ash",104688516738.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",194852742280.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",6543832466.0
29,Organic chemicals,29982825853.0
30,Pharmaceutical products,19842125760.0
31,Fertilisers,2476526711.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,2924359896.0
33,Essential oils and resinoids; perfumery,12223915357.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",2999258131.0
35,Albuminoidal substances; modified starches;,2278208711.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,75488976.0
37,Photographic or cinematographic goods,1701530117.0
38,Miscellaneous chemical products,10502095527.0
39,Plastics and articles thereof,41853380708.0
40,Rubber and articles thereof,8785785151.0
41,Raw hides and skins (other than furskins) and leather,1806945122.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",2383940625.0
43,Furskins and artificial fur; manufactures thereof,950353435.0
44,Wood and articles of wood; wood charcoal,11880812154.0
45,Cork and articles of cork,32408273.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",7865391.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,9531867613.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",2981028596.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1416268889.0
50,ilk,25824565.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1114424600.0
52,Cotton,4015906002.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,520158296.0
54,Man-made filaments; strip and the like of man-made textile materials,1710651948.0
55,Man-made staple fibres,1299647075.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",760234778.0
57,Carpets and other textile floor coverings,71653682.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,254858987.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",1008147541.0
60,Knitted or crocheted fabrics,718087726.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",2062537133.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",3168964350.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,282633936.0
64,"Footwear, gaiters and the like; parts of such articles",3260078917.0
65,Headgear and parts thereof,76206462.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",8431103.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,189799659.0
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",1045434279.0
69,Geramic products,731732735.0
70,Glass and glassware,4739245558.0
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",31207212477.0
72,Iron and steel,14844443942.0
73,Articles of iron or steel,5822920633.0
74,Copper and articles thereof,25644888335.0
75,Nickel and articles thereof,3369810990.0
76,Aluminium and articles thereof,3298886215.0
78,Lead and articles thereof,158799267.0
79,Zinc and articles thereof,808305778.0
80,Tin and articles thereof,105701639.0
81,Other base metals; cermets; articles thereof,2031522422.0
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1944614691.0
83,Miscellaneous articles of base metal,1073755690.0
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",112264726807.0
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",336094412225.0
86,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",308081229.0
87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",42051634133.0
88,"Aircraft, spacecraft, and parts thereof",11351983678.0
89,"Ships, boats and floating structures",51518437.0
90,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof",60938558929.0
91,Clocks and watches and parts thereof,2557158207.0
92,Musical instruments; parts and accessories of such articles,349457912.0
93,Arms and ammunition; parts and accessories thereof,9445481.0
94,"Furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2141458420.0
95,"Toys, games and sports requisites;parts and accessories thereof",1648994860.0
