商品编码,商品名称,美元
1,第1章 活动物,36766598
2,第2章 肉及食用...,1679277172
3,第3章 鱼、甲壳...,1196690579
4,第4章 乳品；蛋...,504252893
5,第5章 其他动物...,73011957
6,第6章 活树及其...,25581916
7,第7章 食用蔬菜...,99923452
8,第8章 食用水果...,920385225
9,第9章 咖啡、茶...,84547140
10,第10章 谷物,343897530
11,第11章 制粉工业...,74997299
12,第12章 含油子仁...,3603679592
13,第13章 虫胶；树...,31053919
14,第14章 编结用植...,10503992
15,第15章 动、植物...,863505026
16,第16章 肉、鱼、...,31754279
17,第17章 糖及糖食,178566471
18,第18章 可可及可...,62040246
19,第19章 谷物、粮...,709239981
20,第20章 蔬菜、水...,129612385
21,第21章 杂项食品,281089548
22,第22章 饮料、酒...,596498385
23,第23章 食品工业...,361334420
24,第24章 烟草、烟...,95118876
25,第25章 盐；硫磺...,737753406
26,第26章 矿砂、矿...,16147241037
27,第27章 矿物燃料...,28439037413
28,第28章 无机化学...,789852136
29,第29章 有机化学...,4595238816
30,第30章 药品,2772024637
31,第31章 肥料,299370131
32,第32章 鞣料浸膏...,439158987
33,第33章 精油及香...,1303472151
34,第34章 肥皂、有...,419821011
35,第35章 蛋白类物...,338406917
36,第36章 炸药；烟...,10518505
37,第37章 照相及电...,236717861
38,第38章 杂项化学...,1557027553
39,第39章 塑料及其...,6266180494
40,第40章 橡胶及其...,1363629993
41,第41章 生皮（毛...,301239832
42,第42章 皮革制品...,384542078
43,第43章 毛皮、人...,177826515
44,第44章 木及木制...,2093269240
45,第45章 软木及软...,3801479
46,第46章 稻草、秸...,1463449
47,第47章 木浆及其...,1821603878
48,第48章 纸及纸板...,459708412
49,第49章 书籍、报...,209274072
50,第50章 蚕丝,4359544
51,第51章 羊毛、动...,289607984
52,第52章 棉花,770775028
53,第53章 其他植物...,92839957
54,第54章 化学纤维...,252423632
55,第55章 化学纤维...,219143488
56,第56章 絮胎、毡...,108989169
57,第57章 地毯及纺...,12774766
58,第58章 特种机织...,41449086
59,第59章 浸渍、涂...,153899700
60,第60章 针织物及...,123332293
61,第61章 针织或钩...,421205039
62,第62章 非针织或...,457964387
63,第63章 其他纺织...,42734003
64,第64章 鞋靴、护...,512112221
65,第65章 帽类及其...,12146125
66,第66章 雨伞、阳...,1393957
67,第67章 已加工羽...,28796821
68,第68章 石料、石...,151507314
69,第69章 陶瓷产品,136353262
70,第70章 玻璃及其...,622013032
71,第71章 天然或养...,3484197145
72,第72章 钢铁,1795558186
73,第73章 钢铁制品,878395458
74,第74章 铜及其制...,3454660442
75,第75章 镍及其制...,602456759
76,第76章 铝及其制...,556060627
78,第78章 铅及其制...,32605917
79,第79章 锌及其制...,148092692
80,第80章 锡及其制...,12696582
81,第81章 其他贱金...,249750186
82,第82章 贱金属工...,313388961
83,第83章 贱金属杂...,158762453
84,第84章 核反应堆...,17113665885
85,第85章 电机、电...,42631153135
86,第86章 铁道及电...,67573074
87,第87章 车辆及其...,5855194587
88,第88章 航空器、...,1467749484
89,第89章 船舶及浮...,291511409
90,第90章 光学、照...,8795828167
91,第91章 钟表及其...,282599342
92,第92章 乐器及其...,52261990
93,第93章 武器、弹...,77147
94,第94章 家具；寝...,299527952
95,第95章 玩具、游...,216261648
96,第96章 杂项制品,204700604
97,第97章 艺术品、...,20511182
98,第98章 特殊交易...,1155301392
