Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,110,"Hong Kong,China",286074035.0
1,Live animals,112,Indonesia,28523.0
1,Live animals,116,Japan,4520964.0
1,Live animals,122,Malaysia,34573.0
1,Live animals,132,Singapore,122276.0
1,Live animals,133,Republic of Korea,14533766.0
1,Live animals,136,Thailand,53785.0
1,Live animals,141,Viet Nam,869040.0
1,Live animals,143,"Taiwan,China",39709.0
1,Live animals,304,Germany,78.0
1,Live animals,344,Russia,11908.0
1,Live animals,502,United States,19347431.0
2,Meat and edible meat offal,102,Bahrain,5006388.0
2,Meat and edible meat offal,110,"Hong Kong,China",363667063.0
2,Meat and edible meat offal,116,Japan,529069.0
2,Meat and edible meat offal,122,Malaysia,34633169.0
2,Meat and edible meat offal,132,Singapore,3596199.0
2,Meat and edible meat offal,136,Thailand,260791.0
2,Meat and edible meat offal,202,Angola,240203.0
2,Meat and edible meat offal,304,Germany,1210677.0
2,Meat and edible meat offal,337,Georgia,3429485.0
2,Meat and edible meat offal,344,Russia,476230.0
2,Meat and edible meat offal,502,United States,129.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110,"Hong Kong,China",795816504.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,India,4603122.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112,Indonesia,29715873.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",113,Iran,37946697.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",116,Japan,854580754.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",120,Lebanon,22311.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122,Malaysia,197971996.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",132,Singapore,71937474.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",133,Republic of Korea,774583398.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",136,Thailand,859756649.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",141,Viet Nam,61551211.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",143,"Taiwan,China",549471346.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",202,Angola,346835.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",206,Cameroon,4083918.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",212,Comoros,342645.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",218,Gabon,5195401.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",223,Cote d'lvoire,43019822.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",231,Mauritius,16393142.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",234,Namibia,864006.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",237,Réunion,6164506.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",240,Senegal,1278225.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",243,Somalia,287043.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",249,Tunisia,11068.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",259,Mayotte,1074723.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",303,United Kingdom,112452246.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",304,Germany,156770333.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",337,Georgia,3115.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",344,Russia,69964292.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",351,Croatia,2916786.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",358,Serbia,332855.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",441,Suriname,9083.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",502,United States,676774077.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",601,Australia,75708063.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",102,Bahrain,314853.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",110,"Hong Kong,China",97157636.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",112,Indonesia,115078.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",113,Iran,54571.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",116,Japan,65047589.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",120,Lebanon,94854.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",122,Malaysia,3010555.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",126,Oman,538958.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",132,Singapore,5584270.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",133,Republic of Korea,5288634.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",135,Syria,25159.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",136,Thailand,8064500.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",231,Mauritius,70456.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",249,Tunisia,80437.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",303,United Kingdom,24120997.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",304,Germany,7980636.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",351,Croatia,545370.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",502,United States,9065551.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",601,Australia,7095249.0
5,"roducts of animal origin,not elsewhere specified or included",110,"Hong Kong,China",50263833.0
5,"roducts of animal origin,not elsewhere specified or included",111,India,1975203.0
5,"roducts of animal origin,not elsewhere specified or included",112,Indonesia,12833249.0
5,"roducts of animal origin,not elsewhere specified or included",116,Japan,66488745.0
5,"roducts of animal origin,not elsewhere specified or included",122,Malaysia,2809489.0
5,"roducts of animal origin,not elsewhere specified or included",125,Nepal,103727.0
5,"roducts of animal origin,not elsewhere specified or included",132,Singapore,27279.0
5,"roducts of animal origin,not elsewhere specified or included",133,Republic of Korea,16627672.0
5,"roducts of animal origin,not elsewhere specified or included",136,Thailand,83278054.0
5,"roducts of animal origin,not elsewhere specified or included",141,Viet Nam,69485513.0
5,"roducts of animal origin,not elsewhere specified or included",143,"Taiwan,China",36066275.0
5,"roducts of animal origin,not elsewhere specified or included",148,Turkmenistan,4760588.0
5,"roducts of animal origin,not elsewhere specified or included",149,Uzbekistan,12071454.0
5,"roducts of animal origin,not elsewhere specified or included",231,Mauritius,289729.0
5,"roducts of animal origin,not elsewhere specified or included",303,United Kingdom,11041335.0
5,"roducts of animal origin,not elsewhere specified or included",304,Germany,123535918.0
5,"roducts of animal origin,not elsewhere specified or included",344,Russia,753432.0
5,"roducts of animal origin,not elsewhere specified or included",351,Croatia,639235.0
5,"roducts of animal origin,not elsewhere specified or included",358,Serbia,21724.0
5,"roducts of animal origin,not elsewhere specified or included",502,United States,88372141.0
5,"roducts of animal origin,not elsewhere specified or included",601,Australia,1639371.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",104,Bhutan,113872.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",110,"Hong Kong,China",4478026.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",111,India,360690.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",112,Indonesia,26241.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",113,Iran,149393.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",116,Japan,64886669.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",120,Lebanon,606228.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",122,Malaysia,2630322.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",126,Oman,282540.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",132,Singapore,4099838.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",133,Republic of Korea,37168436.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",136,Thailand,7181637.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",141,Viet Nam,1477771.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",143,"Taiwan,China",720073.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",145,Kazakhstan,1291693.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",237,Réunion,39455.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",249,Tunisia,603571.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",303,United Kingdom,407778.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",304,Germany,3972526.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",344,Russia,106923.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",502,United States,17170952.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",601,Australia,3532856.0
7,Edible vegetables and certain roots and tubers,102,Bahrain,1897840.0
7,Edible vegetables and certain roots and tubers,110,"Hong Kong,China",888062857.0
7,Edible vegetables and certain roots and tubers,111,India,25219023.0
7,Edible vegetables and certain roots and tubers,112,Indonesia,316818609.0
7,Edible vegetables and certain roots and tubers,113,Iran,2391545.0
7,Edible vegetables and certain roots and tubers,116,Japan,746686444.0
7,Edible vegetables and certain roots and tubers,119,Lao,93510.0
7,Edible vegetables and certain roots and tubers,120,Lebanon,4682732.0
7,Edible vegetables and certain roots and tubers,122,Malaysia,345525788.0
7,Edible vegetables and certain roots and tubers,125,Nepal,2681014.0
7,Edible vegetables and certain roots and tubers,126,Oman,1459721.0
7,Edible vegetables and certain roots and tubers,132,Singapore,69976744.0
7,Edible vegetables and certain roots and tubers,133,Republic of Korea,312012768.0
7,Edible vegetables and certain roots and tubers,135,Syria,473631.0
7,Edible vegetables and certain roots and tubers,136,Thailand,215364786.0
7,Edible vegetables and certain roots and tubers,139,Yemen,8960069.0
7,Edible vegetables and certain roots and tubers,141,Viet Nam,738240205.0
7,Edible vegetables and certain roots and tubers,143,"Taiwan,China",33344903.0
7,Edible vegetables and certain roots and tubers,145,Kazakhstan,6610792.0
7,Edible vegetables and certain roots and tubers,202,Angola,2008488.0
7,Edible vegetables and certain roots and tubers,206,Cameroon,410387.0
7,Edible vegetables and certain roots and tubers,218,Gabon,307723.0
7,Edible vegetables and certain roots and tubers,221,Guinea,1022340.0
7,Edible vegetables and certain roots and tubers,223,Cote d'lvoire,683955.0
7,Edible vegetables and certain roots and tubers,225,Liberia,134179.0
7,Edible vegetables and certain roots and tubers,230,Mauritania,317052.0
7,Edible vegetables and certain roots and tubers,231,Mauritius,2224746.0
7,Edible vegetables and certain roots and tubers,237,Réunion,2309021.0
7,Edible vegetables and certain roots and tubers,240,Senegal,10581624.0
7,Edible vegetables and certain roots and tubers,243,Somalia,388249.0
7,Edible vegetables and certain roots and tubers,249,Tunisia,8091504.0
7,Edible vegetables and certain roots and tubers,260,South Sudan,60997.0
7,Edible vegetables and certain roots and tubers,303,United Kingdom,37711312.0
7,Edible vegetables and certain roots and tubers,304,Germany,49290704.0
7,Edible vegetables and certain roots and tubers,337,Georgia,1346007.0
7,Edible vegetables and certain roots and tubers,344,Russia,211635781.0
7,Edible vegetables and certain roots and tubers,351,Croatia,3812675.0
7,Edible vegetables and certain roots and tubers,358,Serbia,5871.0
7,Edible vegetables and certain roots and tubers,424,Guyana,4124930.0
7,Edible vegetables and certain roots and tubers,425,Haiti,12493748.0
7,Edible vegetables and certain roots and tubers,440,El Salvador,1825848.0
7,Edible vegetables and certain roots and tubers,441,Suriname,2096633.0
7,Edible vegetables and certain roots and tubers,502,United States,348313927.0
7,Edible vegetables and certain roots and tubers,601,Australia,40848538.0
7,Edible vegetables and certain roots and tubers,607,New Caledonia,607149.0
8,Edible fruit and nuts; peel of citrus fruit or melons,110,"Hong Kong,China",215670428.0
8,Edible fruit and nuts; peel of citrus fruit or melons,111,India,161509114.0
8,Edible fruit and nuts; peel of citrus fruit or melons,112,Indonesia,8410422.0
8,Edible fruit and nuts; peel of citrus fruit or melons,116,Japan,58375807.0
8,Edible fruit and nuts; peel of citrus fruit or melons,122,Malaysia,170058303.0
8,Edible fruit and nuts; peel of citrus fruit or melons,125,Nepal,44530885.0
8,Edible fruit and nuts; peel of citrus fruit or melons,126,Oman,844167.0
8,Edible fruit and nuts; peel of citrus fruit or melons,132,Singapore,30316521.0
8,Edible fruit and nuts; peel of citrus fruit or melons,133,Republic of Korea,14787178.0
8,Edible fruit and nuts; peel of citrus fruit or melons,136,Thailand,347343095.0
8,Edible fruit and nuts; peel of citrus fruit or melons,141,Viet Nam,246896875.0
8,Edible fruit and nuts; peel of citrus fruit or melons,143,"Taiwan,China",21538233.0
8,Edible fruit and nuts; peel of citrus fruit or melons,145,Kazakhstan,63449145.0
8,Edible fruit and nuts; peel of citrus fruit or melons,149,Uzbekistan,195160.0
8,Edible fruit and nuts; peel of citrus fruit or melons,249,Tunisia,3448624.0
8,Edible fruit and nuts; peel of citrus fruit or melons,260,South Sudan,262840.0
8,Edible fruit and nuts; peel of citrus fruit or melons,303,United Kingdom,22178110.0
8,Edible fruit and nuts; peel of citrus fruit or melons,304,Germany,67327147.0
8,Edible fruit and nuts; peel of citrus fruit or melons,344,Russia,159555910.0
8,Edible fruit and nuts; peel of citrus fruit or melons,351,Croatia,447343.0
