Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,110,"Hong Kong,China",271387327.0
1,,112,Indonesia,33408.0
1,,116,Japan,3648680.0
1,,122,Malaysia,40297.0
1,,132,Singapore,263607.0
1,,133,Republic of Korea,4470727.0
1,,136,Thailand,217788.0
1,,141,Viet Nam,4702423.0
1,,143,"Taiwan,China",19798.0
1,,304,Germany,101525.0
1,,337,Georgia,21050.0
1,,344,Russia,9958.0
1,,502,United States,21833237.0
2,,102,Bahrain,10903568.0
2,,110,"Hong Kong,China",436358398.0
2,,116,Japan,664939.0
2,,122,Malaysia,44472340.0
2,,132,Singapore,3668734.0
2,,145,Kazakhstan,2114353.0
2,,242,Sierra Leone,157792.0
2,,249,Tunisia,1406.0
2,,304,Germany,3558506.0
2,,337,Georgia,5317446.0
2,,344,Russia,3485520.0
2,,502,United States,1258646.0
3,,110,"Hong Kong,China",847127415.0
3,,111,India,1132406.0
3,,112,Indonesia,123090731.0
3,,113,Iran,31198131.0
3,,116,Japan,1479467368.0
3,,120,Lebanon,1425708.0
3,,122,Malaysia,267591289.0
3,,132,Singapore,57964664.0
3,,133,Republic of Korea,985082597.0
3,,136,Thailand,388873315.0
3,,141,Viet Nam,78014888.0
3,,143,"Taiwan,China",556852933.0
3,,145,Kazakhstan,24021.0
3,,202,Angola,1848013.0
3,,206,Cameroon,11856387.0
3,,218,Gabon,7839078.0
3,,223,Cote d'lvoire,29342344.0
3,,231,Mauritius,8545984.0
3,,237,Réunion,230116.0
3,,243,Somalia,508130.0
3,,249,Tunisia,724519.0
3,,259,Mayotte,278482.0
3,,303,United Kingdom,167053534.0
3,,304,Germany,226369419.0
3,,337,Georgia,2483096.0
3,,344,Russia,94081370.0
3,,351,Croatia,705154.0
3,,358,Serbia,601923.0
3,,421,Grenada,212359.0
3,,425,Haiti,991157.0
3,,428,Martinique,1821352.0
3,,441,Suriname,3018188.0
3,,502,United States,1005747332.0
3,,601,Australia,134592473.0
3,,618,Kiribati,1245976.0
4,,110,"Hong Kong,China",91133660.0
4,,111,India,17323.0
4,,112,Indonesia,15462.0
4,,113,Iran,209165.0
4,,116,Japan,63793240.0
4,,120,Lebanon,63022.0
4,,122,Malaysia,1940385.0
4,,126,Oman,2201358.0
4,,132,Singapore,5589730.0
4,,133,Republic of Korea,12755188.0
4,,135,Syria,276119.0
4,,136,Thailand,12762835.0
4,,143,"Taiwan,China",47992.0
4,,249,Tunisia,32784.0
4,,303,United Kingdom,22404369.0
4,,304,Germany,6244633.0
4,,351,Croatia,313518.0
4,,358,Serbia,3583.0
4,,502,United States,10697310.0
4,,601,Australia,14046974.0
5,,110,"Hong Kong,China",76013922.0
5,,111,India,1403022.0
5,,112,Indonesia,16185543.0
5,,113,Iran,374829.0
5,,116,Japan,89011669.0
5,,119,Lao,1691745.0
5,,122,Malaysia,287571.0
