Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,110,"Hong Kong,China",283597105.0
1,,112,Indonesia,42678.0
1,,113,Iran,13270.0
1,,116,Japan,2630298.0
1,,119,Lao,691.0
1,,122,Malaysia,20734.0
1,,125,Nepal,5528.0
1,,132,Singapore,215643.0
1,,133,Republic of Korea,2024859.0
1,,136,Thailand,120254.0
1,,141,Viet Nam,2487064.0
1,,304,Germany,159343.0
1,,337,Georgia,13823.0
1,,344,Russia,28832.0
1,,502,United States,22849086.0
2,,102,Bahrain,16438077.0
2,,110,"Hong Kong,China",447453538.0
2,,132,Singapore,3980312.0
2,,145,Kazakhstan,1236937.0
2,,202,Angola,168707.0
2,,304,Germany,3059576.0
2,,337,Georgia,13685472.0
2,,344,Russia,2403475.0
2,,502,United States,1628782.0
3,,102,Bahrain,757284.0
3,,110,"Hong Kong,China",652537371.0
3,,111,India,532186.0
3,,112,Indonesia,74133112.0
3,,113,Iran,17307351.0
3,,116,Japan,1223403884.0
3,,120,Lebanon,671463.0
3,,122,Malaysia,229219789.0
3,,132,Singapore,61299049.0
3,,133,Republic of Korea,632213780.0
3,,136,Thailand,377384690.0
3,,141,Viet Nam,61311145.0
3,,143,"Taiwan,China",375992803.0
3,,145,Kazakhstan,1228326.0
3,,148,Turkmenistan,402940.0
3,,202,Angola,2155829.0
3,,206,Cameroon,6785037.0
3,,218,Gabon,4276274.0
3,,223,Cote d'lvoire,41421614.0
3,,231,Mauritius,1719542.0
3,,234,Namibia,373221.0
3,,237,Réunion,789785.0
3,,240,Senegal,2245545.0
3,,243,Somalia,286882.0
3,,249,Tunisia,945957.0
3,,259,Mayotte,932430.0
3,,303,United Kingdom,179722255.0
3,,304,Germany,242106378.0
3,,324,Malta,407614.0
3,,337,Georgia,46895.0
3,,344,Russia,160350930.0
3,,351,Croatia,2897801.0
3,,358,Serbia,215703.0
3,,401,Antigua & Barbuda,499701.0
3,,403,Aruba,301573.0
3,,425,Haiti,967711.0
3,,502,United States,977591757.0
3,,601,Australia,60679445.0
4,,110,"Hong Kong,China",87261557.0
4,,112,Indonesia,231916.0
4,,113,Iran,825667.0
4,,116,Japan,51326845.0
4,,122,Malaysia,2836123.0
4,,126,Oman,827710.0
4,,132,Singapore,7200687.0
4,,133,Republic of Korea,10496314.0
4,,136,Thailand,6715211.0
4,,249,Tunisia,25558.0
4,,303,United Kingdom,31072057.0
4,,304,Germany,6524087.0
4,,344,Russia,607876.0
4,,351,Croatia,243232.0
4,,502,United States,7896936.0
4,,601,Australia,13194777.0
5,,110,"Hong Kong,China",72043900.0
5,,111,India,5010077.0
5,,112,Indonesia,29506252.0
5,,116,Japan,72823352.0
5,,122,Malaysia,5808057.0
5,,125,Nepal,350897.0
5,,132,Singapore,26009.0
5,,133,Republic of Korea,38315621.0
5,,136,Thailand,77347548.0
5,,141,Viet Nam,182892554.0
5,,143,"Taiwan,China",56572455.0
5,,149,Uzbekistan,4267595.0
5,,231,Mauritius,122202.0
5,,234,Namibia,283800.0
5,,237,Réunion,700961.0
5,,249,Tunisia,9697.0
5,,303,United Kingdom,23066282.0
5,,304,Germany,217095430.0
5,,337,Georgia,114034.0
5,,344,Russia,1465403.0
5,,351,Croatia,540539.0
5,,358,Serbia,453890.0
5,,502,United States,124627941.0
5,,601,Australia,1494676.0
6,,110,"Hong Kong,China",5417252.0
6,,111,India,430383.0
6,,112,Indonesia,155479.0
6,,113,Iran,9676.0
6,,116,Japan,45434815.0
6,,119,Lao,55763.0
6,,120,Lebanon,443956.0
6,,122,Malaysia,2534624.0
6,,132,Singapore,3468630.0
6,,133,Republic of Korea,38682526.0
6,,136,Thailand,4842070.0
6,,141,Viet Nam,2153246.0
6,,143,"Taiwan,China",745905.0
6,,145,Kazakhstan,799986.0
6,,202,Angola,28406.0
6,,303,United Kingdom,423462.0
6,,304,Germany,6635136.0
6,,344,Russia,386194.0
6,,502,United States,21157628.0
6,,601,Australia,5088030.0
7,,102,Bahrain,1450063.0
7,,110,"Hong Kong,China",1171341330.0
7,,111,India,52263021.0
7,,112,Indonesia,281544317.0
7,,113,Iran,24420302.0
7,,116,Japan,856166860.0
7,,119,Lao,467910.0
7,,120,Lebanon,8608179.0
7,,122,Malaysia,377839093.0
7,,125,Nepal,1769034.0
7,,126,Oman,1717026.0
7,,132,Singapore,67826183.0
7,,133,Republic of Korea,330530594.0
7,,135,Syria,687003.0
7,,136,Thailand,244215448.0
7,,139,Yemen,2032024.0
7,,141,Viet Nam,823586816.0
7,,143,"Taiwan,China",22646191.0
7,,145,Kazakhstan,19360042.0
7,,202,Angola,1669266.0
7,,218,Gabon,1153876.0
7,,221,Guinea,494518.0
7,,223,Cote d'lvoire,1256338.0
7,,231,Mauritius,2352766.0
7,,237,Réunion,1240442.0
7,,240,Senegal,11127763.0
7,,260,South Sudan,36286.0
