Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,110,"Hong Kong,China",268150334.0
1,,112,Indonesia,104951.0
1,,116,Japan,2072872.0
1,,122,Malaysia,45035.0
1,,125,Nepal,3410.0
1,,132,Singapore,210029.0
1,,133,Republic of Korea,1254172.0
1,,136,Thailand,209359.0
1,,141,Viet Nam,2870232.0
1,,143,"Taiwan,China",35954.0
1,,231,Mauritius,307.0
1,,304,Germany,1665895.0
1,,344,Russia,94106.0
1,,502,United States,13405856.0
2,,102,Bahrain,12651391.0
2,,110,"Hong Kong,China",352641564.0
2,,122,Malaysia,3018791.0
2,,132,Singapore,3868612.0
2,,145,Kazakhstan,1223710.0
2,,202,Angola,147004.0
2,,225,Liberia,529013.0
2,,304,Germany,6202693.0
2,,337,Georgia,5794778.0
2,,344,Russia,2908580.0
2,,502,United States,2375478.0
2,,601,Australia,553255.0
3,,110,"Hong Kong,China",631175729.0
3,,111,India,29494.0
3,,112,Indonesia,59724959.0
3,,113,Iran,33788314.0
3,,116,Japan,1345449025.0
3,,120,Lebanon,327257.0
3,,122,Malaysia,132554217.0
3,,132,Singapore,40853639.0
3,,133,Republic of Korea,545548773.0
3,,136,Thailand,232359169.0
3,,141,Viet Nam,45641932.0
3,,143,"Taiwan,China",285275523.0
3,,145,Kazakhstan,820194.0
3,,202,Angola,3926072.0
3,,206,Cameroon,12159590.0
3,,212,Comoros,423478.0
3,,218,Gabon,5860876.0
3,,223,Cote d'lvoire,43549084.0
3,,225,Liberia,1054788.0
3,,231,Mauritius,4020336.0
3,,234,Namibia,1787569.0
3,,237,Réunion,1292147.0
3,,240,Senegal,1617164.0
3,,243,Somalia,262543.0
3,,249,Tunisia,787322.0
3,,259,Mayotte,219581.0
3,,303,United Kingdom,211600743.0
3,,304,Germany,209164746.0
3,,337,Georgia,767171.0
3,,344,Russia,101213137.0
3,,351,Croatia,3218149.0
3,,401,Antigua & Barbuda,497536.0
3,,428,Martinique,604012.0
3,,502,United States,982709640.0
3,,601,Australia,72468669.0
4,,110,"Hong Kong,China",105136679.0
4,,112,Indonesia,289172.0
4,,113,Iran,15684.0
4,,116,Japan,45244253.0
4,,120,Lebanon,38188.0
