Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,102,Bahrain,2513.0
1,,110,"Hong Kong,China",219449205.0
1,,112,Indonesia,47850.0
1,,116,Japan,790993.0
1,,119,Lao,1884.0
1,,122,Malaysia,33295.0
1,,132,Singapore,43019.0
1,,133,Republic of Korea,1978371.0
1,,136,Thailand,60860.0
1,,141,Viet Nam,1461803.0
1,,304,Germany,189497.0
1,,344,Russia,32037.0
1,,502,United States,15539165.0
2,,102,Bahrain,11472194.0
2,,110,"Hong Kong,China",327581634.0
2,,122,Malaysia,25975987.0
2,,132,Singapore,3347204.0
2,,141,Viet Nam,125587.0
2,,145,Kazakhstan,5771010.0
2,,304,Germany,4762059.0
2,,337,Georgia,4795726.0
2,,344,Russia,582942.0
2,,502,United States,285817.0
3,,102,Bahrain,429197.0
3,,110,"Hong Kong,China",488224331.0
3,,111,India,26697.0
3,,112,Indonesia,80856461.0
3,,113,Iran,7055582.0
3,,116,Japan,1236159605.0
3,,120,Lebanon,118446.0
3,,122,Malaysia,119495744.0
3,,132,Singapore,47671830.0
3,,133,Republic of Korea,822155222.0
3,,136,Thailand,346456648.0
3,,141,Viet Nam,91375850.0
3,,143,"Taiwan,China",430737724.0
3,,145,Kazakhstan,294931.0
3,,202,Angola,5449615.0
3,,206,Cameroon,21453240.0
3,,218,Gabon,7300946.0
3,,223,Cote d'lvoire,54536428.0
3,,231,Mauritius,4931520.0
3,,237,Réunion,1353576.0
3,,240,Senegal,1519059.0
3,,243,Somalia,1770385.0
3,,249,Tunisia,1378741.0
3,,259,Mayotte,700166.0
3,,303,United Kingdom,175290388.0
3,,304,Germany,277869742.0
3,,324,Malta,206938.0
3,,337,Georgia,1415886.0
3,,344,Russia,118656180.0
3,,351,Croatia,4144308.0
3,,358,Serbia,618250.0
3,,401,Antigua & Barbuda,697282.0
3,,403,Aruba,250885.0
3,,421,Grenada,403336.0
3,,428,Martinique,318482.0
3,,441,Suriname,3091074.0
3,,502,United States,893185927.0
3,,601,Australia,59015143.0
3,,607,New Caledonia,595630.0
4,,110,"Hong Kong,China",97138962.0
4,,112,Indonesia,320948.0
4,,116,Japan,42798828.0
4,,120,Lebanon,42904.0
4,,122,Malaysia,2833165.0
4,,126,Oman,852593.0
4,,132,Singapore,6816368.0
4,,133,Republic of Korea,10962531.0
4,,136,Thailand,9014513.0
4,,139,Yemen,449142.0
4,,141,Viet Nam,7282.0
4,,303,United Kingdom,22210099.0
4,,304,Germany,4733409.0
4,,344,Russia,66586.0
4,,351,Croatia,225570.0
4,,502,United States,14897869.0
4,,601,Australia,14049935.0
5,,110,"Hong Kong,China",102514140.0
5,,111,India,234214.0
5,,112,Indonesia,43579516.0
5,,116,Japan,90764987.0
5,,119,Lao,1840769.0
5,,122,Malaysia,17297616.0
5,,125,Nepal,69727.0
5,,132,Singapore,136333.0
5,,133,Republic of Korea,19987724.0
5,,136,Thailand,133595484.0
5,,141,Viet Nam,377443121.0
5,,143,"Taiwan,China",50011719.0
5,,149,Uzbekistan,974914.0
5,,231,Mauritius,510807.0
5,,249,Tunisia,10184.0
5,,303,United Kingdom,25715480.0
5,,304,Germany,213664609.0
5,,338,Armenia,431357.0
5,,344,Russia,2016379.0
5,,351,Croatia,1133656.0
5,,358,Serbia,652123.0
5,,502,United States,158367217.0
5,,601,Australia,105618.0
6,,110,"Hong Kong,China",4400605.0
6,,111,India,856790.0
6,,112,Indonesia,497424.0
6,,116,Japan,37764675.0
