Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,110,"Hong Kong,China",560150098.0
1,Live animals,111,India,61086.0
1,Live animals,112,Indonesia,306346.0
1,Live animals,116,Japan,324406.0
1,Live animals,122,Malaysia,54693.0
1,Live animals,125,Nepal,2122.0
1,Live animals,132,Singapore,130586.0
1,Live animals,133,Republic of Korea,2714369.0
1,Live animals,136,Thailand,85823.0
1,Live animals,141,Viet Nam,7556220.0
1,Live animals,143,"Taiwan,China",39502.0
1,Live animals,303,United Kingdom,3506.0
1,Live animals,337,Georgia,4308.0
1,Live animals,344,Russia,25242.0
1,Live animals,502,United States,32605634.0
2,Meat and edible meat offal,102,Bahrain,2701525.0
2,Meat and edible meat offal,110,"Hong Kong,China",534853428.0
2,Meat and edible meat offal,116,Japan,1414588.0
2,Meat and edible meat offal,122,Malaysia,14418003.0
2,Meat and edible meat offal,136,Thailand,652224.0
2,Meat and edible meat offal,304,Germany,2059668.0
2,Meat and edible meat offal,337,Georgia,2947214.0
2,Meat and edible meat offal,344,Russia,3142356.0
2,Meat and edible meat offal,502,United States,3156231.0
2,Meat and edible meat offal,601,Australia,476802.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",102,Bahrain,19458.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110,"Hong Kong,China",682915890.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,India,1263623.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112,Indonesia,40190334.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",113,Iran,14665567.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",116,Japan,1248132956.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",120,Lebanon,58535.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122,Malaysia,206828577.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",126,Oman,153979.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",132,Singapore,80078555.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",133,Republic of Korea,1082223046.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",136,Thailand,294315434.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",141,Viet Nam,278142238.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",143,"Taiwan,China",662924016.0
