Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,110,"Hong Kong,China",256852911.0
1,Live animals,112,Indonesia,75019.0
1,Live animals,116,Japan,3266411.0
1,Live animals,122,Malaysia,101839.0
1,Live animals,132,Singapore,11810.0
1,Live animals,133,Republic of Korea,2499531.0
1,Live animals,136,Thailand,18318.0
1,Live animals,141,Viet Nam,3239853.0
1,Live animals,143,"Taiwan,China",24273.0
1,Live animals,303,United Kingdom,1284.0
1,Live animals,304,Germany,268.0
1,Live animals,344,Russia,21640.0
1,Live animals,502,United States,10953829.0
2,Meat and edible meat offal,102,Bahrain,12241309.0
2,Meat and edible meat offal,110,"Hong Kong,China",348245391.0
2,Meat and edible meat offal,116,Japan,1092397.0
2,Meat and edible meat offal,122,Malaysia,17357886.0
2,Meat and edible meat offal,136,Thailand,99645.0
2,Meat and edible meat offal,304,Germany,2030361.0
2,Meat and edible meat offal,337,Georgia,5647316.0
2,Meat and edible meat offal,344,Russia,413678.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",102,Bahrain,149622.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110,"Hong Kong,China",407902708.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,India,1092472.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112,Indonesia,36397287.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",113,Iran,568200.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",116,Japan,975376115.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",119,Lao,36000.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",120,Lebanon,41857.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122,Malaysia,104389680.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",126,Oman,30195.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",132,Singapore,40442005.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",133,Republic of Korea,853952122.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",136,Thailand,361119893.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",141,Viet Nam,182147108.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",143,"Taiwan,China",374376403.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",202,Angola,2418828.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",205,Burundi,159432.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",206,Cameroon,5287415.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",218,Gabon,5752408.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",221,Guinea,2716248.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",223,Cote d'lvoire,48678362.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",225,Liberia,3081278.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",231,Mauritius,5306297.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",234,Namibia,1077106.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",237,Réunion,1959198.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",240,Senegal,7427332.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",243,Somalia,1259214.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",249,Tunisia,1591226.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",259,Mayotte,460179.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",260,South Sudan,241072.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",303,United Kingdom,212215681.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",304,Germany,394377250.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",337,Georgia,794395.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",344,Russia,138809102.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",351,Croatia,5698394.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",358,Serbia,659261.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",403,Aruba,237237.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",417,Curacao,663779.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",428,Martinique,356977.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",441,Suriname,3503164.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",502,United States,806499861.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",601,Australia,89723061.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",607,New Caledonia,567337.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",102,Bahrain,60924.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",110,"Hong Kong,China",92046524.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",112,Indonesia,219209.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",116,Japan,26074887.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",119,Lao,8000.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",120,Lebanon,79288.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",122,Malaysia,2445769.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",126,Oman,1429543.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",132,Singapore,6891080.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",133,Republic of Korea,7884893.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",136,Thailand,3413515.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",143,"Taiwan,China",25998.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",231,Mauritius,233511.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",303,United Kingdom,16311558.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",304,Germany,4471646.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",351,Croatia,239885.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",502,United States,9161439.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",601,Australia,5637375.0
5,"roducts of animal origin,not elsewhere specified or included",110,"Hong Kong,China",115824128.0
5,"roducts of animal origin,not elsewhere specified or included",111,India,965618.0
5,"roducts of animal origin,not elsewhere specified or included",112,Indonesia,28982003.0
5,"roducts of animal origin,not elsewhere specified or included",113,Iran,269827.0
5,"roducts of animal origin,not elsewhere specified or included",116,Japan,104118410.0
5,"roducts of animal origin,not elsewhere specified or included",119,Lao,2974688.0
5,"roducts of animal origin,not elsewhere specified or included",122,Malaysia,2794803.0
5,"roducts of animal origin,not elsewhere specified or included",125,Nepal,334289.0
5,"roducts of animal origin,not elsewhere specified or included",132,Singapore,303615.0
5,"roducts of animal origin,not elsewhere specified or included",133,Republic of Korea,11627124.0
5,"roducts of animal origin,not elsewhere specified or included",136,Thailand,24379686.0
5,"roducts of animal origin,not elsewhere specified or included",141,Viet Nam,203426396.0
5,"roducts of animal origin,not elsewhere specified or included",143,"Taiwan,China",54262948.0
5,"roducts of animal origin,not elsewhere specified or included",149,Uzbekistan,3466107.0
5,"roducts of animal origin,not elsewhere specified or included",231,Mauritius,28123.0
5,"roducts of animal origin,not elsewhere specified or included",249,Tunisia,667169.0
5,"roducts of animal origin,not elsewhere specified or included",303,United Kingdom,20164883.0
5,"roducts of animal origin,not elsewhere specified or included",304,Germany,177845642.0
5,"roducts of animal origin,not elsewhere specified or included",344,Russia,890710.0
5,"roducts of animal origin,not elsewhere specified or included",351,Croatia,41447.0
5,"roducts of animal origin,not elsewhere specified or included",358,Serbia,872859.0
5,"roducts of animal origin,not elsewhere specified or included",502,United States,112071834.0
5,"roducts of animal origin,not elsewhere specified or included",601,Australia,651400.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",102,Bahrain,68853.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",104,Bhutan,15299.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",110,"Hong Kong,China",4817787.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",111,India,2215364.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",112,Indonesia,296537.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",116,Japan,36219878.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",120,Lebanon,636543.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",122,Malaysia,2429434.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",126,Oman,21722.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",132,Singapore,3941601.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",133,Republic of Korea,67973234.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",136,Thailand,7453499.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",141,Viet Nam,12799029.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",143,"Taiwan,China",1081643.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",145,Kazakhstan,153448.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",149,Uzbekistan,23864.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",231,Mauritius,81690.0
