Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,110,"Hong Kong,China",245286078.0
1,Live animals,116,Japan,1035604.0
1,Live animals,119,Lao,1342.0
1,Live animals,122,Malaysia,169790.0
1,Live animals,125,Nepal,5368.0
1,Live animals,132,Singapore,89256.0
1,Live animals,133,Republic of Korea,1794400.0
1,Live animals,136,Thailand,33890.0
1,Live animals,141,Viet Nam,1621806.0
1,Live animals,303,United Kingdom,81.0
1,Live animals,304,Germany,176004.0
1,Live animals,344,Russia,1354100.0
1,Live animals,502,United States,23942231.0
2,Meat and edible meat offal,102,Bahrain,8114618.0
2,Meat and edible meat offal,110,"Hong Kong,China",407321360.0
2,Meat and edible meat offal,116,Japan,1427621.0
2,Meat and edible meat offal,122,Malaysia,8600960.0
2,Meat and edible meat offal,136,Thailand,531440.0
2,Meat and edible meat offal,304,Germany,2799550.0
2,Meat and edible meat offal,337,Georgia,6249700.0
2,Meat and edible meat offal,344,Russia,1640504.0
2,Meat and edible meat offal,502,United States,2810372.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110,"Hong Kong,China",546352958.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,India,666945.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112,Indonesia,31009759.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",113,Iran,17211032.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",116,Japan,1381969597.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",119,Lao,284802.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",120,Lebanon,413742.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122,Malaysia,112202198.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",126,Oman,274480.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",132,Singapore,33260471.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",133,Republic of Korea,661020796.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",136,Thailand,370270731.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",141,Viet Nam,139282189.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",143,"Taiwan,China",364103634.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",202,Angola,3285139.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",205,Burundi,520004.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",206,Cameroon,4432371.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",218,Gabon,4430608.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",221,Guinea,4530596.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",223,Cote d'lvoire,36741991.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",231,Mauritius,11685953.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",237,Réunion,145260.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",240,Senegal,2505238.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",249,Tunisia,2200209.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",259,Mayotte,789080.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",260,South Sudan,440409.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",303,United Kingdom,255116305.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",304,Germany,416990533.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",324,Malta,133347.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",337,Georgia,6193002.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",344,Russia,125124456.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",351,Croatia,5252588.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",358,Serbia,461487.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",401,Antigua & Barbuda,635800.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",428,Martinique,259684.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",440,El Salvador,363096.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",502,United States,873599866.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",601,Australia,75967009.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",618,Kiribati,552349.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",110,"Hong Kong,China",109685031.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",112,Indonesia,133388.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",116,Japan,53611794.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",119,Lao,19360.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",122,Malaysia,1505030.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",126,Oman,1438239.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",132,Singapore,7756861.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",133,Republic of Korea,6856135.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",136,Thailand,12571551.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",141,Viet Nam,37816.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",231,Mauritius,31877.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",249,Tunisia,45259.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",303,United Kingdom,8690782.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",304,Germany,2834491.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",344,Russia,63095.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",351,Croatia,648430.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",358,Serbia,54.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",502,United States,5969582.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",601,Australia,9874699.0
