商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,305,法国,39900
1,第1章 活动物,501,加拿大,14458
2,第2章 肉及食用...,138,阿联酋,307164
2,第2章 肉及食用...,301,比利时,3012432
2,第2章 肉及食用...,305,法国,907698
3,第3章 鱼、甲壳...,109,朝鲜,1736353
3,第3章 鱼、甲壳...,118,科威特,408698
3,第3章 鱼、甲壳...,129,菲律宾,260737466
3,第3章 鱼、甲壳...,138,阿联酋,1550285
3,第3章 鱼、甲壳...,213,刚果共和国,3122567
3,第3章 鱼、甲壳...,224,肯尼亚,786257
3,第3章 鱼、甲壳...,233,莫桑比克,244682
3,第3章 鱼、甲壳...,235,尼日尔,597773
3,第3章 鱼、甲壳...,241,塞舌尔,1115719
3,第3章 鱼、甲壳...,244,南非,6826194
3,第3章 鱼、甲壳...,252,刚果民主共和国,268224
3,第3章 鱼、甲壳...,301,比利时,7224920
3,第3章 鱼、甲壳...,305,法国,12890073
3,第3章 鱼、甲壳...,307,意大利,4793244
3,第3章 鱼、甲壳...,309,荷兰,12644212
3,第3章 鱼、甲壳...,310,希腊,3464226
3,第3章 鱼、甲壳...,312,西班牙,50557078
3,第3章 鱼、甲壳...,326,挪威,2917033
3,第3章 鱼、甲壳...,327,波兰,8834698
3,第3章 鱼、甲壳...,336,立陶宛,402125
3,第3章 鱼、甲壳...,410,巴西,6859481
3,第3章 鱼、甲壳...,415,哥斯达黎加,787686
3,第3章 鱼、甲壳...,427,牙买加,1371651
3,第3章 鱼、甲壳...,429,墨西哥,2880668
3,第3章 鱼、甲壳...,435,波多黎各,2275505
3,第3章 鱼、甲壳...,442,特立尼达和多巴哥,1033019
3,第3章 鱼、甲壳...,444,乌拉圭,7111649
3,第3章 鱼、甲壳...,501,加拿大,30021567
3,第3章 鱼、甲壳...,617,萨摩亚,2348262
3,第3章 鱼、甲壳...,621,马绍尔群岛,96383
4,第4章 乳品；蛋...,109,朝鲜,390494
4,第4章 乳品；蛋...,127,巴基斯坦,290
4,第4章 乳品；蛋...,129,菲律宾,914412
4,第4章 乳品；蛋...,301,比利时,4030608
4,第4章 乳品；蛋...,310,希腊,226404
4,第4章 乳品；蛋...,312,西班牙,2725223
4,第4章 乳品；蛋...,316,保加利亚,237664
4,第4章 乳品；蛋...,327,波兰,492143
4,第4章 乳品；蛋...,415,哥斯达黎加,34423
4,第4章 乳品；蛋...,501,加拿大,328070
5,第5章 其他动物...,129,菲律宾,2518884
5,第5章 其他动物...,137,土耳其,207150
5,第5章 其他动物...,244,南非,714223
5,第5章 其他动物...,301,比利时,791
5,第5章 其他动物...,305,法国,4928831
5,第5章 其他动物...,307,意大利,8325132
5,第5章 其他动物...,309,荷兰,6029925
5,第5章 其他动物...,312,西班牙,6742184
5,第5章 其他动物...,327,波兰,7854612
5,第5章 其他动物...,350,斯洛文尼亚,1860037
5,第5章 其他动物...,410,巴西,7884245
5,第5章 其他动物...,429,墨西哥,173460
5,第5章 其他动物...,501,加拿大,6930235
6,第6章 活树及其...,124,蒙古,8523
6,第6章 活树及其...,129,菲律宾,2913526
