Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,106,Myanmar,2046.0
1,,107,Cambodia,2046.0
1,,121,"Macao,China",23991617.0
1,,347,Ukraine,7365.0
1,,352,Czechia（Czech Republic）,47572.0
2,,101,Afghanistan,13216855.0
2,,105,Brunei,661131.0
2,,107,Cambodia,218261.0
2,,114,Iraq,11325941.0
2,,121,"Macao,China",30962577.0
2,,347,Ukraine,219975.0
2,,352,Czechia（Czech Republic）,4268302.0
2,,449,"Bonaire, Sint Eustatius and Saba",1278156.0
3,,103,Bangladesh,5061.0
3,,105,Brunei,464355.0
3,,107,Cambodia,42000.0
3,,114,Iraq,1294262.0
3,,115,Israel,29171564.0
3,,117,Jordan,603038.0
3,,121,"Macao,China",26188238.0
3,,131,Saudi Arabia,7019715.0
3,,134,Sri Lanka,29916358.0
3,,144,Timor-Leste,1912599.0
3,,201,Algeria,3024056.0
3,,215,Egypt,11975065.0
3,,216,Equatorial Guinea,1226717.0
3,,229,Mali,2140166.0
3,,232,Morocco,17934258.0
3,,236,Nigeria,24711072.0
3,,238,Rwanda,3499294.0
3,,247,Tanzania,6900548.0
3,,248,Togo,221968.0
3,,251,Burkina Faso,13854796.0
3,,253,Zambia,7943236.0
3,,302,Denmark,6384680.0
3,,311,Portugal,162674829.0
3,,328,Romania,885260.0
3,,330,Sweden,52959823.0
3,,331,Switzerland,1297260.0
3,,334,Estonia,195610.0
3,,335,Latvia,1334689.0
3,,347,Ukraine,13245609.0
3,,352,Czechia（Czech Republic）,1241271.0
3,,412,Chile,18552570.0
3,,413,Colombia,5135052.0
3,,418,Dominican Republic,13877845.0
3,,426,Honduras,462730.0
3,,432,Panama,7754608.0
3,,434,Peru,4595198.0
3,,603,Fiji,14713779.0
3,,609,New Zealand,13059447.0
3,,611,Papua New Guinea,3916298.0
3,,613,Solomon Islands,3151589.0
3,,620,The Federated States of Micronesia,1180818.0
3,,622,Palau,59669.0
4,,105,Brunei,547467.0
4,,106,Myanmar,980089.0
4,,107,Cambodia,372441.0
4,,117,Jordan,357399.0
4,,121,"Macao,China",8517681.0
4,,131,Saudi Arabia,1913905.0
4,,215,Egypt,35011.0
4,,232,Morocco,452287.0
4,,236,Nigeria,166783.0
4,,311,Portugal,4108415.0
4,,328,Romania,474886.0
4,,335,Latvia,238795.0
4,,352,Czechia（Czech Republic）,256099.0
4,,353,Slovakia,256099.0
4,,423,Guatemala,4774.0
4,,609,New Zealand,1068101.0
5,,103,Bangladesh,1616273.0
5,,106,Myanmar,24069403.0
5,,107,Cambodia,653529.0
5,,115,Israel,123570.0
5,,134,Sri Lanka,483867.0
5,,146,Kyrgyzstan,444469.0
5,,215,Egypt,15406406.0
5,,232,Morocco,291866.0
5,,238,Rwanda,45135.0
5,,302,Denmark,4698657.0
5,,308,Luxembourg,356678.0
5,,311,Portugal,819318.0
5,,328,Romania,9638091.0
5,,331,Switzerland,20845.0
5,,334,Estonia,235095.0
