商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,107,柬埔寨,11386
1,第1章 活动物,115,以色列,640
1,第1章 活动物,121,中国澳门,26798797
1,第1章 活动物,302,丹麦,825815
1,第1章 活动物,330,瑞典,10674
2,第2章 肉及食用...,101,阿富汗,8207909
2,第2章 肉及食用...,106,缅甸,307352
2,第2章 肉及食用...,107,柬埔寨,20412468
2,第2章 肉及食用...,114,伊拉克,5567844
2,第2章 肉及食用...,117,约旦,927202
2,第2章 肉及食用...,121,中国澳门,44811692
2,第2章 肉及食用...,130,卡塔尔,508075
2,第2章 肉及食用...,146,吉尔吉斯斯坦,25028595
2,第2章 肉及食用...,216,赤道几内亚,612110
2,第2章 肉及食用...,226,利比亚,5009841
2,第2章 肉及食用...,248,多哥,249227
2,第2章 肉及食用...,352,捷克,1423546
2,第2章 肉及食用...,611,巴布亚新几内亚,1114809
3,第3章 鱼、甲壳...,103,孟加拉国,4552718
3,第3章 鱼、甲壳...,105,文莱,410069
3,第3章 鱼、甲壳...,107,柬埔寨,314724
3,第3章 鱼、甲壳...,114,伊拉克,2689830
3,第3章 鱼、甲壳...,115,以色列,16695085
3,第3章 鱼、甲壳...,117,约旦,2727463
3,第3章 鱼、甲壳...,121,中国澳门,14235540
3,第3章 鱼、甲壳...,130,卡塔尔,1341028
3,第3章 鱼、甲壳...,134,斯里兰卡,23938004
3,第3章 鱼、甲壳...,144,东帝汶,12001141
3,第3章 鱼、甲壳...,201,阿尔及利亚,2507811
3,第3章 鱼、甲壳...,215,埃及,49462482
3,第3章 鱼、甲壳...,226,利比亚,5574556
3,第3章 鱼、甲壳...,229,马里,9470031
3,第3章 鱼、甲壳...,232,摩洛哥,10219851
3,第3章 鱼、甲壳...,236,尼日利亚,24481736
3,第3章 鱼、甲壳...,238,卢旺达,36941328
3,第3章 鱼、甲壳...,247,坦桑尼亚,3718342
3,第3章 鱼、甲壳...,251,布基纳法索,29492107
3,第3章 鱼、甲壳...,302,丹麦,7993515
3,第3章 鱼、甲壳...,311,葡萄牙,81012082
3,第3章 鱼、甲壳...,328,罗马尼亚,5662062
3,第3章 鱼、甲壳...,330,瑞典,53992932
3,第3章 鱼、甲壳...,331,瑞士,995817
3,第3章 鱼、甲壳...,343,摩尔多瓦,891120
3,第3章 鱼、甲壳...,347,乌克兰,8315163
3,第3章 鱼、甲壳...,352,捷克,2372172
3,第3章 鱼、甲壳...,353,斯洛伐克,2032712
3,第3章 鱼、甲壳...,402,阿根廷,476558
3,第3章 鱼、甲壳...,412,智利,10599006
3,第3章 鱼、甲壳...,413,哥伦比亚,4449989
3,第3章 鱼、甲壳...,416,古巴,521971
3,第3章 鱼、甲壳...,418,多米尼加,9746195
3,第3章 鱼、甲壳...,419,厄瓜多尔,3218843
3,第3章 鱼、甲壳...,426,洪都拉斯,432072
3,第3章 鱼、甲壳...,432,巴拿马,2716668
3,第3章 鱼、甲壳...,434,秘鲁,8438521
3,第3章 鱼、甲壳...,504,百慕大,670372
3,第3章 鱼、甲壳...,603,斐济,7529835
3,第3章 鱼、甲壳...,609,新西兰,9217096
3,第3章 鱼、甲壳...,611,巴布亚新几内亚,169807
3,第3章 鱼、甲壳...,613,所罗门群岛,2084390
3,第3章 鱼、甲壳...,620,密克罗尼西亚联邦,1412862
3,第3章 鱼、甲壳...,623,法属波利尼西亚,429978
4,第4章 乳品；蛋...,103,孟加拉国,254750
4,第4章 乳品；蛋...,105,文莱,275927
4,第4章 乳品；蛋...,106,缅甸,978809
4,第4章 乳品；蛋...,107,柬埔寨,1657523
4,第4章 乳品；蛋...,115,以色列,15548
4,第4章 乳品；蛋...,117,约旦,113854
4,第4章 乳品；蛋...,121,中国澳门,16545052
4,第4章 乳品；蛋...,131,沙特阿拉伯,3907908
4,第4章 乳品；蛋...,134,斯里兰卡,30508
4,第4章 乳品；蛋...,215,埃及,861366
4,第4章 乳品；蛋...,226,利比亚,600374
4,第4章 乳品；蛋...,232,摩洛哥,891285
4,第4章 乳品；蛋...,236,尼日利亚,5438352
4,第4章 乳品；蛋...,302,丹麦,825907
4,第4章 乳品；蛋...,311,葡萄牙,4155256
4,第4章 乳品；蛋...,328,罗马尼亚,1036364
4,第4章 乳品；蛋...,330,瑞典,475284
4,第4章 乳品；蛋...,352,捷克,118654
4,第4章 乳品；蛋...,402,阿根廷,334447
4,第4章 乳品；蛋...,413,哥伦比亚,9059
4,第4章 乳品；蛋...,416,古巴,650880
4,第4章 乳品；蛋...,423,危地马拉,777654
4,第4章 乳品；蛋...,445,委内瑞拉,12132610
4,第4章 乳品；蛋...,609,新西兰,810140
5,第5章 其他动物...,103,孟加拉国,30331541
5,第5章 其他动物...,106,缅甸,30421993
5,第5章 其他动物...,107,柬埔寨,18617168
5,第5章 其他动物...,115,以色列,455062
5,第5章 其他动物...,117,约旦,1714493
5,第5章 其他动物...,121,中国澳门,166719
5,第5章 其他动物...,130,卡塔尔,6910
5,第5章 其他动物...,131,沙特阿拉伯,81416
5,第5章 其他动物...,134,斯里兰卡,201228
5,第5章 其他动物...,215,埃及,778487
5,第5章 其他动物...,232,摩洛哥,6940174
5,第5章 其他动物...,253,赞比亚,3328437
5,第5章 其他动物...,302,丹麦,3760061
5,第5章 其他动物...,311,葡萄牙,3803931
5,第5章 其他动物...,328,罗马尼亚,15134410
5,第5章 其他动物...,330,瑞典,1024
5,第5章 其他动物...,331,瑞士,4160409
5,第5章 其他动物...,334,爱沙尼亚,79563
5,第5章 其他动物...,347,乌克兰,3711067
5,第5章 其他动物...,352,捷克,8401719
5,第5章 其他动物...,402,阿根廷,25475
5,第5章 其他动物...,412,智利,177484
5,第5章 其他动物...,413,哥伦比亚,147994
5,第5章 其他动物...,438,法属圣马丁,854
5,第5章 其他动物...,609,新西兰,112687
6,第6章 活树及其...,103,孟加拉国,188333
6,第6章 活树及其...,105,文莱,186269
6,第6章 活树及其...,106,缅甸,446987
6,第6章 活树及其...,107,柬埔寨,69131
6,第6章 活树及其...,114,伊拉克,1296459
6,第6章 活树及其...,115,以色列,383195
6,第6章 活树及其...,117,约旦,6935
6,第6章 活树及其...,121,中国澳门,2859508
6,第6章 活树及其...,130,卡塔尔,301592
6,第6章 活树及其...,131,沙特阿拉伯,1057598
6,第6章 活树及其...,134,斯里兰卡,63110
6,第6章 活树及其...,146,吉尔吉斯斯坦,232192
6,第6章 活树及其...,201,阿尔及利亚,69890
6,第6章 活树及其...,215,埃及,65162
6,第6章 活树及其...,302,丹麦,1790976
6,第6章 活树及其...,311,葡萄牙,263402
6,第6章 活树及其...,330,瑞典,200344
6,第6章 活树及其...,343,摩尔多瓦,2724
6,第6章 活树及其...,352,捷克,33485
6,第6章 活树及其...,412,智利,456363
6,第6章 活树及其...,413,哥伦比亚,143188
6,第6章 活树及其...,418,多米尼加,21100
6,第6章 活树及其...,419,厄瓜多尔,24257
6,第6章 活树及其...,423,危地马拉,45906
6,第6章 活树及其...,426,洪都拉斯,2362
6,第6章 活树及其...,433,巴拉圭,697
6,第6章 活树及其...,434,秘鲁,10513
6,第6章 活树及其...,603,斐济,21658
6,第6章 活树及其...,609,新西兰,463056
7,第7章 食用蔬菜...,103,孟加拉国,82427078
7,第7章 食用蔬菜...,105,文莱,5586382
7,第7章 食用蔬菜...,106,缅甸,15451904
7,第7章 食用蔬菜...,107,柬埔寨,8740108
7,第7章 食用蔬菜...,114,伊拉克,5214454
7,第7章 食用蔬菜...,115,以色列,26149133
7,第7章 食用蔬菜...,117,约旦,963902
7,第7章 食用蔬菜...,121,中国澳门,12193860
7,第7章 食用蔬菜...,130,卡塔尔,11819165
7,第7章 食用蔬菜...,131,沙特阿拉伯,64039258
7,第7章 食用蔬菜...,134,斯里兰卡,35943327
7,第7章 食用蔬菜...,144,东帝汶,1430084
7,第7章 食用蔬菜...,146,吉尔吉斯斯坦,28239285
7,第7章 食用蔬菜...,201,阿尔及利亚,783563
7,第7章 食用蔬菜...,215,埃及,5753894
7,第7章 食用蔬菜...,216,赤道几内亚,79579
7,第7章 食用蔬菜...,226,利比亚,2268897
7,第7章 食用蔬菜...,229,马里,1735637
7,第7章 食用蔬菜...,232,摩洛哥,202376
7,第7章 食用蔬菜...,236,尼日利亚,762809
7,第7章 食用蔬菜...,247,坦桑尼亚,1368865
7,第7章 食用蔬菜...,248,多哥,1229264
7,第7章 食用蔬菜...,251,布基纳法索,2148951
7,第7章 食用蔬菜...,253,赞比亚,239222
7,第7章 食用蔬菜...,302,丹麦,7325293
7,第7章 食用蔬菜...,311,葡萄牙,2712792
7,第7章 食用蔬菜...,328,罗马尼亚,4186279
7,第7章 食用蔬菜...,330,瑞典,5260777
7,第7章 食用蔬菜...,331,瑞士,1046113
7,第7章 食用蔬菜...,334,爱沙尼亚,1215767
7,第7章 食用蔬菜...,335,拉脱维亚,1858029
7,第7章 食用蔬菜...,343,摩尔多瓦,15513
7,第7章 食用蔬菜...,347,乌克兰,4773468
7,第7章 食用蔬菜...,352,捷克,1779758
7,第7章 食用蔬菜...,354,北马其顿,48788
7,第7章 食用蔬菜...,402,阿根廷,2021852
7,第7章 食用蔬菜...,412,智利,23171187
7,第7章 食用蔬菜...,413,哥伦比亚,39015392
7,第7章 食用蔬菜...,416,古巴,462558
7,第7章 食用蔬菜...,418,多米尼加,10377953
7,第7章 食用蔬菜...,419,厄瓜多尔,15193517
7,第7章 食用蔬菜...,423,危地马拉,5245818
7,第7章 食用蔬菜...,426,洪都拉斯,2557751
7,第7章 食用蔬菜...,432,巴拿马,4027355
7,第7章 食用蔬菜...,433,巴拉圭,6830523
7,第7章 食用蔬菜...,434,秘鲁,1772999
7,第7章 食用蔬菜...,445,委内瑞拉,235584
7,第7章 食用蔬菜...,447,圣基茨和尼维斯,112012
7,第7章 食用蔬菜...,603,斐济,1078134
7,第7章 食用蔬菜...,609,新西兰,13403328
7,第7章 食用蔬菜...,611,巴布亚新几内亚,937763
7,第7章 食用蔬菜...,613,所罗门群岛,146303
7,第7章 食用蔬菜...,623,法属波利尼西亚,390808
8,第8章 食用水果...,101,阿富汗,3519583
8,第8章 食用水果...,103,孟加拉国,68027559
8,第8章 食用水果...,105,文莱,611838
8,第8章 食用水果...,106,缅甸,1551605
8,第8章 食用水果...,107,柬埔寨,10311722
8,第8章 食用水果...,114,伊拉克,5286739
8,第8章 食用水果...,115,以色列,13033979
8,第8章 食用水果...,117,约旦,37429
8,第8章 食用水果...,121,中国澳门,8081962
8,第8章 食用水果...,130,卡塔尔,2512401
8,第8章 食用水果...,131,沙特阿拉伯,3945309
8,第8章 食用水果...,134,斯里兰卡,5616313
8,第8章 食用水果...,144,东帝汶,922589
8,第8章 食用水果...,146,吉尔吉斯斯坦,138450815
8,第8章 食用水果...,201,阿尔及利亚,3049493
8,第8章 食用水果...,226,利比亚,1207497
8,第8章 食用水果...,232,摩洛哥,2300087
8,第8章 食用水果...,236,尼日利亚,313692
8,第8章 食用水果...,302,丹麦,1035569
