商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章 活动物,110,中国香港,34550699
1,第1章 活动物,112,印度尼西亚,17600
1,第1章 活动物,116,日本,594542
1,第1章 活动物,122,马来西亚,16050
1,第1章 活动物,125,尼泊尔,77206
1,第1章 活动物,132,新加坡,74380
1,第1章 活动物,133,韩国,490518
1,第1章 活动物,136,泰国,10900
1,第1章 活动物,141,越南,526523
1,第1章 活动物,143,中国台湾,2620
1,第1章 活动物,145,哈萨克斯坦,900
1,第1章 活动物,303,英国,33625
1,第1章 活动物,304,德国,77847
1,第1章 活动物,344,俄罗斯,99024
1,第1章 活动物,502,美国,1192734
2,第2章 肉及食用...,102,巴林,1801739
2,第2章 肉及食用...,110,中国香港,55006700
2,第2章 肉及食用...,116,日本,426567
2,第2章 肉及食用...,119,老挝,440052
2,第2章 肉及食用...,122,马来西亚,3812726
2,第2章 肉及食用...,132,新加坡,205500
2,第2章 肉及食用...,136,泰国,36355
2,第2章 肉及食用...,141,越南,230053
2,第2章 肉及食用...,145,哈萨克斯坦,189689
2,第2章 肉及食用...,150,格鲁吉亚(2023年起),3100949
2,第2章 肉及食用...,151,亚美尼亚(2023年起),41342
2,第2章 肉及食用...,202,安哥拉,1125826
2,第2章 肉及食用...,221,几内亚,39693
2,第2章 肉及食用...,242,塞拉利昂,118839
2,第2章 肉及食用...,243,索马里,240955
2,第2章 肉及食用...,304,德国,475550
2,第2章 肉及食用...,344,俄罗斯,14240189
2,第2章 肉及食用...,502,美国,311623
3,第3章 鱼、甲壳...,102,巴林,127950
3,第3章 鱼、甲壳...,110,中国香港,71630737
3,第3章 鱼、甲壳...,111,印度,3642
3,第3章 鱼、甲壳...,112,印度尼西亚,6456279
3,第3章 鱼、甲壳...,113,伊朗,210620
3,第3章 鱼、甲壳...,116,日本,160812604
3,第3章 鱼、甲壳...,119,老挝,18040
3,第3章 鱼、甲壳...,120,黎巴嫩,19980
3,第3章 鱼、甲壳...,122,马来西亚,19176783
3,第3章 鱼、甲壳...,126,阿曼,143941
3,第3章 鱼、甲壳...,132,新加坡,5486409
3,第3章 鱼、甲壳...,133,韩国,109950719
3,第3章 鱼、甲壳...,136,泰国,35793241
3,第3章 鱼、甲壳...,141,越南,31661417
3,第3章 鱼、甲壳...,143,中国台湾,27758479
3,第3章 鱼、甲壳...,145,哈萨克斯坦,535926
3,第3章 鱼、甲壳...,149,乌兹别克斯坦,186200
3,第3章 鱼、甲壳...,150,格鲁吉亚(2023年起),87268
3,第3章 鱼、甲壳...,202,安哥拉,96213
3,第3章 鱼、甲壳...,205,布隆迪,59715
3,第3章 鱼、甲壳...,206,喀麦隆,4613371
3,第3章 鱼、甲壳...,212,科摩罗,51900
3,第3章 鱼、甲壳...,218,加蓬,1091051
3,第3章 鱼、甲壳...,221,几内亚,213363
3,第3章 鱼、甲壳...,223,科特迪瓦,12671802
3,第3章 鱼、甲壳...,231,毛里求斯,720092
3,第3章 鱼、甲壳...,234,纳米比亚,47250
3,第3章 鱼、甲壳...,237,留尼汪,93112
3,第3章 鱼、甲壳...,240,塞内加尔,6517539
3,第3章 鱼、甲壳...,243,索马里,45900
3,第3章 鱼、甲壳...,249,突尼斯,514584
3,第3章 鱼、甲壳...,259,马约特,94160
3,第3章 鱼、甲壳...,303,英国,24786473
3,第3章 鱼、甲壳...,304,德国,25773885
3,第3章 鱼、甲壳...,324,马耳他,124740
3,第3章 鱼、甲壳...,344,俄罗斯,27678524
3,第3章 鱼、甲壳...,351,克罗地亚,79050
3,第3章 鱼、甲壳...,358,塞尔维亚,29484
3,第3章 鱼、甲壳...,401,安提瓜和巴布达,70366
3,第3章 鱼、甲壳...,417,库拉索,89139
3,第3章 鱼、甲壳...,425,海地,141750
3,第3章 鱼、甲壳...,428,马提尼克,101035
3,第3章 鱼、甲壳...,441,苏里南,108690
3,第3章 鱼、甲壳...,502,美国,96690853
3,第3章 鱼、甲壳...,601,澳大利亚,8699016
3,第3章 鱼、甲壳...,607,新喀里多尼亚,32400
4,第4章 乳品；蛋...,102,巴林,206700
4,第4章 乳品；蛋...,110,中国香港,24884224
4,第4章 乳品；蛋...,112,印度尼西亚,69458
4,第4章 乳品；蛋...,116,日本,8253334
4,第4章 乳品；蛋...,119,老挝,7740
4,第4章 乳品；蛋...,120,黎巴嫩,16045
4,第4章 乳品；蛋...,122,马来西亚,599755
4,第4章 乳品；蛋...,125,尼泊尔,7410
4,第4章 乳品；蛋...,126,阿曼,131779
4,第4章 乳品；蛋...,132,新加坡,1676093
4,第4章 乳品；蛋...,133,韩国,1671152
4,第4章 乳品；蛋...,135,叙利亚,324713
4,第4章 乳品；蛋...,136,泰国,375256
