商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章   活动物,102,巴林,3534.0
1,第1章   活动物,110,中国香港,32611240.0
1,第1章   活动物,111,印度,64674.0
1,第1章   活动物,116,日本,242014.0
1,第1章   活动物,119,老挝,3068.0
1,第1章   活动物,120,黎巴嫩,16250.0
1,第1章   活动物,122,马来西亚,32089.0
1,第1章   活动物,125,尼泊尔,128764.0
1,第1章   活动物,132,新加坡,40564.0
1,第1章   活动物,133,韩国,426180.0
1,第1章   活动物,136,泰国,28645.0
1,第1章   活动物,141,越南,749324.0
1,第1章   活动物,143,中国台湾,5739.0
1,第1章   活动物,145,哈萨克斯坦,450.0
1,第1章   活动物,150,格鲁吉亚,3186.0
1,第1章   活动物,303,英国,9543.0
1,第1章   活动物,304,德国,69762.0
1,第1章   活动物,344,俄罗斯,13634.0
1,第1章   活动物,502,美国,729952.0
2,第2章   肉及食用杂碎,102,巴林,4134922.0
2,第2章   肉及食用杂碎,110,中国香港,55712205.0
2,第2章   肉及食用杂碎,112,印度尼西亚,36843.0
2,第2章   肉及食用杂碎,116,日本,209248.0
2,第2章   肉及食用杂碎,119,老挝,1476486.0
2,第2章   肉及食用杂碎,120,黎巴嫩,162876.0
2,第2章   肉及食用杂碎,122,马来西亚,3097134.0
2,第2章   肉及食用杂碎,132,新加坡,364133.0
2,第2章   肉及食用杂碎,135,叙利亚,36894.0
2,第2章   肉及食用杂碎,136,泰国,64397.0
2,第2章   肉及食用杂碎,141,越南,11100.0
2,第2章   肉及食用杂碎,145,哈萨克斯坦,712680.0
2,第2章   肉及食用杂碎,148,土库曼斯坦,569535.0
2,第2章   肉及食用杂碎,149,乌兹别克斯坦,741395.0
2,第2章   肉及食用杂碎,150,格鲁吉亚,2819761.0
2,第2章   肉及食用杂碎,151,亚美尼亚,213826.0
2,第2章   肉及食用杂碎,152,阿塞拜疆,105974.0
2,第2章   肉及食用杂碎,202,安哥拉,2835645.0
2,第2章   肉及食用杂碎,218,加蓬,72640.0
2,第2章   肉及食用杂碎,221,几内亚,130251.0
2,第2章   肉及食用杂碎,223,科特迪瓦,34720.0
2,第2章   肉及食用杂碎,225,利比里亚,260860.0
2,第2章   肉及食用杂碎,231,毛里求斯,35640.0
2,第2章   肉及食用杂碎,242,塞拉利昂,36907.0
2,第2章   肉及食用杂碎,243,索马里,243307.0
2,第2章   肉及食用杂碎,304,德国,229022.0
2,第2章   肉及食用杂碎,344,俄罗斯,25059621.0
2,第2章   肉及食用杂碎,502,美国,91638.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,63840.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,68606451.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,265286.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,4373987.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,152565576.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,45279.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,33885.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,18414873.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,51600.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,6206074.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,93049515.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,22048043.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,21943348.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,22146227.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,822323.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,149,乌兹别克斯坦,222198.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,150,格鲁吉亚,166932.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,152,阿塞拜疆,166376.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,202,安哥拉,275251.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,66325.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,6578746.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,115761.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,349930.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,939404.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,14011179.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,225,利比里亚,111056.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,542604.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,207103.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,5808588.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,79496.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,81068.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,149547.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,30819225.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,35645123.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,18425206.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,421,格林纳达,100920.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,295694.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,428,马提尼克,124216.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,440,萨尔瓦多,743174.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,22140.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,90986507.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,9113469.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,102,巴林,2489300.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,21807890.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,2000.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,8011520.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,119,老挝,29590.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,120,黎巴嫩,16044.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,590922.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,125,尼泊尔,6826.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,126,阿曼,1064556.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,2737022.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,1306920.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,1580747.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,542349.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,143,中国台湾,348.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,148,土库曼斯坦,36000.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,230,毛里塔尼亚,37749.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,231,毛里求斯,25984.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,243,索马里,131459.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,3574390.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,543919.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,31233.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,1640969.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,1117264.0
5,第5章   其他动物产品,110,中国香港,1528618.0
5,第5章   其他动物产品,111,印度,227483.0
5,第5章   其他动物产品,112,印度尼西亚,2492132.0
5,第5章   其他动物产品,116,日本,15117270.0
5,第5章   其他动物产品,119,老挝,24290.0
5,第5章   其他动物产品,120,黎巴嫩,211.0
5,第5章   其他动物产品,122,马来西亚,182769.0
5,第5章   其他动物产品,132,新加坡,21987.0
5,第5章   其他动物产品,133,韩国,1917099.0
5,第5章   其他动物产品,136,泰国,1269156.0
5,第5章   其他动物产品,141,越南,9509746.0
5,第5章   其他动物产品,143,中国台湾,1882803.0
5,第5章   其他动物产品,145,哈萨克斯坦,530460.0
5,第5章   其他动物产品,206,喀麦隆,112.0
5,第5章   其他动物产品,223,科特迪瓦,147.0
5,第5章   其他动物产品,231,毛里求斯,325.0
5,第5章   其他动物产品,240,塞内加尔,56.0
5,第5章   其他动物产品,303,英国,1491652.0
5,第5章   其他动物产品,304,德国,21418790.0
5,第5章   其他动物产品,358,塞尔维亚,141577.0
5,第5章   其他动物产品,440,萨尔瓦多,8579.0
5,第5章   其他动物产品,502,美国,17429434.0
5,第5章   其他动物产品,601,澳大利亚,257453.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,102,巴林,127657.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,110,中国香港,1442806.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,1030882.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,112,印度尼西亚,218443.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,113,伊朗,2111.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,116,日本,7033927.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,119,老挝,600.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,120,黎巴嫩,70709.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,122,马来西亚,1209751.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,125,尼泊尔,27728.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,126,阿曼,70694.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,132,新加坡,1317081.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,133,韩国,5383982.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,136,泰国,1838988.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,139,也门,17.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,141,越南,4096221.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,143,中国台湾,274078.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,145,哈萨克斯坦,3265568.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,148,土库曼斯坦,2904.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,149,乌兹别克斯坦,150133.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,150,格鲁吉亚,17249.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,151,亚美尼亚,134055.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,152,阿塞拜疆,3400.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,231,毛里求斯,10749.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,240,塞内加尔,174.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,303,英国,113726.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,304,德国,719880.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,344,俄罗斯,2595052.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,351,克罗地亚,708.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,358,塞尔维亚,282.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,502,美国,8840147.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,601,澳大利亚,1141417.0
7,第7章   食用蔬菜、根及块茎,102,巴林,455261.0
7,第7章   食用蔬菜、根及块茎,110,中国香港,73761720.0
7,第7章   食用蔬菜、根及块茎,111,印度,7879820.0
7,第7章   食用蔬菜、根及块茎,112,印度尼西亚,68511229.0
7,第7章   食用蔬菜、根及块茎,116,日本,111995847.0
7,第7章   食用蔬菜、根及块茎,119,老挝,656663.0
7,第7章   食用蔬菜、根及块茎,120,黎巴嫩,551833.0
7,第7章   食用蔬菜、根及块茎,122,马来西亚,67134305.0
7,第7章   食用蔬菜、根及块茎,125,尼泊尔,628369.0
7,第7章   食用蔬菜、根及块茎,126,阿曼,884926.0
7,第7章   食用蔬菜、根及块茎,132,新加坡,9800483.0
7,第7章   食用蔬菜、根及块茎,133,韩国,46866701.0
7,第7章   食用蔬菜、根及块茎,135,叙利亚,704733.0
7,第7章   食用蔬菜、根及块茎,136,泰国,58941760.0
7,第7章   食用蔬菜、根及块茎,139,也门,28341.0
7,第7章   食用蔬菜、根及块茎,141,越南,104952069.0
7,第7章   食用蔬菜、根及块茎,143,中国台湾,6720052.0
7,第7章   食用蔬菜、根及块茎,145,哈萨克斯坦,880312.0
7,第7章   食用蔬菜、根及块茎,148,土库曼斯坦,82679.0
7,第7章   食用蔬菜、根及块茎,149,乌兹别克斯坦,365295.0
7,第7章   食用蔬菜、根及块茎,150,格鲁吉亚,687414.0
7,第7章   食用蔬菜、根及块茎,151,亚美尼亚,55888.0
7,第7章   食用蔬菜、根及块茎,152,阿塞拜疆,96300.0
7,第7章   食用蔬菜、根及块茎,202,安哥拉,521908.0
7,第7章   食用蔬菜、根及块茎,206,喀麦隆,435199.0
7,第7章   食用蔬菜、根及块茎,212,科摩罗,26765.0
7,第7章   食用蔬菜、根及块茎,218,加蓬,344246.0
7,第7章   食用蔬菜、根及块茎,221,几内亚,789878.0
7,第7章   食用蔬菜、根及块茎,223,科特迪瓦,1212791.0
7,第7章   食用蔬菜、根及块茎,225,利比里亚,75492.0
7,第7章   食用蔬菜、根及块茎,230,毛里塔尼亚,91068.0
7,第7章   食用蔬菜、根及块茎,231,毛里求斯,421740.0
7,第7章   食用蔬菜、根及块茎,237,留尼汪,350572.0
7,第7章   食用蔬菜、根及块茎,240,塞内加尔,1893550.0
7,第7章   食用蔬菜、根及块茎,243,索马里,374067.0
7,第7章   食用蔬菜、根及块茎,249,突尼斯,1021398.0
7,第7章   食用蔬菜、根及块茎,259,马约特,9549.0
7,第7章   食用蔬菜、根及块茎,260,南苏丹,102991.0
7,第7章   食用蔬菜、根及块茎,303,英国,11684803.0
7,第7章   食用蔬菜、根及块茎,304,德国,10692888.0
7,第7章   食用蔬菜、根及块茎,324,马耳他,17411.0
7,第7章   食用蔬菜、根及块茎,344,俄罗斯,21336317.0
7,第7章   食用蔬菜、根及块茎,351,克罗地亚,131526.0
7,第7章   食用蔬菜、根及块茎,358,塞尔维亚,277528.0
7,第7章   食用蔬菜、根及块茎,403,阿鲁巴,24658.0
7,第7章   食用蔬菜、根及块茎,424,圭亚那,281518.0
7,第7章   食用蔬菜、根及块茎,425,海地,1742860.0
7,第7章   食用蔬菜、根及块茎,428,马提尼克,36404.0
7,第7章   食用蔬菜、根及块茎,440,萨尔瓦多,526516.0
7,第7章   食用蔬菜、根及块茎,441,苏里南,120087.0
7,第7章   食用蔬菜、根及块茎,502,美国,59705970.0
7,第7章   食用蔬菜、根及块茎,601,澳大利亚,8314614.0
7,第7章   食用蔬菜、根及块茎,607,新喀里多尼亚,40501.0
7,第7章   食用蔬菜、根及块茎,618,基里巴斯,10660.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,102,巴林,309700.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,110,中国香港,31993841.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,111,印度,11227135.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,112,印度尼西亚,58371084.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,113,伊朗,969323.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,116,日本,13502735.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,119,老挝,250125.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,120,黎巴嫩,1847769.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,122,马来西亚,22775193.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,125,尼泊尔,7054144.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,126,阿曼,354073.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,132,新加坡,8535053.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,133,韩国,3048427.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,135,叙利亚,194659.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,136,泰国,55393949.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,141,越南,113249164.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,143,中国台湾,3609916.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,145,哈萨克斯坦,19916442.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,148,土库曼斯坦,1453940.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,149,乌兹别克斯坦,14880113.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,150,格鲁吉亚,2931319.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,151,亚美尼亚,419963.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,152,阿塞拜疆,634855.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,202,安哥拉,704.0
