商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章   活动物,110,中国香港,30469131.0
1,第1章   活动物,111,印度,36510.0
1,第1章   活动物,116,日本,360700.0
1,第1章   活动物,119,老挝,2416.0
1,第1章   活动物,120,黎巴嫩,12900.0
1,第1章   活动物,122,马来西亚,25419.0
1,第1章   活动物,125,尼泊尔,64359.0
1,第1章   活动物,132,新加坡,46008.0
1,第1章   活动物,133,韩国,383136.0
1,第1章   活动物,136,泰国,6940.0
1,第1章   活动物,141,越南,601234.0
1,第1章   活动物,150,格鲁吉亚,7686.0
1,第1章   活动物,303,英国,11085.0
1,第1章   活动物,304,德国,16727.0
1,第1章   活动物,344,俄罗斯,8015.0
1,第1章   活动物,502,美国,816344.0
2,第2章   肉及食用杂碎,102,巴林,4534691.0
2,第2章   肉及食用杂碎,110,中国香港,47889285.0
2,第2章   肉及食用杂碎,116,日本,744668.0
2,第2章   肉及食用杂碎,119,老挝,1230343.0
2,第2章   肉及食用杂碎,120,黎巴嫩,136109.0
2,第2章   肉及食用杂碎,122,马来西亚,5574711.0
2,第2章   肉及食用杂碎,132,新加坡,379630.0
2,第2章   肉及食用杂碎,136,泰国,10155.0
2,第2章   肉及食用杂碎,141,越南,168959.0
2,第2章   肉及食用杂碎,145,哈萨克斯坦,1954161.0
2,第2章   肉及食用杂碎,148,土库曼斯坦,654299.0
2,第2章   肉及食用杂碎,149,乌兹别克斯坦,511503.0
2,第2章   肉及食用杂碎,150,格鲁吉亚,3746085.0
2,第2章   肉及食用杂碎,151,亚美尼亚,719115.0
2,第2章   肉及食用杂碎,202,安哥拉,1139016.0
2,第2章   肉及食用杂碎,218,加蓬,27000.0
2,第2章   肉及食用杂碎,221,几内亚,279643.0
2,第2章   肉及食用杂碎,223,科特迪瓦,34720.0
2,第2章   肉及食用杂碎,225,利比里亚,395945.0
2,第2章   肉及食用杂碎,242,塞拉利昂,15924.0
2,第2章   肉及食用杂碎,243,索马里,248345.0
2,第2章   肉及食用杂碎,304,德国,330850.0
2,第2章   肉及食用杂碎,344,俄罗斯,16516173.0
2,第2章   肉及食用杂碎,425,海地,41420.0
2,第2章   肉及食用杂碎,502,美国,254144.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,62689452.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,159210.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,10450061.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,265300.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,158040525.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,12038.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,42340.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,19517779.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,227200.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,5605656.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,89725039.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,13612053.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,18741716.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,26608419.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,796638.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,149,乌兹别克斯坦,282999.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,150,格鲁吉亚,380065.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,152,阿塞拜疆,93042.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,30690.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,7696032.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,154280.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,289472.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,334872.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,10198709.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,225,利比里亚,150095.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,1790308.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,95412.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,2796694.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,120104.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,33210.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,68796.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,39264246.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,37093697.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,324,马耳他,16371.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,24659709.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,386963.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,398213.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,428,马提尼克,124065.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,437,圣卢西亚,58376.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,440,萨尔瓦多,189954.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,159518.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,74783049.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,9450170.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,607,新喀里多尼亚,59265.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,102,巴林,1069777.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,24299894.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,111,印度,129600.0
