Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,,118,Kuwait,3467.0
1,,124,Mongolia,44759.0
1,,129,Philippines,1200.0
1,,138,United Arab Emirates,200.0
1,,307,Italy,46421.0
1,,309,Netherlands,25.0
1,,312,Spain,220.0
1,,327,Poland,108.0
1,,501,Canada,75.0
2,,109,Democratic People's Republic of Korea,273200.0
2,,118,Kuwait,162887.0
2,,124,Mongolia,2038870.0
2,,127,Pakistan,29700.0
2,,138,United Arab Emirates,52500.0
2,,147,Tajikistan,1930355.0
2,,224,Kenya,7.0
2,,301,Belgium,824681.0
2,,339,Azerbai jan,32760.0
2,,404,Bahamas,188883.0
3,,108,Cyprus,411947.0
3,,109,Democratic People's Republic of Korea,6876845.0
3,,118,Kuwait,39639.0
3,,129,Philippines,41589183.0
3,,137,Türkiye,572777.0
3,,138,United Arab Emirates,3915836.0
3,,203,Benin,648318.0
3,,208,Cabo Verde,465259.0
3,,209,Central African Republic,139120.0
3,,213,Congo,564873.0
3,,220,Ghana,1927314.0
3,,224,Kenya,2007597.0
3,,235,Niger,210688.0
3,,241,Seychelles,312140.0
3,,244,South Africa,4356892.0
3,,252,Democratic Republic of Congo,1567021.0
3,,301,Belgium,6392504.0
3,,305,France,18170935.0
3,,306,Ireland,67157.0
3,,307,Italy,11598017.0
3,,309,Netherlands,14921167.0
3,,310,Greece,2188657.0
3,,312,Spain,32731365.0
3,,313,Albania,77410.0
3,,316,Bulgaria,52483.0
3,,318,Finland,26136.0
3,,321,Hungary,233836.0
3,,326,Norway,1387159.0
3,,327,Poland,7272304.0
3,,336,Lithuania,437301.0
3,,340,Belarus,732176.0
3,,350,Slovenia,73215.0
3,,357,Faroe Islands,49400.0
3,,359,Montenegro,83300.0
3,,404,Bahamas,49167.0
3,,405,Barbados,66817.0
3,,410,Brazil,6803797.0
3,,415,Costa Rica,1032516.0
3,,427,Jamaica,453353.0
3,,429,Mexico,13659693.0
3,,435,Puerto Rico,561971.0
3,,442,Trinidad and Tobago,490535.0
3,,444,Uruguay,798255.0
3,,501,Canada,27487756.0
3,,614,Tonga,51800.0
3,,617,Samoa,962645.0
3,,621,Marshall Islands,183332.0
4,,109,Democratic People's Republic of Korea,65004.0
4,,123,Maldives,13904.0
4,,129,Philippines,238039.0
4,,137,Türkiye,12780.0
4,,138,United Arab Emirates,206599.0
4,,244,South Africa,673310.0
4,,301,Belgium,1184184.0
4,,305,France,150663.0
4,,306,Ireland,362814.0
4,,307,Italy,335323.0
4,,309,Netherlands,1198718.0
4,,310,Greece,85800.0
4,,312,Spain,1416806.0
4,,315,Austria,192647.0
4,,316,Bulgaria,34790.0
4,,327,Poland,1456980.0
4,,336,Lithuania,92290.0
4,,404,Bahamas,41967.0
4,,444,Uruguay,35155.0
4,,501,Canada,276593.0
5,,109,Democratic People's Republic of Korea,3830004.0
5,,118,Kuwait,3456.0
5,,129,Philippines,6210850.0
5,,137,Türkiye,178608.0
5,,138,United Arab Emirates,347854.0
5,,220,Ghana,48310.0
5,,233,Mozambique,32265.0
5,,244,South Africa,7435279.0
5,,301,Belgium,775441.0
5,,305,France,882098.0
5,,307,Italy,3554147.0
5,,309,Netherlands,12467222.0
5,,310,Greece,32932.0
5,,312,Spain,5548045.0
5,,315,Austria,1853606.0
5,,316,Bulgaria,35955.0
5,,321,Hungary,524206.0
5,,326,Norway,786264.0
5,,327,Poland,7510509.0
5,,336,Lithuania,16220.0
5,,340,Belarus,36137.0
5,,410,Brazil,4939705.0
5,,429,Mexico,66279.0
5,,501,Canada,1084016.0
6,,118,Kuwait,405.0
6,,123,Maldives,622.0
6,,127,Pakistan,7516.0
6,,129,Philippines,230940.0
6,,137,Türkiye,30250.0
6,,138,United Arab Emirates,263380.0
6,,224,Kenya,2310.0
6,,244,South Africa,12231.0
6,,301,Belgium,114116.0
6,,305,France,31334.0
6,,307,Italy,56207.0
6,,309,Netherlands,2096987.0
6,,312,Spain,74605.0
6,,315,Austria,4042.0
6,,327,Poland,11629.0
6,,429,Mexico,14815.0
6,,501,Canada,485329.0
7,,109,Democratic People's Republic of Korea,554065.0
7,,118,Kuwait,1514469.0
7,,123,Maldives,308300.0
7,,124,Mongolia,940332.0
7,,127,Pakistan,5230680.0
7,,129,Philippines,16323592.0
7,,137,Türkiye,695226.0
7,,138,United Arab Emirates,15091642.0
7,,203,Benin,80100.0
7,,208,Cabo Verde,127340.0
7,,213,Congo,339230.0
7,,219,Gambia,256253.0
7,,220,Ghana,796281.0
7,,222,Guinea-Bissau,71812.0
7,,224,Kenya,587452.0
7,,233,Mozambique,300972.0
7,,239,Sao Tome and Principe,22910.0
7,,241,Seychelles,34517.0
7,,244,South Africa,1685922.0
7,,250,Uganda,55210.0
7,,252,Democratic Republic of Congo,732173.0
7,,301,Belgium,3680607.0
7,,305,France,4753405.0
7,,306,Ireland,27144.0
7,,307,Italy,4730339.0
7,,309,Netherlands,10405266.0
7,,310,Greece,199550.0
7,,312,Spain,2872048.0
7,,313,Albania,111886.0
7,,318,Finland,87469.0
7,,321,Hungary,347395.0
7,,326,Norway,375069.0
7,,327,Poland,1185900.0
7,,336,Lithuania,111664.0
7,,340,Belarus,56769.0
7,,350,Slovenia,160437.0
7,,359,Montenegro,16200.0
7,,404,Bahamas,2970.0
7,,405,Barbados,90510.0
7,,410,Brazil,16840707.0
7,,415,Costa Rica,1230879.0
7,,427,Jamaica,402440.0
7,,429,Mexico,982580.0
7,,431,Nicaragua,688596.0
7,,435,Puerto Rico,906862.0
7,,442,Trinidad and Tobago,703426.0
7,,444,Uruguay,263622.0
7,,501,Canada,12921397.0
8,,109,Democratic People's Republic of Korea,2099251.0
8,,123,Maldives,353.0
8,,124,Mongolia,213778.0
8,,127,Pakistan,3988073.0
8,,129,Philippines,13332806.0
8,,137,Türkiye,1777302.0
8,,138,United Arab Emirates,1899761.0
8,,244,South Africa,101894.0
8,,252,Democratic Republic of Congo,19570.0
8,,301,Belgium,561890.0
8,,305,France,952049.0
8,,306,Ireland,201969.0
8,,307,Italy,1808091.0
8,,309,Netherlands,2346964.0
8,,310,Greece,291660.0
8,,312,Spain,1012403.0
8,,318,Finland,1660.0
8,,326,Norway,48230.0
8,,327,Poland,386320.0
8,,336,Lithuania,171450.0
8,,340,Belarus,824.0
8,,350,Slovenia,21954.0
8,,359,Montenegro,284375.0
8,,404,Bahamas,1306.0
8,,410,Brazil,176449.0
8,,429,Mexico,905031.0
8,,435,Puerto Rico,34941.0
8,,444,Uruguay,48512.0
8,,501,Canada,2488998.0
9,,108,Cyprus,21180.0
9,,109,Democratic People's Republic of Korea,225760.0
9,,118,Kuwait,123442.0
9,,123,Maldives,13500.0
9,,124,Mongolia,3500.0
9,,127,Pakistan,5825189.0
9,,129,Philippines,838143.0
9,,137,Türkiye,1722873.0
9,,138,United Arab Emirates,3662693.0
9,,147,Tajikistan,256073.0
9,,203,Benin,524804.0
9,,211,Chad,260620.0
9,,213,Congo,97240.0
9,,219,Gambia,1502698.0
9,,220,Ghana,7399495.0
9,,224,Kenya,147599.0
9,,227,Madagascar,606.0
9,,235,Niger,120409.0
9,,241,Seychelles,10465.0
9,,244,South Africa,1221175.0
9,,301,Belgium,2940994.0
9,,305,France,2415364.0
9,,306,Ireland,30711.0
9,,307,Italy,691660.0
9,,309,Netherlands,3743188.0
9,,310,Greece,44555.0
9,,312,Spain,8798831.0
9,,313,Albania,156029.0
9,,315,Austria,133.0
9,,316,Bulgaria,750787.0
9,,318,Finland,16.0
9,,321,Hungary,312285.0
9,,326,Norway,2448.0
9,,327,Poland,462187.0
9,,336,Lithuania,79731.0
9,,340,Belarus,8525.0
9,,350,Slovenia,77566.0
9,,359,Montenegro,8450.0
9,,410,Brazil,287851.0
9,,415,Costa Rica,9900.0
9,,427,Jamaica,85754.0
9,,429,Mexico,3365816.0
9,,431,Nicaragua,12730.0
9,,444,Uruguay,51121.0
9,,501,Canada,1432959.0
10,,109,Democratic People's Republic of Korea,4512145.0
10,,124,Mongolia,1059501.0
10,,127,Pakistan,981178.0
10,,129,Philippines,1410508.0
10,,137,Türkiye,1032673.0
10,,219,Gambia,1011558.0
10,,224,Kenya,2198219.0
10,,227,Madagascar,1740190.0
10,,244,South Africa,22295.0
10,,254,Zimbabwe,799352.0
10,,301,Belgium,4900.0
10,,305,France,28000.0
10,,307,Italy,10896.0
10,,309,Netherlands,373779.0
10,,312,Spain,13235.0
10,,326,Norway,24698.0
10,,404,Bahamas,347.0
10,,410,Brazil,37840.0
10,,501,Canada,74447.0
10,,617,Samoa,22647.0
10,,621,Marshall Islands,47191.0
11,,109,Democratic People's Republic of Korea,2942351.0
11,,124,Mongolia,441606.0
11,,127,Pakistan,106622.0
11,,129,Philippines,4069109.0
11,,137,Türkiye,181840.0
11,,138,United Arab Emirates,61402.0
11,,220,Ghana,7410.0
11,,224,Kenya,19753.0
11,,227,Madagascar,32780.0
11,,244,South Africa,109685.0
11,,305,France,8647.0
11,,307,Italy,74818.0
11,,309,Netherlands,4250349.0
11,,312,Spain,17640.0
11,,410,Brazil,65890.0
11,,429,Mexico,64999.0
11,,444,Uruguay,3440.0
11,,501,Canada,130910.0
12,,109,Democratic People's Republic of Korea,55401.0
12,,118,Kuwait,343439.0
12,,127,Pakistan,777012.0
12,,129,Philippines,1017163.0
12,,137,Türkiye,2694202.0
12,,138,United Arab Emirates,388475.0
12,,244,South Africa,61099.0
12,,250,Uganda,1577.0
12,,301,Belgium,241889.0
12,,305,France,893668.0
12,,306,Ireland,452538.0
12,,307,Italy,1367895.0
12,,309,Netherlands,11648175.0
12,,310,Greece,606935.0
12,,312,Spain,4977977.0
12,,313,Albania,30492.0
12,,316,Bulgaria,394464.0
12,,327,Poland,1319080.0
12,,336,Lithuania,217200.0
12,,340,Belarus,30000.0
12,,350,Slovenia,626640.0
12,,359,Montenegro,39558.0
12,,410,Brazil,214248.0
12,,429,Mexico,1206641.0
12,,442,Trinidad and Tobago,57730.0
12,,444,Uruguay,3546.0
12,,501,Canada,3482405.0
13,,127,Pakistan,2634358.0
13,,129,Philippines,1505166.0
13,,137,Türkiye,720887.0
13,,220,Ghana,2350.0
13,,224,Kenya,40560.0
13,,244,South Africa,553933.0
13,,301,Belgium,777503.0
13,,305,France,1342609.0
13,,306,Ireland,57060.0
13,,307,Italy,2260473.0
13,,309,Netherlands,1656990.0
13,,310,Greece,20965.0
13,,312,Spain,6920613.0
13,,313,Albania,87337.0
13,,315,Austria,26362.0
13,,316,Bulgaria,100067.0
13,,318,Finland,17939.0
13,,321,Hungary,52818.0
13,,326,Norway,58794.0
13,,327,Poland,1137375.0
13,,336,Lithuania,23303.0
13,,350,Slovenia,82815.0
13,,408,Bolivia,950.0
13,,410,Brazil,965472.0
13,,415,Costa Rica,77203.0
13,,429,Mexico,3739144.0
13,,435,Puerto Rico,12000.0
13,,444,Uruguay,97438.0
13,,501,Canada,3853210.0
14,,108,Cyprus,11150.0
14,,109,Democratic People's Republic of Korea,73106.0
14,,129,Philippines,2200.0
14,,137,Türkiye,49641.0
14,,138,United Arab Emirates,10238.0
14,,244,South Africa,880.0
14,,301,Belgium,16557.0
14,,305,France,120519.0
14,,307,Italy,285131.0
14,,309,Netherlands,1869669.0
14,,310,Greece,20688.0
14,,312,Spain,945111.0
14,,316,Bulgaria,14674.0
14,,326,Norway,22750.0
14,,327,Poland,213337.0
14,,350,Slovenia,893.0
14,,410,Brazil,2480.0
14,,429,Mexico,54664.0
14,,501,Canada,62051.0
15,,109,Democratic People's Republic of Korea,9225189.0
15,,124,Mongolia,836277.0
15,,127,Pakistan,105798.0
15,,129,Philippines,95393.0
15,,137,Türkiye,920249.0
15,,138,United Arab Emirates,23270.0
15,,220,Ghana,808.0
15,,224,Kenya,17758.0
15,,244,South Africa,77331.0
15,,301,Belgium,263220.0
15,,305,France,744666.0
15,,307,Italy,540372.0
15,,309,Netherlands,15643216.0
15,,310,Greece,450376.0
15,,312,Spain,1997123.0
15,,313,Albania,10958.0
15,,318,Finland,46816.0
15,,326,Norway,65720.0
15,,327,Poland,60179.0
15,,336,Lithuania,29783.0
15,,404,Bahamas,195.0
15,,410,Brazil,316451.0
15,,415,Costa Rica,8720.0
15,,429,Mexico,70706.0
15,,444,Uruguay,158400.0
15,,501,Canada,1574461.0
16,,108,Cyprus,213609.0
16,,109,Democratic People's Republic of Korea,704267.0
16,,123,Maldives,324000.0
16,,124,Mongolia,128616.0
16,,129,Philippines,6031071.0
16,,137,Türkiye,455175.0
16,,138,United Arab Emirates,406175.0
16,,203,Benin,94730.0
16,,213,Congo,2181000.0
16,,220,Ghana,1962979.0
16,,224,Kenya,1327160.0
16,,227,Madagascar,962.0
16,,233,Mozambique,73354.0
16,,244,South Africa,3193633.0
16,,252,Democratic Republic of Congo,249050.0
16,,301,Belgium,3031054.0
16,,305,France,1031922.0
16,,306,Ireland,154243.0
16,,307,Italy,2764509.0
16,,309,Netherlands,12803488.0
16,,310,Greece,26617.0
16,,312,Spain,3063548.0
16,,313,Albania,47203.0
16,,316,Bulgaria,23880.0
16,,318,Finland,1240.0
16,,326,Norway,45670.0
16,,339,Azerbai jan,26087.0
16,,340,Belarus,78993.0
16,,404,Bahamas,53541.0
16,,405,Barbados,79819.0
16,,408,Bolivia,288615.0
16,,410,Brazil,1004126.0
16,,415,Costa Rica,563208.0
16,,427,Jamaica,83531.0
16,,429,Mexico,25442547.0
16,,435,Puerto Rico,351491.0
16,,442,Trinidad and Tobago,114367.0
16,,444,Uruguay,28301.0
16,,501,Canada,6779520.0
16,,614,Tonga,325244.0
16,,617,Samoa,470735.0
17,,109,Democratic People's Republic of Korea,1945782.0
17,,118,Kuwait,232349.0
17,,124,Mongolia,3078195.0
17,,127,Pakistan,1183261.0
17,,129,Philippines,26863269.0
17,,137,Türkiye,627150.0
17,,138,United Arab Emirates,2000026.0
17,,203,Benin,1258250.0
17,,220,Ghana,1421963.0
17,,224,Kenya,153320.0
17,,227,Madagascar,9720.0
17,,235,Niger,35994.0
17,,244,South Africa,1689383.0
17,,252,Democratic Republic of Congo,154257.0
17,,301,Belgium,592188.0
17,,305,France,466063.0
17,,306,Ireland,58182.0
17,,307,Italy,172111.0
17,,309,Netherlands,1091786.0
17,,310,Greece,31196.0
17,,312,Spain,324477.0
17,,313,Albania,1975.0
17,,315,Austria,1141.0
17,,316,Bulgaria,27091.0
17,,318,Finland,153780.0
17,,321,Hungary,51000.0
17,,326,Norway,29480.0
17,,327,Poland,443077.0
17,,336,Lithuania,142335.0
17,,340,Belarus,33799.0
17,,350,Slovenia,34792.0
17,,359,Montenegro,47220.0
17,,404,Bahamas,5781.0
17,,408,Bolivia,241985.0
17,,410,Brazil,703080.0
17,,415,Costa Rica,123909.0
17,,427,Jamaica,36494.0
17,,429,Mexico,2356713.0
17,,431,Nicaragua,55200.0
17,,435,Puerto Rico,45541.0
17,,442,Trinidad and Tobago,35102.0
17,,444,Uruguay,15250.0
17,,501,Canada,2920328.0
18,,109,Democratic People's Republic of Korea,167158.0
18,,118,Kuwait,26290.0
18,,124,Mongolia,1150.0
18,,127,Pakistan,38900.0
18,,129,Philippines,3020335.0
18,,137,Türkiye,51744.0
18,,138,United Arab Emirates,279278.0
18,,203,Benin,66790.0
18,,220,Ghana,183371.0
18,,244,South Africa,178597.0
18,,252,Democratic Republic of Congo,157835.0
18,,305,France,146.0
18,,309,Netherlands,10550.0
18,,312,Spain,718959.0
18,,313,Albania,6000.0
18,,336,Lithuania,6750.0
18,,404,Bahamas,22910.0
18,,405,Barbados,16075.0
18,,408,Bolivia,27096.0
18,,410,Brazil,167965.0
18,,429,Mexico,137235.0
18,,444,Uruguay,39749.0
18,,501,Canada,239520.0
19,,108,Cyprus,8250.0
19,,109,Democratic People's Republic of Korea,653200.0
19,,118,Kuwait,115529.0
19,,123,Maldives,34246.0
19,,124,Mongolia,2172888.0
19,,127,Pakistan,572207.0
19,,129,Philippines,4713345.0
19,,137,Türkiye,404423.0
19,,138,United Arab Emirates,314222.0
19,,203,Benin,38565.0
19,,213,Congo,17389.0
19,,220,Ghana,708598.0
19,,224,Kenya,16.0
19,,227,Madagascar,15070.0
19,,233,Mozambique,155.0
19,,244,South Africa,738514.0
19,,252,Democratic Republic of Congo,33950.0
19,,301,Belgium,478894.0
19,,305,France,910643.0
19,,306,Ireland,157230.0
19,,307,Italy,469371.0
19,,309,Netherlands,2330884.0
19,,310,Greece,117643.0
19,,312,Spain,687981.0
19,,318,Finland,48372.0
19,,326,Norway,320792.0
19,,327,Poland,51898.0
19,,336,Lithuania,3900.0
19,,339,Azerbai jan,16131.0
19,,404,Bahamas,48148.0
19,,410,Brazil,183978.0
19,,415,Costa Rica,15435.0
19,,429,Mexico,212165.0
19,,444,Uruguay,95625.0
19,,501,Canada,5802104.0
19,,614,Tonga,31439.0
19,,617,Samoa,13910.0
19,,621,Marshall Islands,16353.0
20,,108,Cyprus,135927.0
20,,109,Democratic People's Republic of Korea,83623.0
20,,118,Kuwait,646732.0
20,,123,Maldives,90785.0
20,,124,Mongolia,663834.0
20,,127,Pakistan,1181092.0
20,,129,Philippines,17994685.0
20,,137,Türkiye,1244530.0
20,,138,United Arab Emirates,3538928.0
20,,147,Tajikistan,45955.0
20,,203,Benin,1895689.0
20,,208,Cabo Verde,13116.0
20,,213,Congo,35789.0
20,,219,Gambia,183939.0
20,,220,Ghana,5829340.0
20,,224,Kenya,370719.0
20,,227,Madagascar,79160.0
20,,233,Mozambique,292029.0
20,,241,Seychelles,117393.0
20,,244,South Africa,8053279.0
20,,250,Uganda,44130.0
20,,252,Democratic Republic of Congo,596281.0
20,,301,Belgium,2823822.0
20,,305,France,3701446.0
20,,306,Ireland,154887.0
20,,307,Italy,2399674.0
20,,309,Netherlands,10388752.0
20,,310,Greece,1337275.0
20,,312,Spain,14842994.0
20,,313,Albania,151940.0
20,,315,Austria,47150.0
20,,316,Bulgaria,78397.0
20,,318,Finland,182664.0
20,,321,Hungary,230789.0
20,,326,Norway,1055637.0
20,,327,Poland,825859.0
20,,336,Lithuania,764864.0
20,,339,Azerbai jan,263750.0
20,,340,Belarus,223080.0
20,,350,Slovenia,315633.0
20,,359,Montenegro,65800.0
20,,404,Bahamas,21729.0
20,,408,Bolivia,174284.0
20,,410,Brazil,4370668.0
20,,415,Costa Rica,849102.0
20,,427,Jamaica,143105.0
20,,429,Mexico,4718824.0
20,,431,Nicaragua,60075.0
20,,435,Puerto Rico,629394.0
20,,442,Trinidad and Tobago,141882.0
20,,444,Uruguay,122688.0
20,,501,Canada,16730975.0
20,,614,Tonga,14430.0
21,,109,Democratic People's Republic of Korea,1593442.0
21,,118,Kuwait,27920.0
21,,124,Mongolia,706891.0
21,,127,Pakistan,2109945.0
21,,129,Philippines,11964504.0
21,,137,Türkiye,713067.0
21,,138,United Arab Emirates,2589555.0
21,,147,Tajikistan,47776.0
21,,203,Benin,2902303.0
21,,213,Congo,83611.0
21,,219,Gambia,42095.0
21,,220,Ghana,3264914.0
21,,224,Kenya,210160.0
21,,227,Madagascar,164337.0
21,,233,Mozambique,95134.0
21,,235,Niger,44100.0
21,,241,Seychelles,10523.0
21,,244,South Africa,1703913.0
21,,250,Uganda,149360.0
21,,252,Democratic Republic of Congo,691897.0
21,,255,Lesotho,39649.0
21,,301,Belgium,1479623.0
21,,305,France,1946627.0
21,,306,Ireland,418691.0
21,,307,Italy,943309.0
21,,309,Netherlands,4668883.0
21,,310,Greece,27110.0
21,,312,Spain,1018515.0
21,,313,Albania,48170.0
21,,315,Austria,323573.0
21,,316,Bulgaria,226068.0
21,,318,Finland,232628.0
21,,321,Hungary,466705.0
21,,326,Norway,150873.0
21,,327,Poland,796943.0
21,,336,Lithuania,187762.0
21,,340,Belarus,108595.0
21,,350,Slovenia,327332.0
21,,359,Montenegro,283781.0
21,,404,Bahamas,25236.0
21,,406,Belize,16066.0
21,,408,Bolivia,110284.0
21,,410,Brazil,2196273.0
21,,415,Costa Rica,243425.0
21,,429,Mexico,836733.0
21,,431,Nicaragua,84255.0
21,,435,Puerto Rico,738.0
21,,442,Trinidad and Tobago,62669.0
21,,444,Uruguay,4374.0
21,,501,Canada,2637461.0
22,,109,Democratic People's Republic of Korea,3467118.0
22,,124,Mongolia,293921.0
22,,127,Pakistan,923.0
22,,129,Philippines,2015199.0
22,,138,United Arab Emirates,997128.0
22,,224,Kenya,35836.0
22,,244,South Africa,1156353.0
22,,250,Uganda,12510.0
22,,301,Belgium,988824.0
22,,305,France,2273051.0
22,,307,Italy,315385.0
22,,309,Netherlands,618285.0
22,,310,Greece,870375.0
22,,312,Spain,150180.0
22,,315,Austria,35767.0
22,,318,Finland,18307.0
22,,327,Poland,3265.0
22,,350,Slovenia,6645.0
22,,404,Bahamas,1597.0
22,,408,Bolivia,19943.0
22,,410,Brazil,33502.0
22,,415,Costa Rica,30743.0
22,,422,Guadeloupe,7350.0
22,,429,Mexico,31052.0
22,,435,Puerto Rico,7660.0
22,,501,Canada,563173.0
22,,617,Samoa,11625.0
22,,625,Wallis and Futuna,7350.0
23,,108,Cyprus,11853.0
23,,109,Democratic People's Republic of Korea,1522998.0
23,,124,Mongolia,102751.0
23,,127,Pakistan,936948.0
23,,129,Philippines,2472490.0
23,,137,Türkiye,1866123.0
23,,138,United Arab Emirates,81361.0
23,,220,Ghana,24400.0
23,,227,Madagascar,38200.0
23,,233,Mozambique,91200.0
23,,244,South Africa,1183902.0
23,,301,Belgium,2866055.0
23,,305,France,2209175.0
23,,306,Ireland,248867.0
23,,307,Italy,1798174.0
23,,309,Netherlands,11789896.0
23,,310,Greece,157719.0
23,,312,Spain,1115170.0
23,,316,Bulgaria,26328.0
23,,318,Finland,988717.0
23,,321,Hungary,69980.0
23,,326,Norway,701705.0
23,,327,Poland,628600.0
23,,336,Lithuania,694415.0
23,,340,Belarus,135275.0
23,,350,Slovenia,91222.0
23,,405,Barbados,11923.0
23,,408,Bolivia,23384.0
23,,410,Brazil,2968956.0
23,,415,Costa Rica,40202.0
23,,429,Mexico,2030291.0
23,,431,Nicaragua,48376.0
23,,442,Trinidad and Tobago,21312.0
23,,444,Uruguay,15318.0
23,,501,Canada,2811575.0
24,,109,Democratic People's Republic of Korea,2569877.0
24,,124,Mongolia,394478.0
24,,129,Philippines,8112166.0
24,,137,Türkiye,829481.0
24,,138,United Arab Emirates,6983964.0
24,,220,Ghana,2058711.0
24,,224,Kenya,13300.0
24,,241,Seychelles,1007134.0
24,,244,South Africa,183601.0
24,,301,Belgium,20337914.0
24,,305,France,851400.0
24,,307,Italy,363528.0
24,,309,Netherlands,105374.0
24,,316,Bulgaria,166142.0
24,,327,Poland,917136.0
24,,336,Lithuania,500940.0
24,,340,Belarus,1609590.0
24,,359,Montenegro,17280.0
24,,406,Belize,998000.0
