商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章 活动物,129,菲律宾,2100
1,第1章 活动物,301,比利时,1799
1,第1章 活动物,305,法国,8485
1,第1章 活动物,307,意大利,33653
1,第1章 活动物,312,西班牙,454
1,第1章 活动物,501,加拿大,25670
2,第2章 肉及食用...,118,科威特,283605
2,第2章 肉及食用...,123,马尔代夫,29743
2,第2章 肉及食用...,124,蒙古,4209995
2,第2章 肉及食用...,301,比利时,680395
2,第2章 肉及食用...,305,法国,107941
2,第2章 肉及食用...,309,荷兰,98819
2,第2章 肉及食用...,339,阿塞拜疆(2023年起停用),79380
3,第3章 鱼、甲壳...,108,塞浦路斯,186642
3,第3章 鱼、甲壳...,118,科威特,68590
3,第3章 鱼、甲壳...,129,菲律宾,90578423
3,第3章 鱼、甲壳...,137,土耳其,176302
3,第3章 鱼、甲壳...,138,阿联酋,1558406
3,第3章 鱼、甲壳...,203,贝宁,555486
3,第3章 鱼、甲壳...,209,中非,348520
3,第3章 鱼、甲壳...,213,刚果共和国,296460
3,第3章 鱼、甲壳...,220,加纳,1781300
3,第3章 鱼、甲壳...,224,肯尼亚,1453765
3,第3章 鱼、甲壳...,233,莫桑比克,198530
3,第3章 鱼、甲壳...,241,塞舌尔,142200
3,第3章 鱼、甲壳...,244,南非,1904723
3,第3章 鱼、甲壳...,252,刚果民主共和国,2341084
3,第3章 鱼、甲壳...,301,比利时,5280938
3,第3章 鱼、甲壳...,305,法国,14501461
3,第3章 鱼、甲壳...,306,爱尔兰,1101475
3,第3章 鱼、甲壳...,307,意大利,8794055
3,第3章 鱼、甲壳...,309,荷兰,9304430
3,第3章 鱼、甲壳...,310,希腊,2111399
3,第3章 鱼、甲壳...,312,西班牙,28017945
3,第3章 鱼、甲壳...,313,阿尔巴尼亚,307710
3,第3章 鱼、甲壳...,316,保加利亚,459355
3,第3章 鱼、甲壳...,318,芬兰,86822
3,第3章 鱼、甲壳...,321,匈牙利,157722
3,第3章 鱼、甲壳...,326,挪威,1112047
3,第3章 鱼、甲壳...,327,波兰,6577022
3,第3章 鱼、甲壳...,336,立陶宛,616079
3,第3章 鱼、甲壳...,340,白俄罗斯,106913
