Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,107,Cambodia,300.0
1,Live animals,121,"Macao,China",6781930.0
1,Live animals,311,Portugal,30.0
1,Live animals,347,Ukraine,922.0
2,Meat and edible meat offal,101,Afghanistan,495714.0
2,Meat and edible meat offal,107,Cambodia,219347.0
2,Meat and edible meat offal,121,"Macao,China",6697653.0
2,Meat and edible meat offal,146,Kyrgyzstan,168212.0
2,Meat and edible meat offal,352,Czechia（Czech Republic）,337109.0
2,Meat and edible meat offal,432,Panama,19418.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Bangladesh,1419996.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",105,Brunei,244480.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",107,Cambodia,444429.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",114,Iraq,1000.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",115,Israel,1051548.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",117,Jordan,158664.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",121,"Macao,China",11068028.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",130,Qatar,229710.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",131,Saudi Arabia,1119220.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",134,Sri Lanka,3554504.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",144,Timor-Leste,192080.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",201,Algeria,482817.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",215,Egypt,1202932.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",216,Equatorial Guinea,90504.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",228,Malawi,104748.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",229,Mali,967469.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",232,Morocco,1111432.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",236,Nigeria,1561216.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",238,Rwanda,1191024.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",246,Sudan,37975.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",247,Tanzania,140594.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",251,Burkina Faso,2035542.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",253,Zambia,631611.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Denmark,681011.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,Portugal,8226974.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",328,Romania,360014.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",330,Sweden,7569492.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",331,Switzerland,122981.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",334,Estonia,61560.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",335,Latvia,70200.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",347,Ukraine,1289912.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",352,Czechia（Czech Republic）,207378.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",353,Slovakia,44160.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",355,Bosnia and Herzegovina,298475.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",412,Chile,2052846.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",413,Colombia,971127.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",416,Cuba,171700.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",418,Dominican Republic,1796464.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",432,Panama,153357.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",434,Peru,367103.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",445,Venezuela,392430.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",504,Bermuda,142382.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",603,Fiji,2329007.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",608,Vanuatu,179820.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",609,New Zealand,1798125.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",611,Papua New Guinea,1826843.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",620,The Federated States of Micronesia,621750.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",103,Bangladesh,55681.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",105,Brunei,143036.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",106,Myanmar,88576.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",114,Iraq,45176.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",115,Israel,24085.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",117,Jordan,20980.0
