Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,107,Cambodia,100.0
1,Live animals,121,"Macao,China",3389234.0
1,Live animals,311,Portugal,2502.0
1,Live animals,609,New Zealand,240.0
2,Meat and edible meat offal,101,Afghanistan,529933.0
2,Meat and edible meat offal,107,Cambodia,61935.0
2,Meat and edible meat offal,121,"Macao,China",5579885.0
2,Meat and edible meat offal,146,Kyrgyzstan,663500.0
2,Meat and edible meat offal,347,Ukraine,14078.0
2,Meat and edible meat offal,352,Czechia（Czech Republic）,232048.0
2,Meat and edible meat offal,432,Panama,86941.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Bangladesh,5537297.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",105,Brunei,54120.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",107,Cambodia,1912010.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",115,Israel,3546873.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",117,Jordan,139746.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",121,"Macao,China",7461136.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",131,Saudi Arabia,1496893.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",134,Sri Lanka,4439086.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",144,Timor-Leste,553758.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",201,Algeria,69550.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",215,Egypt,9660655.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",216,Equatorial Guinea,127500.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",226,Libya,155390.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",228,Malawi,92196.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",229,Mali,661090.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",232,Morocco,2577434.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",236,Nigeria,827435.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",238,Rwanda,1953701.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",251,Burkina Faso,245350.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",253,Zambia,68548.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Denmark,1544038.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,Portugal,15898234.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",322,Iceland,13853.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",328,Romania,50328.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",330,Sweden,5172677.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",331,Switzerland,29100.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",343,Moldova,35280.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",347,Ukraine,1013510.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",352,Czechia（Czech Republic）,766898.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",355,Bosnia and Herzegovina,176030.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",412,Chile,1964308.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",413,Colombia,1274075.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",416,Cuba,166362.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",418,Dominican Republic,1756956.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",426,Honduras,49854.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",432,Panama,653955.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",434,Peru,119550.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",603,Fiji,956874.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",609,New Zealand,1847191.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",611,Papua New Guinea,74424.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",613,Solomon Islands,162450.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",620,The Federated States of Micronesia,133640.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",623,French Polynesia,101300.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",103,Bangladesh,27910.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",105,Brunei,74729.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",106,Myanmar,6463.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",114,Iraq,25659.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",115,Israel,10250.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",117,Jordan,43582.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",121,"Macao,China",1551619.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",130,Qatar,5500.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",131,Saudi Arabia,192859.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",215,Egypt,32666.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",330,Sweden,69980.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",353,Slovakia,2798.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",412,Chile,6150.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",432,Panama,45517.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",609,New Zealand,353383.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",611,Papua New Guinea,1705.0
5,"roducts of animal origin,not elsewhere specified or included",103,Bangladesh,3480354.0
5,"roducts of animal origin,not elsewhere specified or included",106,Myanmar,4166254.0
5,"roducts of animal origin,not elsewhere specified or included",107,Cambodia,42649.0
5,"roducts of animal origin,not elsewhere specified or included",115,Israel,31766.0
5,"roducts of animal origin,not elsewhere specified or included",117,Jordan,86257.0
5,"roducts of animal origin,not elsewhere specified or included",134,Sri Lanka,72485.0
5,"roducts of animal origin,not elsewhere specified or included",215,Egypt,224692.0
5,"roducts of animal origin,not elsewhere specified or included",236,Nigeria,1292000.0
5,"roducts of animal origin,not elsewhere specified or included",247,Tanzania,22739.0
5,"roducts of animal origin,not elsewhere specified or included",253,Zambia,398428.0
5,"roducts of animal origin,not elsewhere specified or included",302,Denmark,466147.0
5,"roducts of animal origin,not elsewhere specified or included",308,Luxembourg,107131.0
