Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,110,"Hong Kong,China",8431.0
1,,112,Indonesia,711985.0
1,,116,Japan,6299815.0
1,,141,Viet Nam,722370.0
1,,143,"Taiwan,China",441134.0
1,,202,Angola,2311584.0
1,,217,Ethiopia,658670.0
1,,303,United Kingdom,50733.0
1,,304,Germany,628922.0
1,,344,Russia,426855.0
1,,424,Guyana,572648.0
1,,502,United States,12307192.0
1,,601,Australia,8630172.0
2,,303,United Kingdom,44627350.0
2,,304,Germany,353215626.0
2,,502,United States,900899343.0
2,,601,Australia,521370668.0
3,,111,India,45236700.0
3,,112,Indonesia,191684687.0
3,,113,Iran,2810948.0
3,,116,Japan,105847037.0
3,,122,Malaysia,25127355.0
3,,132,Singapore,965350.0
3,,133,Republic of Korea,25180522.0
3,,136,Thailand,64373175.0
3,,141,Viet Nam,198083787.0
3,,142,China,18192739.0
3,,143,"Taiwan,China",51731229.0
3,,145,Kazakhstan,2516282.0
3,,206,Cameroon,9949.0
3,,223,Cote d'lvoire,235987.0
3,,230,Mauritania,27278780.0
3,,234,Namibia,800040.0
3,,240,Senegal,8876985.0
3,,243,Somalia,4801856.0
3,,303,United Kingdom,32639262.0
3,,304,Germany,8665364.0
3,,344,Russia,658489210.0
3,,424,Guyana,3425705.0
3,,441,Suriname,962483.0
3,,502,United States,1164509941.0
3,,601,Australia,196870522.0
4,,112,Indonesia,83083598.0
4,,116,Japan,346939.0
4,,122,Malaysia,41945793.0
4,,132,Singapore,2254540.0
4,,133,Republic of Korea,8763062.0
4,,136,Thailand,413190.0
4,,142,China,1218835.0
4,,143,"Taiwan,China",1789739.0
4,,303,United Kingdom,20896150.0
4,,304,Germany,198470933.0
4,,344,Russia,142023.0
4,,502,United States,220250113.0
4,,601,Australia,216211841.0
5,,111,India,482476.0
5,,112,Indonesia,2848398.0
5,,116,Japan,3223993.0
5,,122,Malaysia,201207.0
5,,133,Republic of Korea,735228.0
5,,136,Thailand,7051165.0
5,,141,Viet Nam,8148065.0
5,,142,China,3803198.0
5,,143,"Taiwan,China",30725902.0
5,,145,Kazakhstan,3134308.0
5,,206,Cameroon,120042.0
5,,303,United Kingdom,321315.0
5,,304,Germany,40074575.0
5,,344,Russia,3414248.0
5,,502,United States,40544362.0
5,,601,Australia,35494338.0
6,,111,India,53059.0
6,,112,Indonesia,504059.0
6,,116,Japan,7550011.0
6,,122,Malaysia,37887.0
6,,125,Nepal,7326.0
6,,133,Republic of Korea,360599.0
6,,136,Thailand,9985961.0
6,,141,Viet Nam,1736216.0
6,,142,China,395.0
6,,143,"Taiwan,China",1029408.0
6,,217,Ethiopia,851344.0
6,,223,Cote d'lvoire,27575.0
6,,304,Germany,247615.0
6,,502,United States,1953276.0
6,,601,Australia,796664.0
7,,111,India,14360398.0
7,,112,Indonesia,10707992.0
7,,116,Japan,2440.0
7,,122,Malaysia,147773.0
7,,133,Republic of Korea,2117.0
7,,136,Thailand,527077028.0
7,,141,Viet Nam,117470293.0
7,,143,"Taiwan,China",1402837.0
7,,149,Uzbekistan,164598.0
7,,303,United Kingdom,2042336.0
7,,304,Germany,160047.0
7,,344,Russia,1390392.0
7,,502,United States,18466628.0
7,,601,Australia,7647244.0
8,,112,Indonesia,39471664.0
8,,113,Iran,2527391.0
8,,116,Japan,16726556.0
8,,122,Malaysia,15871882.0
8,,133,Republic of Korea,52741932.0
8,,136,Thailand,331397813.0
8,,141,Viet Nam,266108134.0
8,,142,China,960465.0
8,,143,"Taiwan,China",12086882.0
8,,149,Uzbekistan,24294685.0
8,,249,Tunisia,883425.0
8,,304,Germany,131022.0
8,,344,Russia,2931888.0
8,,358,Serbia,281274.0
8,,502,United States,390564946.0
8,,601,Australia,170627506.0
9,,110,"Hong Kong,China",923920.0
9,,111,India,13614858.0
9,,112,Indonesia,43713744.0
9,,113,Iran,684648.0
9,,116,Japan,2378964.0
9,,120,Lebanon,20090.0
9,,122,Malaysia,29743267.0
9,,125,Nepal,92307.0
9,,126,Oman,464.0
9,,132,Singapore,823764.0
9,,133,Republic of Korea,710661.0
9,,136,Thailand,53063.0
9,,141,Viet Nam,8241115.0
9,,142,China,3091505.0
9,,143,"Taiwan,China",13215344.0
9,,205,Burundi,1135035.0
9,,217,Ethiopia,7722361.0
9,,231,Mauritius,9252.0
9,,303,United Kingdom,5847243.0
9,,304,Germany,711228.0
9,,440,El Salvador,380337.0
9,,502,United States,3791904.0
9,,601,Australia,428867.0
10,,116,Japan,561921.0
10,,119,Lao,55273058.0
10,,136,Thailand,142607715.0
10,,141,Viet Nam,623473417.0
10,,142,China,1172.0
10,,143,"Taiwan,China",706227.0
10,,145,Kazakhstan,15321482.0
10,,344,Russia,6753674.0
10,,502,United States,796282019.0
10,,601,Australia,778384325.0
11,,111,India,27910.0
11,,112,Indonesia,173379.0
11,,116,Japan,3453576.0
11,,119,Lao,1305804.0
11,,122,Malaysia,175616.0
11,,133,Republic of Korea,2306254.0
11,,136,Thailand,278124158.0
11,,141,Viet Nam,81090903.0
11,,143,"Taiwan,China",221722.0
11,,145,Kazakhstan,3450415.0
11,,303,United Kingdom,301687.0
11,,304,Germany,3183626.0
11,,344,Russia,12796006.0
11,,502,United States,12099049.0
11,,601,Australia,1776330.0
12,,110,"Hong Kong,China",14400.0
12,,111,India,12176481.0
12,,112,Indonesia,93055460.0
12,,116,Japan,9202178.0
