Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,112,Indonesia,450301.0
1,,116,Japan,1947264.0
1,,141,Viet Nam,753776.0
1,,142,China,6852500.0
1,,143,"Taiwan,China",449690.0
1,,303,United Kingdom,33423.0
1,,304,Germany,1971351.0
1,,344,Russia,4101222.0
1,,424,Guyana,192482.0
1,,502,United States,1596073.0
1,,601,Australia,140762142.0
2,,303,United Kingdom,45911627.0
2,,304,Germany,498942552.0
2,,502,United States,466603860.0
2,,601,Australia,405110247.0
3,,110,"Hong Kong,China",3960473.0
3,,111,India,61294057.0
3,,112,Indonesia,163817249.0
3,,116,Japan,117398745.0
3,,122,Malaysia,23760230.0
3,,126,Oman,1712989.0
3,,132,Singapore,2229315.0
3,,133,Republic of Korea,32864948.0
3,,136,Thailand,83710620.0
3,,139,Yemen,263925.0
3,,141,Viet Nam,48049507.0
3,,142,China,13858333.0
3,,143,"Taiwan,China",30331394.0
3,,145,Kazakhstan,737300.0
3,,223,Cote d'lvoire,178941.0
3,,230,Mauritania,17410463.0
3,,231,Mauritius,427504.0
3,,234,Namibia,4775621.0
3,,240,Senegal,1580923.0
3,,243,Somalia,5071445.0
3,,303,United Kingdom,68995550.0
3,,304,Germany,620485.0
3,,344,Russia,920460639.0
3,,424,Guyana,1859952.0
3,,441,Suriname,419751.0
3,,502,United States,336617225.0
3,,601,Australia,58224561.0
4,,112,Indonesia,15021647.0
4,,116,Japan,42610.0
4,,122,Malaysia,10091696.0
4,,132,Singapore,1811665.0
4,,133,Republic of Korea,8015904.0
4,,136,Thailand,23300.0
4,,143,"Taiwan,China",1639928.0
4,,303,United Kingdom,8950534.0
4,,304,Germany,113224824.0
4,,344,Russia,162962.0
4,,502,United States,189100784.0
4,,601,Australia,186113210.0
5,,111,India,461005.0
5,,112,Indonesia,2012552.0
5,,116,Japan,1949108.0
5,,122,Malaysia,1139406.0
5,,132,Singapore,2410.0
5,,133,Republic of Korea,288750.0
5,,136,Thailand,3232893.0
5,,141,Viet Nam,60029.0
5,,142,China,496319.0
5,,143,"Taiwan,China",6091889.0
5,,145,Kazakhstan,1505221.0
5,,206,Cameroon,45104.0
5,,303,United Kingdom,672811.0
5,,304,Germany,30488869.0
5,,344,Russia,9801908.0
5,,502,United States,49523840.0
5,,601,Australia,15130336.0
6,,111,India,339912.0
6,,113,Iran,16514.0
6,,116,Japan,35978661.0
6,,122,Malaysia,112251.0
6,,132,Singapore,3066.0
6,,133,Republic of Korea,111010.0
6,,136,Thailand,10053503.0
6,,141,Viet Nam,2425979.0
6,,142,China,9779.0
6,,143,"Taiwan,China",1719040.0
6,,217,Ethiopia,1478262.0
6,,223,Cote d'lvoire,7867.0
6,,303,United Kingdom,173119.0
6,,304,Germany,1457.0
6,,440,El Salvador,92015.0
6,,502,United States,1036242.0
6,,601,Australia,140629.0
7,,111,India,24224196.0
7,,112,Indonesia,1178667.0
7,,116,Japan,61992.0
7,,122,Malaysia,163441.0
