Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,112,Indonesia,624225.0
1,,116,Japan,4121641.0
1,,141,Viet Nam,355223.0
1,,143,"Taiwan,China",356673.0
1,,344,Russia,857293.0
1,,424,Guyana,906124.0
1,,441,Suriname,1469455.0
1,,502,United States,9809166.0
1,,601,Australia,123639077.0
2,,136,Thailand,28598769.0
2,,303,United Kingdom,44656844.0
2,,304,Germany,271614108.0
2,,344,Russia,274943.0
2,,502,United States,221609996.0
2,,601,Australia,904836644.0
3,,111,India,268445624.0
3,,112,Indonesia,187802607.0
3,,113,Iran,6026039.0
3,,116,Japan,183457836.0
3,,122,Malaysia,37148222.0
3,,126,Oman,470186.0
3,,132,Singapore,1395751.0
3,,133,Republic of Korea,45176673.0
3,,136,Thailand,134196931.0
3,,141,Viet Nam,272054386.0
3,,142,China,25765068.0
3,,143,"Taiwan,China",127980750.0
3,,145,Kazakhstan,1588076.0
3,,230,Mauritania,4083409.0
3,,234,Namibia,1811907.0
3,,240,Senegal,12388942.0
3,,243,Somalia,2231048.0
3,,303,United Kingdom,43364201.0
3,,304,Germany,6454394.0
3,,344,Russia,761842377.0
3,,424,Guyana,1165550.0
3,,441,Suriname,406163.0
3,,502,United States,390002705.0
3,,601,Australia,220171665.0
4,,110,"Hong Kong,China",2258842.0
4,,112,Indonesia,58192653.0
4,,116,Japan,571539.0
4,,122,Malaysia,37375402.0
4,,132,Singapore,879512.0
4,,133,Republic of Korea,16460256.0
4,,136,Thailand,10015549.0
4,,143,"Taiwan,China",5225385.0
4,,303,United Kingdom,34454606.0
4,,304,Germany,164982931.0
4,,344,Russia,140086.0
4,,502,United States,166209988.0
4,,601,Australia,258242388.0
5,,111,India,854843.0
5,,112,Indonesia,1810182.0
5,,116,Japan,8778186.0
5,,122,Malaysia,5135921.0
5,,133,Republic of Korea,5233010.0
5,,136,Thailand,8362407.0
5,,141,Viet Nam,163659.0
5,,142,China,1745108.0
5,,143,"Taiwan,China",36408992.0
5,,145,Kazakhstan,757723.0
5,,149,Uzbekistan,3789765.0
5,,223,Cote d'lvoire,45789.0
5,,303,United Kingdom,1220005.0
5,,304,Germany,21532387.0
5,,344,Russia,10170519.0
5,,502,United States,75101029.0
5,,601,Australia,16739489.0
6,,111,India,411431.0
6,,112,Indonesia,325.0
6,,113,Iran,5651.0
6,,116,Japan,20137162.0
6,,122,Malaysia,148695.0
6,,133,Republic of Korea,134963.0
6,,136,Thailand,7064588.0
6,,141,Viet Nam,1758586.0
6,,143,"Taiwan,China",746157.0
6,,217,Ethiopia,745005.0
6,,223,Cote d'lvoire,5745.0
6,,303,United Kingdom,9057.0
6,,304,Germany,31431.0
6,,502,United States,977932.0
6,,601,Australia,421865.0
7,,110,"Hong Kong,China",9619.0
7,,111,India,44506835.0
7,,112,Indonesia,810236.0
7,,116,Japan,214.0
7,,122,Malaysia,26886.0
7,,133,Republic of Korea,78659.0
7,,136,Thailand,308404587.0
7,,141,Viet Nam,23298050.0
7,,142,China,540688.0
7,,143,"Taiwan,China",795442.0
7,,149,Uzbekistan,22502740.0
7,,303,United Kingdom,2296403.0
7,,304,Germany,169769.0
7,,344,Russia,113751.0
7,,358,Serbia,134094.0
7,,502,United States,19912648.0
7,,601,Australia,67625039.0
8,,110,"Hong Kong,China",583853.0
8,,112,Indonesia,26334018.0
8,,113,Iran,5437847.0
8,,116,Japan,31209.0
8,,122,Malaysia,16527601.0
8,,133,Republic of Korea,34087.0
8,,136,Thailand,1587012144.0
8,,141,Viet Nam,320714698.0
8,,143,"Taiwan,China",35422009.0
8,,149,Uzbekistan,3590984.0
8,,223,Cote d'lvoire,402821.0
8,,303,United Kingdom,10929.0
8,,304,Germany,192959.0
8,,344,Russia,12548580.0
8,,358,Serbia,631734.0
8,,502,United States,445578653.0
8,,601,Australia,312231935.0
9,,110,"Hong Kong,China",1302637.0
9,,111,India,25130359.0
9,,112,Indonesia,13706146.0
9,,113,Iran,321144.0
9,,116,Japan,2680151.0
9,,122,Malaysia,7135345.0
9,,125,Nepal,16892.0
9,,132,Singapore,837720.0
9,,133,Republic of Korea,570635.0
9,,136,Thailand,130670.0
9,,141,Viet Nam,71504792.0
9,,142,China,2295184.0
9,,143,"Taiwan,China",47764104.0
9,,205,Burundi,1034154.0
9,,206,Cameroon,271.0
9,,217,Ethiopia,19334689.0
9,,303,United Kingdom,7181861.0
9,,304,Germany,2600356.0
9,,344,Russia,270488.0
9,,440,El Salvador,78775.0
9,,502,United States,5877638.0
9,,601,Australia,1109866.0
10,,111,India,526.0
10,,112,Indonesia,630.0
10,,116,Japan,1481568.0
10,,119,Lao,2018312.0
10,,133,Republic of Korea,2829.0
10,,136,Thailand,117480046.0
10,,141,Viet Nam,98677470.0
10,,143,"Taiwan,China",8411398.0
10,,145,Kazakhstan,55184198.0
10,,303,United Kingdom,315.0
10,,304,Germany,802.0
10,,344,Russia,21918222.0
10,,502,United States,145285783.0
10,,601,Australia,1106603463.0
11,,110,"Hong Kong,China",8840.0
11,,116,Japan,4148762.0
11,,119,Lao,6787740.0
11,,122,Malaysia,95586.0
11,,133,Republic of Korea,1263202.0
11,,136,Thailand,353376067.0
11,,141,Viet Nam,30688543.0
11,,142,China,1118.0
11,,143,"Taiwan,China",323171.0
11,,145,Kazakhstan,2390967.0
11,,303,United Kingdom,144308.0
11,,304,Germany,3540591.0
11,,344,Russia,12724288.0
11,,351,Croatia,160.0
11,,502,United States,8167906.0
11,,601,Australia,4496736.0
12,,110,"Hong Kong,China",19721.0
12,,111,India,19766137.0
12,,112,Indonesia,100917211.0
12,,116,Japan,76854113.0
12,,122,Malaysia,79499.0
12,,132,Singapore,96800.0
12,,133,Republic of Korea,37685689.0
12,,136,Thailand,36101563.0
12,,141,Viet Nam,544811.0
12,,142,China,561836.0
12,,143,"Taiwan,China",3059163.0
12,,145,Kazakhstan,14314477.0
12,,149,Uzbekistan,1741950.0
12,,206,Cameroon,31235.0
12,,217,Ethiopia,82631519.0
12,,240,Senegal,16911107.0
12,,303,United Kingdom,1334775.0
12,,304,Germany,4711015.0
12,,344,Russia,86430331.0
12,,502,United States,1217001005.0
12,,601,Australia,121918091.0
13,,110,"Hong Kong,China",54594.0
13,,111,India,10332534.0
13,,112,Indonesia,24270436.0
13,,116,Japan,2025471.0
13,,119,Lao,4575668.0
13,,122,Malaysia,770304.0
13,,132,Singapore,354897.0
13,,133,Republic of Korea,8388374.0
13,,141,Viet Nam,460175.0
13,,142,China,126255.0
13,,143,"Taiwan,China",275372.0
13,,148,Turkmenistan,824322.0
13,,243,Somalia,1658362.0
13,,303,United Kingdom,566974.0
13,,304,Germany,4116582.0
13,,502,United States,15118561.0
13,,601,Australia,206171.0
14,,111,India,20598450.0
14,,112,Indonesia,1956949.0
14,,116,Japan,152921.0
14,,122,Malaysia,29146241.0
14,,133,Republic of Korea,13385.0
14,,136,Thailand,257318.0
14,,141,Viet Nam,130393.0
14,,143,"Taiwan,China",172961.0
14,,149,Uzbekistan,870031.0
14,,303,United Kingdom,8732.0
14,,304,Germany,107174.0
14,,344,Russia,2509373.0
14,,502,United States,507629.0
14,,601,Australia,1652.0
15,,110,"Hong Kong,China",1665990.0
15,,111,India,268968644.0
15,,112,Indonesia,1552400662.0
15,,116,Japan,3931416.0
15,,122,Malaysia,782303090.0
15,,132,Singapore,6476493.0
15,,133,Republic of Korea,2826387.0
15,,136,Thailand,5713132.0
15,,141,Viet Nam,8282971.0
15,,142,China,4428.0
15,,143,"Taiwan,China",2569218.0
15,,145,Kazakhstan,38245958.0
15,,231,Mauritius,157309.0
15,,240,Senegal,17623970.0
15,,249,Tunisia,399506.0
15,,303,United Kingdom,7513206.0
15,,304,Germany,18108796.0
15,,337,Georgia,12643.0
15,,344,Russia,345094968.0
15,,502,United States,45050776.0
15,,601,Australia,88963113.0
16,,110,"Hong Kong,China",8257.0
16,,111,India,549345.0
16,,112,Indonesia,115814.0
16,,116,Japan,30208409.0
16,,122,Malaysia,1257403.0
16,,132,Singapore,251949.0
16,,133,Republic of Korea,21198253.0
16,,136,Thailand,21897760.0
16,,141,Viet Nam,2948663.0
16,,142,China,743090.0
16,,143,"Taiwan,China",4571089.0
16,,230,Mauritania,1717133.0
16,,240,Senegal,87656.0
16,,303,United Kingdom,80588.0
16,,304,Germany,16.0
16,,344,Russia,291218.0
16,,502,United States,1895813.0
16,,601,Australia,3470.0
17,,110,"Hong Kong,China",5407102.0
17,,111,India,2933783.0
17,,112,Indonesia,1475109.0
17,,113,Iran,46850.0
17,,116,Japan,13555647.0
17,,119,Lao,83003055.0
17,,122,Malaysia,17143386.0
17,,132,Singapore,1010161.0
17,,133,Republic of Korea,49907080.0
17,,136,Thailand,67948213.0
17,,141,Viet Nam,13554598.0
17,,142,China,255972.0
17,,143,"Taiwan,China",8977237.0
17,,145,Kazakhstan,277953.0
17,,231,Mauritius,270.0
17,,303,United Kingdom,573086.0
17,,304,Germany,18711850.0
17,,344,Russia,225619.0
17,,351,Croatia,22173.0
17,,502,United States,51986919.0
17,,601,Australia,5639589.0
18,,110,"Hong Kong,China",751588.0
18,,111,India,1244403.0
18,,112,Indonesia,54931666.0
18,,116,Japan,1555762.0
18,,120,Lebanon,231.0
18,,122,Malaysia,75595133.0
18,,132,Singapore,40980685.0
18,,133,Republic of Korea,1591246.0
18,,136,Thailand,26227.0
18,,141,Viet Nam,1089050.0
18,,142,China,2325096.0
18,,143,"Taiwan,China",362655.0
18,,145,Kazakhstan,326584.0
18,,223,Cote d'lvoire,26213374.0
18,,303,United Kingdom,2754498.0
18,,304,Germany,11833753.0
18,,344,Russia,2905780.0
18,,502,United States,20117533.0
18,,601,Australia,840208.0
19,,110,"Hong Kong,China",170186067.0
19,,111,India,92751.0
19,,112,Indonesia,58976516.0
19,,113,Iran,17495.0
19,,116,Japan,45754560.0
19,,122,Malaysia,63464368.0
19,,126,Oman,156.0
19,,132,Singapore,31656598.0
19,,133,Republic of Korea,168526756.0
19,,135,Syria,70.0
19,,136,Thailand,33820756.0
19,,141,Viet Nam,23151578.0
19,,142,China,2051398.0
19,,143,"Taiwan,China",59990709.0
19,,145,Kazakhstan,231382.0
19,,303,United Kingdom,37688219.0
19,,304,Germany,299452090.0
19,,344,Russia,2299594.0
19,,351,Croatia,2524745.0
19,,502,United States,91992647.0
19,,601,Australia,162033740.0
20,,110,"Hong Kong,China",3535817.0
20,,111,India,10364298.0
20,,112,Indonesia,8076617.0
20,,116,Japan,3904602.0
20,,122,Malaysia,13804200.0
20,,132,Singapore,346376.0
20,,133,Republic of Korea,64361807.0
20,,136,Thailand,55932832.0
20,,141,Viet Nam,45848320.0
20,,142,China,525215.0
20,,143,"Taiwan,China",18294824.0
20,,149,Uzbekistan,107869.0
20,,199,Other Asian Territories,98.0
20,,303,United Kingdom,11279149.0
20,,304,Germany,3438802.0
20,,344,Russia,877306.0
20,,351,Croatia,1168.0
20,,358,Serbia,125565.0
20,,502,United States,197526840.0
20,,601,Australia,3650134.0
21,,110,"Hong Kong,China",39207604.0
21,,111,India,2532245.0
21,,112,Indonesia,23529621.0
21,,113,Iran,4268.0
21,,116,Japan,130447872.0
21,,119,Lao,190690.0
21,,122,Malaysia,57036002.0
21,,132,Singapore,50606847.0
21,,133,Republic of Korea,66254056.0
21,,136,Thailand,116255810.0
21,,141,Viet Nam,28842159.0
21,,142,China,7202031.0
21,,143,"Taiwan,China",99984502.0
21,,199,Other Asian Territories,190.0
21,,249,Tunisia,139435.0
21,,303,United Kingdom,33863171.0
21,,304,Germany,125613960.0
21,,324,Malta,1292.0
21,,344,Russia,1931473.0
21,,351,Croatia,2243.0
21,,502,United States,358361602.0
21,,601,Australia,422817774.0
21,,701,Countries（Territories）Unknown,121.0
22,,110,"Hong Kong,China",21221808.0
22,,111,India,100826.0
22,,112,Indonesia,143427442.0
22,,116,Japan,64039696.0
22,,120,Lebanon,409925.0
22,,122,Malaysia,12230371.0
22,,132,Singapore,971334.0
22,,133,Republic of Korea,214937657.0
22,,136,Thailand,64071650.0
22,,141,Viet Nam,9577305.0
22,,142,China,20056663.0
22,,143,"Taiwan,China",72039055.0
22,,145,Kazakhstan,117626.0
22,,231,Mauritius,434368.0
22,,303,United Kingdom,120617818.0
22,,304,Germany,158370244.0
22,,337,Georgia,11576263.0
22,,338,Armenia,58889.0
22,,344,Russia,21716778.0
22,,424,Guyana,22830.0
22,,502,United States,101302187.0
22,,601,Australia,429960563.0
23,,110,"Hong Kong,China",377216.0
23,,111,India,793206.0
23,,112,Indonesia,51038243.0
23,,116,Japan,6270619.0
23,,122,Malaysia,40104046.0
23,,132,Singapore,6125903.0
23,,133,Republic of Korea,855874.0
23,,136,Thailand,85151371.0
23,,141,Viet Nam,107192900.0
23,,143,"Taiwan,China",2399909.0
23,,145,Kazakhstan,4099436.0
23,,149,Uzbekistan,1233281.0
23,,217,Ethiopia,710958.0
23,,230,Mauritania,40026244.0
23,,231,Mauritius,1912516.0
23,,234,Namibia,6644994.0
23,,303,United Kingdom,2474315.0
23,,304,Germany,6551278.0
23,,344,Russia,39561287.0
23,,502,United States,228248655.0
23,,601,Australia,34611847.0
24,,110,"Hong Kong,China",28967107.0
24,,111,India,512595.0
24,,112,Indonesia,25040678.0
24,,116,Japan,31464134.0
24,,119,Lao,6873709.0
24,,132,Singapore,13190154.0
24,,133,Republic of Korea,9263873.0
24,,141,Viet Nam,4268058.0
24,,142,China,98493565.0
24,,143,"Taiwan,China",7787401.0
24,,304,Germany,4452699.0
24,,358,Serbia,6591641.0
24,,502,United States,485225.0
25,,102,Bahrain,11157382.0
25,,110,"Hong Kong,China",16862.0
25,,111,India,490102208.0
25,,112,Indonesia,4926059.0
25,,113,Iran,226064061.0
25,,116,Japan,105452927.0
25,,119,Lao,6570.0
25,,120,Lebanon,471891.0
25,,122,Malaysia,3421249.0
25,,126,Oman,1733801.0
25,,132,Singapore,3441680.0
25,,133,Republic of Korea,107459475.0
25,,136,Thailand,39570371.0
25,,141,Viet Nam,215958941.0
25,,142,China,753317.0
25,,143,"Taiwan,China",35107351.0
25,,145,Kazakhstan,7553491.0
25,,148,Turkmenistan,31163288.0
25,,202,Angola,13951466.0
25,,217,Ethiopia,165589.0
25,,221,Guinea,1411.0
25,,230,Mauritania,5264.0
25,,231,Mauritius,8560.0
25,,234,Namibia,8076270.0
25,,249,Tunisia,4397084.0
25,,303,United Kingdom,8586185.0
25,,304,Germany,36855975.0
25,,344,Russia,47081234.0
25,,351,Croatia,3459578.0
25,,358,Serbia,82131.0
25,,424,Guyana,7576580.0
25,,502,United States,218267444.0
25,,601,Australia,982892102.0
25,,701,Countries（Territories）Unknown,7674782.0
26,,111,India,689184626.0
26,,112,Indonesia,1041000518.0
26,,113,Iran,996809539.0
26,,116,Japan,133218.0
26,,119,Lao,314307561.0
26,,122,Malaysia,246039762.0
26,,125,Nepal,8107.0
26,,126,Oman,131372345.0
26,,133,Republic of Korea,2539721.0
26,,136,Thailand,17306701.0
26,,141,Viet Nam,85070532.0
26,,143,"Taiwan,China",117384125.0
26,,145,Kazakhstan,1051928935.0
26,,202,Angola,1963266.0
26,,205,Burundi,6436210.0
26,,217,Ethiopia,7881406.0
26,,218,Gabon,530563340.0
26,,221,Guinea,1086658874.0
26,,223,Cote d'lvoire,71207795.0
26,,225,Liberia,127743020.0
26,,230,Mauritania,503767960.0
26,,234,Namibia,119847112.0
26,,240,Senegal,10931331.0
26,,242,Sierra Leone,10917368.0
26,,303,United Kingdom,8676.0
26,,304,Germany,12170.0
26,,338,Armenia,87378011.0
26,,344,Russia,947798118.0
26,,358,Serbia,14964881.0
26,,424,Guyana,518062.0
26,,502,United States,428785651.0
26,,601,Australia,28621691129.0
26,,607,New Caledonia,32167701.0
27,,102,Bahrain,1747693.0
27,,110,"Hong Kong,China",117069781.0
27,,111,India,244566904.0
27,,112,Indonesia,7288669562.0
27,,113,Iran,11657294004.0
27,,116,Japan,1016072728.0
27,,119,Lao,3486019.0
27,,122,Malaysia,6666689028.0
27,,126,Oman,10330012031.0
27,,132,Singapore,1787921481.0
27,,133,Republic of Korea,6583202557.0
27,,136,Thailand,582136836.0
27,,139,Yemen,166324196.0
27,,141,Viet Nam,317536163.0
27,,142,China,1121890.0
27,,143,"Taiwan,China",350414381.0
27,,145,Kazakhstan,1185024084.0
27,,148,Turkmenistan,4205047209.0
27,,149,Uzbekistan,954120518.0
27,,202,Angola,13907089632.0
27,,206,Cameroon,188111168.0
27,,218,Gabon,774365147.0
27,,260,South Sudan,560559384.0
27,,303,United Kingdom,4027496733.0
27,,304,Germany,146275665.0
27,,344,Russia,21530317468.0
27,,502,United States,5499115774.0
27,,601,Australia,15228174066.0
27,,701,Countries（Territories）Unknown,2547.0
28,,110,"Hong Kong,China",60500555.0
28,,111,India,76809736.0
28,,112,Indonesia,4111951.0
28,,113,Iran,4206743.0
28,,116,Japan,574581701.0
28,,122,Malaysia,129494089.0
28,,132,Singapore,3525459.0
28,,133,Republic of Korea,1332165962.0
28,,136,Thailand,13317358.0
28,,141,Viet Nam,6994222.0
28,,142,China,23906734.0
28,,143,"Taiwan,China",214164685.0
28,,145,Kazakhstan,455900414.0
28,,149,Uzbekistan,917253.0
28,,234,Namibia,73823453.0
28,,303,United Kingdom,54923417.0
28,,304,Germany,553154771.0
28,,324,Malta,16385.0
28,,337,Georgia,198855.0
28,,344,Russia,89916070.0
28,,502,United States,445482339.0
28,,601,Australia,14931337.0
28,,701,Countries（Territories）Unknown,12050.0
29,,102,Bahrain,68652609.0
29,,110,"Hong Kong,China",10080174.0
29,,111,India,1595574841.0
29,,112,Indonesia,523927791.0
29,,113,Iran,660018249.0
29,,116,Japan,3388211439.0
29,,122,Malaysia,622932178.0
29,,126,Oman,329934895.0
29,,132,Singapore,1840636258.0
29,,133,Republic of Korea,6760341456.0
29,,136,Thailand,1440732517.0
29,,141,Viet Nam,30591024.0
29,,142,China,202128600.0
29,,143,"Taiwan,China",3543945254.0
29,,149,Uzbekistan,19112420.0
29,,303,United Kingdom,207313489.0
29,,304,Germany,821928941.0
29,,324,Malta,439185.0
29,,338,Armenia,2947.0
29,,344,Russia,68319996.0
29,,351,Croatia,1175.0
29,,358,Serbia,17165.0
29,,502,United States,2310046321.0
29,,601,Australia,2933851.0
29,,701,Countries（Territories）Unknown,3931186.0
30,,110,"Hong Kong,China",217140209.0
30,,111,India,16110323.0
30,,112,Indonesia,231640.0
30,,116,Japan,519780505.0
30,,122,Malaysia,210979.0
30,,125,Nepal,26806.0
30,,132,Singapore,43013193.0
30,,133,Republic of Korea,59494826.0
30,,136,Thailand,9861273.0
30,,141,Viet Nam,1699785.0
30,,142,China,2159199.0
30,,143,"Taiwan,China",95504265.0
30,,303,United Kingdom,643037070.0
30,,304,Germany,4295916540.0
30,,344,Russia,1102437.0
30,,351,Croatia,21289.0
30,,502,United States,1925220039.0
30,,601,Australia,552930333.0
31,,111,India,89141.0
31,,116,Japan,2049497.0
31,,122,Malaysia,902589.0
31,,133,Republic of Korea,565462.0
31,,141,Viet Nam,1071004.0
31,,143,"Taiwan,China",2948325.0
31,,149,Uzbekistan,107826.0
31,,303,United Kingdom,20907529.0
31,,304,Germany,17982512.0
31,,344,Russia,194130683.0
31,,502,United States,2622897.0
31,,601,Australia,644804.0
32,,110,"Hong Kong,China",3912275.0
32,,111,India,135807504.0
32,,112,Indonesia,27424995.0
32,,116,Japan,698968210.0
32,,122,Malaysia,47089144.0
32,,125,Nepal,8010.0
32,,132,Singapore,58393050.0
32,,133,Republic of Korea,379722687.0
32,,136,Thailand,54913616.0
32,,141,Viet Nam,3995783.0
32,,142,China,20483798.0
32,,143,"Taiwan,China",227021750.0
32,,145,Kazakhstan,881676.0
32,,231,Mauritius,38841.0
32,,303,United Kingdom,70828296.0
32,,304,Germany,357504698.0
32,,344,Russia,332245.0
32,,351,Croatia,83325.0
32,,502,United States,292260997.0
32,,601,Australia,83950032.0
33,,110,"Hong Kong,China",69272256.0
33,,111,India,33963088.0
33,,112,Indonesia,5686773.0
33,,113,Iran,34698.0
33,,116,Japan,1644066420.0
33,,119,Lao,23994.0
33,,122,Malaysia,4068523.0
33,,125,Nepal,14274.0
33,,126,Oman,30045.0
33,,132,Singapore,42865503.0
33,,133,Republic of Korea,1479549297.0
33,,136,Thailand,121263244.0
33,,141,Viet Nam,8355976.0
33,,142,China,60260268.0
33,,143,"Taiwan,China",114829026.0
33,,199,Other Asian Territories,510.0
33,,212,Comoros,19695.0
33,,223,Cote d'lvoire,2806.0
33,,249,Tunisia,124512.0
33,,303,United Kingdom,324436086.0
33,,304,Germany,116755096.0
33,,344,Russia,1627471.0
33,,351,Croatia,69366.0
33,,399,Other European Territories,5579.0
33,,425,Haiti,123683.0
33,,440,El Salvador,6271.0
33,,502,United States,652805747.0
33,,601,Australia,92650177.0
33,,701,Countries（Territories）Unknown,273588.0
34,,102,Bahrain,1404.0
34,,110,"Hong Kong,China",13991625.0
34,,111,India,14037954.0
34,,112,Indonesia,51652486.0
34,,116,Japan,629327599.0
34,,122,Malaysia,101306691.0
34,,125,Nepal,19525.0
34,,132,Singapore,244077650.0
34,,133,Republic of Korea,171927892.0
34,,135,Syria,37731.0
34,,136,Thailand,37049870.0
34,,141,Viet Nam,9402898.0
34,,142,China,9568442.0
34,,143,"Taiwan,China",107605721.0
34,,149,Uzbekistan,2448729.0
34,,249,Tunisia,538.0
34,,303,United Kingdom,30511309.0
34,,304,Germany,442090951.0
34,,344,Russia,222386.0
34,,351,Croatia,94.0
34,,358,Serbia,627126.0
34,,502,United States,557529182.0
34,,601,Australia,25142383.0
34,,701,Countries（Territories）Unknown,9812.0
35,,110,"Hong Kong,China",594001.0
35,,111,India,880095.0
35,,112,Indonesia,2858330.0
35,,116,Japan,513922919.0
35,,122,Malaysia,16007468.0
35,,132,Singapore,44267190.0
35,,133,Republic of Korea,207190053.0
35,,136,Thailand,68202109.0
35,,141,Viet Nam,15860266.0
35,,142,China,104251267.0
35,,143,"Taiwan,China",135111392.0
35,,303,United Kingdom,20223260.0
35,,304,Germany,214405677.0
35,,344,Russia,10482.0
35,,351,Croatia,105588.0
35,,502,United States,272190456.0
35,,601,Australia,11173035.0
35,,701,Countries（Territories）Unknown,8141.0
36,,116,Japan,6193559.0
36,,122,Malaysia,1487123.0
36,,132,Singapore,1751074.0
36,,136,Thailand,15701193.0
36,,142,China,72.0
36,,303,United Kingdom,14667.0
36,,304,Germany,7352729.0
36,,502,United States,19167796.0
37,,110,"Hong Kong,China",4572419.0
37,,113,Iran,14003.0
37,,116,Japan,711099666.0
37,,122,Malaysia,8770767.0
37,,132,Singapore,662954.0
37,,133,Republic of Korea,207152076.0
37,,136,Thailand,845907.0
37,,141,Viet Nam,203530.0
37,,142,China,11875488.0
37,,143,"Taiwan,China",126304254.0
37,,303,United Kingdom,4544646.0
37,,304,Germany,13541708.0
37,,344,Russia,19747.0
37,,502,United States,342323749.0
38,,102,Bahrain,187.0
38,,110,"Hong Kong,China",38250769.0
38,,111,India,74331199.0
38,,112,Indonesia,1536169317.0
38,,113,Iran,4539707.0
38,,116,Japan,2033161901.0
38,,119,Lao,2357760.0
38,,122,Malaysia,368275448.0
38,,132,Singapore,485334982.0
38,,133,Republic of Korea,827282341.0
38,,136,Thailand,96382077.0
38,,141,Viet Nam,53966404.0
38,,142,China,144481126.0
38,,143,"Taiwan,China",768504729.0
38,,234,Namibia,8456.0
38,,303,United Kingdom,173227157.0
38,,304,Germany,841318857.0
38,,344,Russia,77580743.0
38,,502,United States,1918348280.0
38,,601,Australia,13184017.0
38,,701,Countries（Territories）Unknown,9905.0
39,,102,Bahrain,2885368.0
39,,110,"Hong Kong,China",390596703.0
39,,111,India,408394642.0
39,,112,Indonesia,160158112.0
39,,113,Iran,1031258494.0
39,,116,Japan,5708456617.0
39,,119,Lao,3860430.0
39,,120,Lebanon,417083.0
39,,122,Malaysia,1201378080.0
39,,125,Nepal,22022.0
39,,126,Oman,18215044.0
39,,132,Singapore,1815857848.0
39,,133,Republic of Korea,6765833446.0
39,,136,Thailand,2190568626.0
39,,141,Viet Nam,512750983.0
39,,142,China,1292537035.0
39,,143,"Taiwan,China",5399233883.0
39,,145,Kazakhstan,65.0
39,,149,Uzbekistan,77763271.0
39,,217,Ethiopia,158355.0
39,,231,Mauritius,1429.0
39,,234,Namibia,18699.0
39,,242,Sierra Leone,8396.0
39,,249,Tunisia,1999689.0
39,,303,United Kingdom,268447614.0
39,,304,Germany,1791454678.0
39,,324,Malta,196660.0
39,,337,Georgia,9201.0
39,,344,Russia,194070187.0
39,,351,Croatia,118918.0
39,,358,Serbia,1667661.0
39,,420,French Guiana,6098.0
39,,424,Guyana,2526.0
39,,437,Saint Lucia,3500.0
39,,440,El Salvador,251083.0
39,,502,United States,4482181673.0
39,,601,Australia,63614704.0
39,,701,Countries（Territories）Unknown,2174827.0
40,,110,"Hong Kong,China",7980092.0
40,,111,India,49282728.0
40,,112,Indonesia,335475097.0
40,,113,Iran,8626128.0
40,,116,Japan,882599601.0
40,,119,Lao,140451043.0
40,,120,Lebanon,9746.0
40,,122,Malaysia,770712504.0
40,,132,Singapore,166836257.0
40,,133,Republic of Korea,499096287.0
40,,136,Thailand,2676290938.0
40,,141,Viet Nam,796305055.0
40,,142,China,110640478.0
40,,143,"Taiwan,China",192176181.0
40,,206,Cameroon,1758293.0
40,,223,Cote d'lvoire,27189974.0
40,,225,Liberia,331675.0
40,,234,Namibia,771.0
40,,249,Tunisia,49110.0
40,,303,United Kingdom,104649419.0
40,,304,Germany,475351929.0
40,,324,Malta,4132587.0
40,,337,Georgia,3979.0
40,,344,Russia,146538787.0
40,,351,Croatia,1957987.0
40,,358,Serbia,4741159.0
40,,440,El Salvador,14876.0
