商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,112,印度尼西亚,152579
1,第1章 活动物,116,日本,5615180
1,第1章 活动物,304,德国,873
1,第1章 活动物,502,美国,2125979
1,第1章 活动物,601,澳大利亚,4039517
2,第2章 肉及食用...,136,泰国,176071915
2,第2章 肉及食用...,234,纳米比亚,2853938
2,第2章 肉及食用...,303,英国,154082133
2,第2章 肉及食用...,344,俄罗斯,382190475
2,第2章 肉及食用...,358,塞尔维亚,13033965
2,第2章 肉及食用...,502,美国,2390699849
2,第2章 肉及食用...,601,澳大利亚,1066231904
3,第3章 鱼、甲壳...,110,中国香港,25848854
3,第3章 鱼、甲壳...,111,印度,609437865
3,第3章 鱼、甲壳...,112,印度尼西亚,373597486
3,第3章 鱼、甲壳...,113,伊朗,56893944
3,第3章 鱼、甲壳...,116,日本,343178914
3,第3章 鱼、甲壳...,122,马来西亚,145407709
3,第3章 鱼、甲壳...,132,新加坡,8269450
3,第3章 鱼、甲壳...,133,韩国,74440677
3,第3章 鱼、甲壳...,136,泰国,154988122
3,第3章 鱼、甲壳...,141,越南,1190818449
3,第3章 鱼、甲壳...,143,中国台湾,70299305
3,第3章 鱼、甲壳...,230,毛里塔尼亚,21670308
3,第3章 鱼、甲壳...,234,纳米比亚,38258
3,第3章 鱼、甲壳...,240,塞内加尔,8757615
3,第3章 鱼、甲壳...,303,英国,16229572
3,第3章 鱼、甲壳...,304,德国,12613778
3,第3章 鱼、甲壳...,344,俄罗斯,1783724929
3,第3章 鱼、甲壳...,424,圭亚那,1024311
3,第3章 鱼、甲壳...,441,苏里南,5786980
3,第3章 鱼、甲壳...,502,美国,420570138
3,第3章 鱼、甲壳...,601,澳大利亚,58272187
4,第4章 乳品；蛋...,112,印度尼西亚,165753431
4,第4章 乳品；蛋...,116,日本,850150
4,第4章 乳品；蛋...,122,马来西亚,164616638
4,第4章 乳品；蛋...,132,新加坡,16835465
4,第4章 乳品；蛋...,133,韩国,6407907
4,第4章 乳品；蛋...,136,泰国,475893
4,第4章 乳品；蛋...,141,越南,3461386
4,第4章 乳品；蛋...,143,中国台湾,5208391
4,第4章 乳品；蛋...,145,哈萨克斯坦,332457
4,第4章 乳品；蛋...,303,英国,42746343
4,第4章 乳品；蛋...,304,德国,246751489
4,第4章 乳品；蛋...,344,俄罗斯,3615754
4,第4章 乳品；蛋...,358,塞尔维亚,473081
4,第4章 乳品；蛋...,502,美国,325767170
4,第4章 乳品；蛋...,601,澳大利亚,453315545
5,第5章 其他动物...,111,印度,306313
5,第5章 其他动物...,112,印度尼西亚,7934317
5,第5章 其他动物...,116,日本,6048540
5,第5章 其他动物...,120,黎巴嫩,679094
5,第5章 其他动物...,122,马来西亚,576566
