商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,110,中国香港,360
1,第1章 活动物,116,日本,6971988
1,第1章 活动物,133,韩国,994
1,第1章 活动物,202,安哥拉,4848876
1,第1章 活动物,303,英国,509
1,第1章 活动物,502,美国,39642195
1,第1章 活动物,601,澳大利亚,7515185
2,第2章 肉及食用...,136,泰国,307600952
2,第2章 肉及食用...,149,乌兹别克斯坦,52937068
2,第2章 肉及食用...,234,纳米比亚,2205022
2,第2章 肉及食用...,303,英国,134645916
2,第2章 肉及食用...,344,俄罗斯,348673844
2,第2章 肉及食用...,358,塞尔维亚,104046
2,第2章 肉及食用...,502,美国,1510975343
2,第2章 肉及食用...,601,澳大利亚,1254067181
3,第3章 鱼、甲壳...,110,中国香港,4726817
3,第3章 鱼、甲壳...,111,印度,472020215
3,第3章 鱼、甲壳...,112,印度尼西亚,576856127
3,第3章 鱼、甲壳...,113,伊朗,42695349
3,第3章 鱼、甲壳...,122,马来西亚,111389235
3,第3章 鱼、甲壳...,132,新加坡,16168700
3,第3章 鱼、甲壳...,133,韩国,165040114
3,第3章 鱼、甲壳...,136,泰国,221483310
3,第3章 鱼、甲壳...,141,越南,1055707037
3,第3章 鱼、甲壳...,142,中国,23728213
3,第3章 鱼、甲壳...,143,中国台湾,64672362
3,第3章 鱼、甲壳...,145,哈萨克斯坦,718550
3,第3章 鱼、甲壳...,230,毛里塔尼亚,41024435
3,第3章 鱼、甲壳...,234,纳米比亚,3343096
3,第3章 鱼、甲壳...,240,塞内加尔,13443411
3,第3章 鱼、甲壳...,303,英国,74997163
3,第3章 鱼、甲壳...,304,德国,10059517
3,第3章 鱼、甲壳...,344,俄罗斯,1770939741
3,第3章 鱼、甲壳...,401,安提瓜和巴布达,3719026
3,第3章 鱼、甲壳...,424,圭亚那,4868621
3,第3章 鱼、甲壳...,441,苏里南,1328707
3,第3章 鱼、甲壳...,502,美国,813936254
3,第3章 鱼、甲壳...,601,澳大利亚,110500603
4,第4章 乳品；蛋...,112,印度尼西亚,272571195
4,第4章 乳品；蛋...,113,伊朗,6782
4,第4章 乳品；蛋...,122,马来西亚,106015734
4,第4章 乳品；蛋...,132,新加坡,1453787
4,第4章 乳品；蛋...,133,韩国,2801383
4,第4章 乳品；蛋...,136,泰国,1691757
4,第4章 乳品；蛋...,141,越南,13423113
4,第4章 乳品；蛋...,142,中国,264489
4,第4章 乳品；蛋...,303,英国,54306138
4,第4章 乳品；蛋...,304,德国,171825593
4,第4章 乳品；蛋...,344,俄罗斯,4389349
4,第4章 乳品；蛋...,502,美国,176258067
4,第4章 乳品；蛋...,601,澳大利亚,216474352
5,第5章 其他动物...,111,印度,595167
5,第5章 其他动物...,112,印度尼西亚,3684574
5,第5章 其他动物...,116,日本,1576050
5,第5章 其他动物...,120,黎巴嫩,99830
5,第5章 其他动物...,122,马来西亚,1018765
5,第5章 其他动物...,133,韩国,14617403
5,第5章 其他动物...,136,泰国,18167718
5,第5章 其他动物...,139,也门,104604
5,第5章 其他动物...,141,越南,21203898
5,第5章 其他动物...,142,中国,204
5,第5章 其他动物...,143,中国台湾,95458365
5,第5章 其他动物...,145,哈萨克斯坦,9411557
5,第5章 其他动物...,149,乌兹别克斯坦,872555
5,第5章 其他动物...,206,喀麦隆,190441
5,第5章 其他动物...,230,毛里塔尼亚,43336
5,第5章 其他动物...,240,塞内加尔,559700
5,第5章 其他动物...,243,索马里,28385
5,第5章 其他动物...,249,突尼斯,148319
5,第5章 其他动物...,303,英国,1345236
5,第5章 其他动物...,304,德国,3107859
5,第5章 其他动物...,344,俄罗斯,3547098
5,第5章 其他动物...,502,美国,176317414
5,第5章 其他动物...,601,澳大利亚,24898684
6,第6章 活树及其...,111,印度,114988
6,第6章 活树及其...,112,印度尼西亚,317229
6,第6章 活树及其...,113,伊朗,54811
6,第6章 活树及其...,116,日本,3508398
6,第6章 活树及其...,122,马来西亚,261660
6,第6章 活树及其...,133,韩国,4240
6,第6章 活树及其...,136,泰国,8973925
6,第6章 活树及其...,141,越南,510912
6,第6章 活树及其...,206,喀麦隆,18697
6,第6章 活树及其...,217,埃塞俄比亚,215345
6,第6章 活树及其...,304,德国,113897
6,第6章 活树及其...,440,萨尔瓦多,73520
6,第6章 活树及其...,502,美国,726557
6,第6章 活树及其...,601,澳大利亚,1260271
7,第7章 食用蔬菜...,111,印度,62163505
7,第7章 食用蔬菜...,112,印度尼西亚,53283728
7,第7章 食用蔬菜...,116,日本,285440
7,第7章 食用蔬菜...,133,韩国,47003
7,第7章 食用蔬菜...,136,泰国,311175330
7,第7章 食用蔬菜...,141,越南,31710013
7,第7章 食用蔬菜...,142,中国,105230
7,第7章 食用蔬菜...,143,中国台湾,183544
7,第7章 食用蔬菜...,145,哈萨克斯坦,5516210
7,第7章 食用蔬菜...,149,乌兹别克斯坦,620375
7,第7章 食用蔬菜...,217,埃塞俄比亚,30751157
7,第7章 食用蔬菜...,303,英国,1086951
7,第7章 食用蔬菜...,344,俄罗斯,95274790
7,第7章 食用蔬菜...,502,美国,19467300
7,第7章 食用蔬菜...,601,澳大利亚,37899258
8,第8章 食用水果...,112,印度尼西亚,74453487
8,第8章 食用水果...,113,伊朗,178047850
8,第8章 食用水果...,116,日本,841799
8,第8章 食用水果...,119,老挝,40270809
8,第8章 食用水果...,122,马来西亚,270120640
8,第8章 食用水果...,133,韩国,12503874
8,第8章 食用水果...,136,泰国,3457599148
8,第8章 食用水果...,141,越南,4923264117
8,第8章 食用水果...,143,中国台湾,2000629
8,第8章 食用水果...,149,乌兹别克斯坦,708506
8,第8章 食用水果...,150,格鲁吉亚(2023年起),5524
8,第8章 食用水果...,223,科特迪瓦,18659511
8,第8章 食用水果...,304,德国,27874
8,第8章 食用水果...,502,美国,258608086
8,第8章 食用水果...,601,澳大利亚,780744138
9,第9章 咖啡、茶...,102,巴林,7901
9,第9章 咖啡、茶...,110,中国香港,296235
9,第9章 咖啡、茶...,111,印度,230169023
9,第9章 咖啡、茶...,112,印度尼西亚,99546672
9,第9章 咖啡、茶...,113,伊朗,2196218
9,第9章 咖啡、茶...,116,日本,4651327
9,第9章 咖啡、茶...,119,老挝,7790
9,第9章 咖啡、茶...,122,马来西亚,10426654
9,第9章 咖啡、茶...,125,尼泊尔,57026
9,第9章 咖啡、茶...,132,新加坡,4457554
9,第9章 咖啡、茶...,133,韩国,123173
9,第9章 咖啡、茶...,136,泰国,3863929
9,第9章 咖啡、茶...,141,越南,100835801
9,第9章 咖啡、茶...,142,中国,1033539
9,第9章 咖啡、茶...,143,中国台湾,3439866
9,第9章 咖啡、茶...,150,格鲁吉亚(2023年起),35908662
9,第9章 咖啡、茶...,152,阿塞拜疆(2023年起),57358
9,第9章 咖啡、茶...,205,布隆迪,985131
9,第9章 咖啡、茶...,217,埃塞俄比亚,32825802
9,第9章 咖啡、茶...,303,英国,3389542
9,第9章 咖啡、茶...,304,德国,1440718
9,第9章 咖啡、茶...,344,俄罗斯,65815
9,第9章 咖啡、茶...,440,萨尔瓦多,1822832
9,第9章 咖啡、茶...,502,美国,15295699
9,第9章 咖啡、茶...,601,澳大利亚,524038
10,第10章 谷物,111,印度,3957099
10,第10章 谷物,116,日本,171445
10,第10章 谷物,136,泰国,66069197
10,第10章 谷物,141,越南,41742744
10,第10章 谷物,145,哈萨克斯坦,212664215
10,第10章 谷物,344,俄罗斯,273213997
10,第10章 谷物,502,美国,721083171
10,第10章 谷物,601,澳大利亚,1434173525
11,第11章 制粉工业...,110,中国香港,1248
11,第11章 制粉工业...,111,印度,45033
11,第11章 制粉工业...,112,印度尼西亚,101235
11,第11章 制粉工业...,116,日本,25522535
11,第11章 制粉工业...,119,老挝,58495130
11,第11章 制粉工业...,133,韩国,1019655
11,第11章 制粉工业...,136,泰国,660799532
11,第11章 制粉工业...,141,越南,530386111
11,第11章 制粉工业...,143,中国台湾,554
11,第11章 制粉工业...,145,哈萨克斯坦,129837
11,第11章 制粉工业...,303,英国,1854488
11,第11章 制粉工业...,304,德国,12050009
11,第11章 制粉工业...,344,俄罗斯,22924628
11,第11章 制粉工业...,502,美国,6874456
11,第11章 制粉工业...,601,澳大利亚,11200078
12,第12章 含油子仁...,111,印度,11829908
12,第12章 含油子仁...,112,印度尼西亚,167571713
12,第12章 含油子仁...,113,伊朗,398715
12,第12章 含油子仁...,116,日本,8800067
12,第12章 含油子仁...,119,老挝,11185515
12,第12章 含油子仁...,122,马来西亚,203465
12,第12章 含油子仁...,125,尼泊尔,540000
12,第12章 含油子仁...,133,韩国,39329076
12,第12章 含油子仁...,136,泰国,23419887
12,第12章 含油子仁...,141,越南,80788740
12,第12章 含油子仁...,142,中国,2074560
12,第12章 含油子仁...,143,中国台湾,1130022
12,第12章 含油子仁...,145,哈萨克斯坦,51808986
12,第12章 含油子仁...,149,乌兹别克斯坦,3931173
12,第12章 含油子仁...,152,阿塞拜疆(2023年起),303084
12,第12章 含油子仁...,217,埃塞俄比亚,18693616
12,第12章 含油子仁...,234,纳米比亚,407732
12,第12章 含油子仁...,240,塞内加尔,35703124
12,第12章 含油子仁...,303,英国,60439
12,第12章 含油子仁...,304,德国,4524836
12,第12章 含油子仁...,344,俄罗斯,235342493
12,第12章 含油子仁...,502,美国,7189324284
12,第12章 含油子仁...,601,澳大利亚,366265334
13,第13章 虫胶；树...,111,印度,24855613
13,第13章 虫胶；树...,112,印度尼西亚,51558556
13,第13章 虫胶；树...,113,伊朗,28523
13,第13章 虫胶；树...,116,日本,2921393
13,第13章 虫胶；树...,119,老挝,1536511
13,第13章 虫胶；树...,122,马来西亚,124612
13,第13章 虫胶；树...,132,新加坡,221884
13,第13章 虫胶；树...,133,韩国,5338980
13,第13章 虫胶；树...,136,泰国,5008703
13,第13章 虫胶；树...,141,越南,4790186
13,第13章 虫胶；树...,142,中国,22357
13,第13章 虫胶；树...,143,中国台湾,1141602
13,第13章 虫胶；树...,149,乌兹别克斯坦,3196817
13,第13章 虫胶；树...,217,埃塞俄比亚,1409745
13,第13章 虫胶；树...,243,索马里,1017711
13,第13章 虫胶；树...,303,英国,126744
13,第13章 虫胶；树...,304,德国,4565362
13,第13章 虫胶；树...,502,美国,7899736
13,第13章 虫胶；树...,601,澳大利亚,1066290
14,第14章 编结用植...,111,印度,13842558
14,第14章 编结用植...,112,印度尼西亚,2733430
14,第14章 编结用植...,113,伊朗,1104054
14,第14章 编结用植...,116,日本,39840
14,第14章 编结用植...,119,老挝,61005
14,第14章 编结用植...,122,马来西亚,8678371
14,第14章 编结用植...,133,韩国,25293
14,第14章 编结用植...,136,泰国,184072
14,第14章 编结用植...,141,越南,2580083
14,第14章 编结用植...,142,中国,1986
14,第14章 编结用植...,143,中国台湾,131496
14,第14章 编结用植...,145,哈萨克斯坦,160257
14,第14章 编结用植...,148,土库曼斯坦,4964239
14,第14章 编结用植...,358,塞尔维亚,246643
14,第14章 编结用植...,502,美国,27132
15,动、植物或微生物油、...,110,中国香港,9344066
15,动、植物或微生物油、...,111,印度,379337304
15,动、植物或微生物油、...,112,印度尼西亚,3234562215
15,动、植物或微生物油、...,116,日本,5405113
15,动、植物或微生物油、...,122,马来西亚,1149236945
15,动、植物或微生物油、...,132,新加坡,15965989
15,动、植物或微生物油、...,133,韩国,22505658
15,动、植物或微生物油、...,136,泰国,86317755
15,动、植物或微生物油、...,141,越南,8278293
15,动、植物或微生物油、...,142,中国,6181589
15,动、植物或微生物油、...,143,中国台湾,1981524
15,动、植物或微生物油、...,145,哈萨克斯坦,55651032
15,动、植物或微生物油、...,230,毛里塔尼亚,14437474
15,动、植物或微生物油、...,249,突尼斯,9448
15,动、植物或微生物油、...,303,英国,6129404
15,动、植物或微生物油、...,304,德国,145438546
15,动、植物或微生物油、...,344,俄罗斯,1116996746
15,动、植物或微生物油、...,502,美国,95490832
15,动、植物或微生物油、...,601,澳大利亚,191303145
16,第16章 肉、鱼、...,112,印度尼西亚,7928144
16,第16章 肉、鱼、...,122,马来西亚,16556941
16,第16章 肉、鱼、...,132,新加坡,442328
16,第16章 肉、鱼、...,133,韩国,29662054
16,第16章 肉、鱼、...,136,泰国,31896377
16,第16章 肉、鱼、...,141,越南,13562165
16,第16章 肉、鱼、...,143,中国台湾,227606
16,第16章 肉、鱼、...,344,俄罗斯,3324136
16,第16章 肉、鱼、...,351,克罗地亚,155220
16,第16章 肉、鱼、...,502,美国,177762342
