Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,129,Philippines,183844.0
1,,138,United Arab Emirates,137676.0
1,,244,South Africa,2808586.0
1,,252,Democratic Republic of Congo,1237150.0
1,,301,Belgium,636452.0
1,,305,France,1978.0
1,,309,Netherlands,4372969.0
1,,312,Spain,1035540.0
1,,315,Austria,1905.0
1,,318,Finland,563.0
1,,326,Norway,1349203.0
1,,501,Canada,3259.0
2,,124,Mongolia,6375001.0
2,,301,Belgium,27015727.0
2,,305,France,147572694.0
2,,306,Ireland,71574592.0
2,,307,Italy,1397456.0
2,,309,Netherlands,195939503.0
2,,312,Spain,441622548.0
2,,321,Hungary,56096140.0
2,,410,Brazil,984267780.0
2,,415,Costa Rica,6045896.0
2,,429,Mexico,965970.0
2,,444,Uruguay,377334250.0
2,,501,Canada,313729080.0
3,,109,Democratic People's Republic of Korea,69182137.0
3,,123,Maldives,471689.0
3,,127,Pakistan,21935747.0
3,,129,Philippines,19617130.0
3,,137,Türkiye,1790761.0
3,,220,Ghana,1151034.0
3,,224,Kenya,1058492.0
3,,227,Madagascar,8575223.0
3,,233,Mozambique,9588052.0
3,,244,South Africa,10748057.0
3,,250,Uganda,768231.0
3,,305,France,20457243.0
3,,306,Ireland,19924282.0
3,,309,Netherlands,7952089.0
3,,310,Greece,32068.0
3,,312,Spain,7538638.0
3,,316,Bulgaria,55346.0
3,,326,Norway,281944526.0
3,,327,Poland,222148.0
3,,357,Faroe Islands,44296798.0
3,,410,Brazil,2293138.0
3,,429,Mexico,33159152.0
3,,444,Uruguay,683461.0
3,,501,Canada,321846390.0
3,,503,Greenland,59813042.0
4,,301,Belgium,16941685.0
4,,305,France,213540080.0
4,,306,Ireland,20128547.0
4,,307,Italy,12958470.0
4,,309,Netherlands,49878219.0
4,,310,Greece,326455.0
4,,312,Spain,9743328.0
4,,315,Austria,12866358.0
4,,316,Bulgaria,139342.0
4,,318,Finland,26779288.0
4,,321,Hungary,33819.0
4,,327,Poland,25629294.0
4,,336,Lithuania,2181025.0
4,,340,Belarus,2925638.0
4,,350,Slovenia,415362.0
4,,410,Brazil,1323307.0
4,,429,Mexico,385395.0
4,,444,Uruguay,9229566.0
4,,501,Canada,894796.0
5,,109,Democratic People's Republic of Korea,545669.0
5,,124,Mongolia,176289.0
5,,127,Pakistan,212439.0
5,,129,Philippines,930886.0
5,,244,South Africa,575735.0
5,,250,Uganda,118064.0
5,,301,Belgium,261751.0
5,,305,France,6638295.0
5,,306,Ireland,1134800.0
5,,307,Italy,1439487.0
5,,309,Netherlands,24928703.0
5,,312,Spain,23689718.0
5,,315,Austria,144171.0
5,,318,Finland,117213.0
5,,321,Hungary,3997857.0
5,,326,Norway,478.0
5,,327,Poland,957732.0
5,,429,Mexico,233828.0
5,,501,Canada,22123629.0
6,,109,Democratic People's Republic of Korea,72385.0
6,,127,Pakistan,44111.0
6,,129,Philippines,4338.0
6,,137,Türkiye,627.0
6,,224,Kenya,2080307.0
6,,244,South Africa,4262763.0
6,,250,Uganda,775213.0
6,,254,Zimbabwe,43234.0
6,,301,Belgium,290189.0
6,,305,France,235620.0
6,,306,Ireland,46795.0
6,,307,Italy,2115891.0
6,,309,Netherlands,56283784.0
6,,312,Spain,2031963.0
6,,318,Finland,10569.0
6,,326,Norway,305227.0
6,,327,Poland,343782.0
6,,410,Brazil,127408.0
6,,415,Costa Rica,495948.0
6,,501,Canada,483.0
7,,109,Democratic People's Republic of Korea,1133380.0
7,,127,Pakistan,6717416.0
7,,137,Türkiye,79349.0
7,,301,Belgium,53206.0
7,,305,France,58167.0
7,,307,Italy,34402.0
7,,309,Netherlands,36830.0
7,,312,Spain,711985.0
7,,315,Austria,52619.0
7,,327,Poland,30605.0
7,,429,Mexico,801818.0
7,,501,Canada,123764708.0
8,,108,Cyprus,348959.0
8,,109,Democratic People's Republic of Korea,13141307.0
8,,124,Mongolia,88992907.0
8,,127,Pakistan,118663.0
8,,129,Philippines,248461356.0
8,,137,Türkiye,10251529.0
8,,138,United Arab Emirates,325280.0
8,,147,Tajikistan,321747.0
8,,244,South Africa,104174379.0
