Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,129,Philippines,271498.0
1,,244,South Africa,165218.0
1,,301,Belgium,53393.0
1,,305,France,24692.0
1,,307,Italy,2570.0
1,,309,Netherlands,80090.0
1,,312,Spain,518677.0
1,,315,Austria,3615.0
1,,318,Finland,25994.0
1,,444,Uruguay,330436.0
1,,501,Canada,951.0
2,,124,Mongolia,23654858.0
2,,301,Belgium,18256432.0
2,,305,France,124256831.0
2,,306,Ireland,50091438.0
2,,307,Italy,1992001.0
2,,309,Netherlands,154571344.0
2,,312,Spain,348520134.0
2,,318,Finland,243057.0
2,,321,Hungary,30779769.0
2,,410,Brazil,934422842.0
2,,415,Costa Rica,8478223.0
2,,429,Mexico,3230166.0
2,,444,Uruguay,396882730.0
2,,501,Canada,307468271.0
3,,109,Democratic People's Republic of Korea,320268242.0
3,,123,Maldives,377521.0
3,,127,Pakistan,34701317.0
3,,129,Philippines,29917457.0
3,,137,Türkiye,2323556.0
3,,220,Ghana,836705.0
3,,224,Kenya,1202414.0
3,,227,Madagascar,10949873.0
3,,233,Mozambique,13897591.0
3,,244,South Africa,18145348.0
3,,305,France,15331352.0
3,,306,Ireland,20989597.0
3,,309,Netherlands,11165021.0
3,,310,Greece,172813.0
3,,312,Spain,10449118.0
3,,326,Norway,230770446.0
3,,327,Poland,163351.0
3,,357,Faroe Islands,70594019.0
3,,410,Brazil,1476694.0
3,,429,Mexico,14155345.0
3,,444,Uruguay,2763675.0
3,,501,Canada,263331940.0
3,,503,Greenland,69377585.0
4,,137,Türkiye,1308230.0
4,,301,Belgium,17577022.0
4,,305,France,292715747.0
4,,306,Ireland,26661218.0
4,,307,Italy,24989152.0
4,,309,Netherlands,91143915.0
4,,310,Greece,334898.0
4,,312,Spain,18862019.0
4,,313,Albania,8823.0
4,,315,Austria,15203322.0
4,,316,Bulgaria,28561.0
4,,318,Finland,33079324.0
4,,321,Hungary,657929.0
4,,327,Poland,35902832.0
4,,336,Lithuania,379307.0
4,,340,Belarus,2258199.0
4,,350,Slovenia,812313.0
4,,410,Brazil,4540322.0
4,,429,Mexico,2311964.0
4,,444,Uruguay,9329294.0
4,,501,Canada,637997.0
5,,124,Mongolia,1340350.0
5,,127,Pakistan,212965.0
5,,129,Philippines,1592408.0
5,,301,Belgium,179254.0
5,,305,France,4115552.0
5,,306,Ireland,2898379.0
5,,307,Italy,905367.0
5,,309,Netherlands,26817006.0
5,,310,Greece,178761.0
5,,312,Spain,26330991.0
5,,321,Hungary,6882600.0
5,,327,Poland,1133683.0
5,,410,Brazil,1716000.0
5,,501,Canada,20412665.0
6,,109,Democratic People's Republic of Korea,125812.0
6,,224,Kenya,1788081.0
6,,244,South Africa,3034921.0
6,,250,Uganda,1107407.0
6,,254,Zimbabwe,33867.0
6,,301,Belgium,323349.0
6,,305,France,1116811.0
6,,306,Ireland,271.0
6,,307,Italy,5852795.0
6,,309,Netherlands,58755564.0
6,,312,Spain,2246185.0
6,,318,Finland,406636.0
6,,327,Poland,77894.0
6,,410,Brazil,244486.0
6,,415,Costa Rica,1868578.0
6,,429,Mexico,297299.0
6,,444,Uruguay,265415.0
6,,501,Canada,283401.0
7,,109,Democratic People's Republic of Korea,471041.0
7,,127,Pakistan,1515461.0
7,,137,Türkiye,291946.0
7,,301,Belgium,7936.0
7,,305,France,5279.0
7,,307,Italy,13401.0
7,,309,Netherlands,35126.0
7,,312,Spain,676422.0
7,,315,Austria,26091.0
7,,321,Hungary,192878.0
7,,327,Poland,1287793.0
7,,429,Mexico,1054572.0
7,,501,Canada,116816813.0
8,,108,Cyprus,470183.0
8,,109,Democratic People's Republic of Korea,1784148.0
8,,124,Mongolia,39856347.0
8,,127,Pakistan,275.0
8,,129,Philippines,396581344.0
8,,137,Türkiye,31905304.0
8,,138,United Arab Emirates,198688.0
8,,147,Tajikistan,976464.0
8,,203,Benin,1195089.0
8,,224,Kenya,448313.0
8,,244,South Africa,157241117.0
8,,254,Zimbabwe,5296907.0
8,,301,Belgium,1628941.0
8,,305,France,130307.0
8,,307,Italy,422359.0
8,,309,Netherlands,23927.0
8,,312,Spain,13863010.0
8,,315,Austria,25362.0
8,,327,Poland,1377691.0
8,,340,Belarus,10909.0
8,,415,Costa Rica,336122.0
8,,429,Mexico,16782380.0
8,,501,Canada,1927038.0
9,,127,Pakistan,33665.0
9,,137,Türkiye,319546.0
9,,138,United Arab Emirates,410782.0
9,,224,Kenya,4913556.0
9,,227,Madagascar,958982.0
9,,233,Mozambique,561301.0
9,,244,South Africa,133032.0
9,,250,Uganda,2360042.0
9,,301,Belgium,879769.0
9,,305,France,381480.0
9,,307,Italy,19613683.0
9,,309,Netherlands,154857.0
9,,312,Spain,1226571.0
9,,315,Austria,2346793.0
9,,326,Norway,9915.0
9,,327,Poland,2263188.0
9,,410,Brazil,8572269.0
9,,415,Costa Rica,1116291.0
9,,427,Jamaica,238412.0
9,,431,Nicaragua,58973.0
9,,501,Canada,24863.0
10,,127,Pakistan,14852007.0
10,,137,Türkiye,137.0
10,,305,France,49001.0
10,,321,Hungary,300075.0
10,,408,Bolivia,242.0
10,,501,Canada,171553668.0
11,,109,Democratic People's Republic of Korea,433174.0
11,,137,Türkiye,453815.0
11,,301,Belgium,9160322.0
11,,305,France,1672249.0
11,,307,Italy,169828.0
11,,309,Netherlands,22293504.0
11,,312,Spain,2769.0
11,,315,Austria,13796.0
11,,321,Hungary,993560.0
11,,327,Poland,609314.0
11,,340,Belarus,5935808.0
11,,429,Mexico,4185381.0
11,,501,Canada,1577929.0
12,,109,Democratic People's Republic of Korea,5234867.0
12,,124,Mongolia,16288260.0
12,,127,Pakistan,6335886.0
12,,129,Philippines,3587902.0
12,,137,Türkiye,211341.0
12,,220,Ghana,4272968.0
12,,224,Kenya,99689.0
12,,227,Madagascar,739644.0
12,,233,Mozambique,3252296.0
12,,235,Niger,32585068.0
12,,244,South Africa,1791018.0
12,,250,Uganda,6986222.0
12,,301,Belgium,999053.0
12,,305,France,1638565.0
12,,307,Italy,1538413.0
12,,309,Netherlands,986068.0
12,,312,Spain,13790992.0
12,,327,Poland,4545020.0
12,,336,Lithuania,246181.0
12,,350,Slovenia,938195.0
12,,410,Brazil,17737184617.0
12,,415,Costa Rica,560062.0
12,,429,Mexico,2173138.0
12,,444,Uruguay,348443950.0
12,,501,Canada,1592931501.0
13,,127,Pakistan,5417077.0
13,,129,Philippines,3396683.0
13,,137,Türkiye,1124761.0
13,,213,Congo,588059.0
13,,224,Kenya,1930024.0
13,,227,Madagascar,1667541.0
13,,235,Niger,283969.0
13,,301,Belgium,58512.0
13,,305,France,14837441.0
13,,307,Italy,7530872.0
13,,310,Greece,17214.0
13,,312,Spain,2952606.0
13,,410,Brazil,8408741.0
13,,429,Mexico,5653812.0
13,,501,Canada,247553.0
14,,109,Democratic People's Republic of Korea,304261.0
14,,127,Pakistan,963394.0
14,,129,Philippines,2505500.0
14,,137,Türkiye,11262133.0
14,,203,Benin,488588.0
14,,227,Madagascar,527970.0
14,,309,Netherlands,1025.0
14,,312,Spain,7179.0
14,,327,Poland,3270.0
14,,410,Brazil,1555622.0
14,,429,Mexico,1559401.0
15,,129,Philippines,22520150.0
15,,137,Türkiye,29803400.0
15,,244,South Africa,11253.0
15,,301,Belgium,4258488.0
15,,305,France,11062444.0
15,,306,Ireland,286055.0
15,,307,Italy,13049823.0
15,,309,Netherlands,5287471.0
15,,310,Greece,3719826.0
15,,312,Spain,66419307.0
15,,313,Albania,9340.0
15,,315,Austria,421227.0
15,,321,Hungary,113581.0
15,,326,Norway,5097477.0
15,,350,Slovenia,272.0
15,,410,Brazil,717692435.0
15,,429,Mexico,285744.0
15,,431,Nicaragua,2585343.0
15,,444,Uruguay,1027833.0
15,,501,Canada,406554855.0
16,,109,Democratic People's Republic of Korea,2252495.0
16,,124,Mongolia,38875.0
16,,129,Philippines,372966.0
16,,305,France,395631.0
16,,307,Italy,194046.0
16,,312,Spain,4208610.0
16,,327,Poland,247.0
16,,429,Mexico,5437.0
16,,501,Canada,5168098.0
17,,108,Cyprus,681.0
17,,127,Pakistan,242173.0
17,,129,Philippines,382681.0
17,,137,Türkiye,6261708.0
17,,138,United Arab Emirates,1808094.0
17,,244,South Africa,444518.0
17,,301,Belgium,4731101.0
17,,305,France,4851161.0
17,,306,Ireland,55623.0
17,,307,Italy,1816627.0
17,,309,Netherlands,4818953.0
17,,312,Spain,2482827.0
17,,315,Austria,2217034.0
17,,316,Bulgaria,4744.0
17,,318,Finland,418552.0
17,,321,Hungary,220974.0
17,,327,Poland,1972634.0
17,,336,Lithuania,765644.0
17,,350,Slovenia,145849.0
17,,410,Brazil,1710423.0
17,,415,Costa Rica,105847917.0
17,,429,Mexico,334815.0
17,,501,Canada,3364131.0
18,,129,Philippines,11098.0
18,,137,Türkiye,1812344.0
18,,138,United Arab Emirates,23299.0
18,,220,Ghana,4686447.0
18,,301,Belgium,24646779.0
18,,305,France,9997091.0
18,,307,Italy,17906495.0
18,,309,Netherlands,5188017.0
18,,310,Greece,593.0
18,,312,Spain,2711129.0
18,,315,Austria,3248468.0
18,,316,Bulgaria,217045.0
18,,318,Finland,1765.0
18,,321,Hungary,136967.0
18,,326,Norway,158815.0
18,,327,Poland,2228574.0
18,,340,Belarus,34984.0
18,,350,Slovenia,426.0
18,,429,Mexico,54715.0
18,,501,Canada,379376.0
19,,129,Philippines,3833803.0
19,,137,Türkiye,5863706.0
19,,138,United Arab Emirates,519993.0
19,,244,South Africa,27340.0
19,,301,Belgium,6121421.0
19,,305,France,257637916.0
19,,306,Ireland,538668091.0
19,,307,Italy,34394549.0
19,,309,Netherlands,653245236.0
19,,310,Greece,1236504.0
19,,312,Spain,13708044.0
19,,315,Austria,11956911.0
19,,316,Bulgaria,125123.0
19,,318,Finland,31087.0
19,,321,Hungary,32947.0
19,,326,Norway,291300.0
19,,327,Poland,8415109.0
19,,336,Lithuania,195746.0
19,,340,Belarus,27945.0
19,,410,Brazil,166165.0
19,,429,Mexico,421380.0
19,,501,Canada,1325984.0
20,,108,Cyprus,11737162.0
20,,127,Pakistan,52820.0
20,,129,Philippines,21120702.0
20,,137,Türkiye,25715367.0
20,,138,United Arab Emirates,53185.0
20,,224,Kenya,5496.0
20,,244,South Africa,12380903.0
20,,301,Belgium,13551236.0
20,,305,France,14462427.0
20,,306,Ireland,7252.0
20,,307,Italy,14543676.0
20,,309,Netherlands,5755107.0
20,,310,Greece,1386001.0
20,,312,Spain,15368800.0
20,,313,Albania,633.0
20,,315,Austria,2740668.0
20,,316,Bulgaria,1316473.0
20,,321,Hungary,118787.0
20,,327,Poland,2075087.0
20,,339,Azerbai jan,51408.0
20,,350,Slovenia,17031.0
20,,410,Brazil,53602224.0
20,,415,Costa Rica,30393598.0
20,,429,Mexico,1031886.0
20,,501,Canada,12150383.0
21,,129,Philippines,1551327.0
21,,137,Türkiye,2917817.0
21,,138,United Arab Emirates,187.0
21,,244,South Africa,239401.0
21,,301,Belgium,8488249.0
21,,305,France,33539402.0
21,,306,Ireland,242462.0
21,,307,Italy,15971525.0
21,,309,Netherlands,28002532.0
21,,312,Spain,28040389.0
21,,315,Austria,4726486.0
21,,316,Bulgaria,11337.0
21,,318,Finland,21375.0
21,,321,Hungary,191458.0
21,,326,Norway,1177831.0
21,,327,Poland,2441805.0
21,,336,Lithuania,126465.0
21,,350,Slovenia,23367.0
21,,410,Brazil,13573725.0
21,,415,Costa Rica,469120.0
21,,427,Jamaica,21344.0
