Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,129,Philippines,265802.0
1,,244,South Africa,270063.0
1,,301,Belgium,5696471.0
1,,306,Ireland,4615.0
1,,309,Netherlands,6495641.0
1,,327,Poland,1822916.0
1,,501,Canada,1504755.0
2,,124,Mongolia,17048301.0
2,,244,South Africa,19695940.0
2,,301,Belgium,13032186.0
2,,305,France,69513419.0
2,,306,Ireland,31796829.0
2,,307,Italy,1475906.0
2,,309,Netherlands,108825424.0
2,,312,Spain,226640794.0
2,,318,Finland,1138620.0
2,,321,Hungary,18170852.0
2,,340,Belarus,18613.0
2,,410,Brazil,1056045907.0
2,,415,Costa Rica,2514091.0
2,,429,Mexico,2040973.0
2,,444,Uruguay,364151560.0
2,,501,Canada,163795232.0
3,,123,Maldives,1266328.0
3,,127,Pakistan,21274163.0
3,,129,Philippines,35876105.0
3,,137,Türkiye,5177609.0
3,,220,Ghana,1151674.0
3,,224,Kenya,1035500.0
3,,227,Madagascar,9564826.0
3,,233,Mozambique,11314074.0
3,,244,South Africa,38202841.0
3,,250,Uganda,975663.0
3,,305,France,21288603.0
3,,306,Ireland,25685137.0
3,,309,Netherlands,4277577.0
3,,312,Spain,6342518.0
3,,326,Norway,206321419.0
3,,327,Poland,2548604.0
3,,357,Faroe Islands,70504331.0
3,,410,Brazil,5465166.0
3,,429,Mexico,53710140.0
3,,444,Uruguay,12383987.0
3,,501,Canada,393421749.0
3,,503,Greenland,42625885.0
4,,137,Türkiye,34104.0
4,,301,Belgium,3481423.0
4,,305,France,117595616.0
4,,306,Ireland,11021493.0
4,,307,Italy,9900487.0
4,,309,Netherlands,40252138.0
4,,310,Greece,306131.0
4,,312,Spain,16910570.0
4,,315,Austria,6043501.0
4,,316,Bulgaria,79569.0
4,,318,Finland,9155000.0
4,,327,Poland,19582786.0
4,,336,Lithuania,5857357.0
4,,340,Belarus,2914397.0
4,,410,Brazil,2434560.0
4,,444,Uruguay,2656392.0
4,,501,Canada,443219.0
5,,127,Pakistan,1246435.0
5,,129,Philippines,215038.0
5,,244,South Africa,436880.0
5,,250,Uganda,68516.0
5,,301,Belgium,515886.0
5,,305,France,10822959.0
5,,306,Ireland,4782164.0
5,,307,Italy,2871563.0
5,,309,Netherlands,13199054.0
5,,310,Greece,206596.0
5,,312,Spain,26170591.0
5,,315,Austria,805954.0
5,,321,Hungary,1175701.0
5,,327,Poland,2899689.0
5,,350,Slovenia,30737.0
5,,429,Mexico,262628.0
5,,444,Uruguay,391976.0
5,,501,Canada,12359632.0
6,,109,Democratic People's Republic of Korea,117795.0
6,,224,Kenya,3937715.0
6,,244,South Africa,2071953.0
6,,250,Uganda,534161.0
6,,254,Zimbabwe,120383.0
6,,301,Belgium,380515.0
6,,305,France,706230.0
6,,306,Ireland,1838.0
6,,307,Italy,1221553.0
6,,309,Netherlands,30104102.0
6,,312,Spain,7233155.0
6,,326,Norway,64641.0
6,,327,Poland,19007.0
6,,410,Brazil,9235.0
6,,415,Costa Rica,66739.0
6,,429,Mexico,354712.0
6,,435,Puerto Rico,10792.0
6,,444,Uruguay,1160238.0
7,,127,Pakistan,1975728.0
7,,301,Belgium,581138.0
7,,305,France,20589587.0
7,,307,Italy,14663.0
7,,309,Netherlands,8370.0
7,,313,Albania,14519.0
7,,315,Austria,14978.0
7,,318,Finland,140347.0
7,,429,Mexico,1565605.0
7,,501,Canada,172643573.0
8,,108,Cyprus,95679.0
8,,124,Mongolia,13224703.0
8,,127,Pakistan,700218.0
8,,129,Philippines,281338803.0
8,,137,Türkiye,8968904.0
8,,138,United Arab Emirates,597553.0
8,,244,South Africa,32144913.0
8,,301,Belgium,4349411.0
8,,305,France,6375210.0
8,,307,Italy,13608487.0
8,,309,Netherlands,801957.0
8,,310,Greece,2725325.0
8,,312,Spain,30920218.0
8,,316,Bulgaria,568079.0
8,,321,Hungary,30962.0
8,,327,Poland,2065426.0
8,,415,Costa Rica,2005341.0
8,,429,Mexico,21575540.0
8,,501,Canada,3254594.0
9,,137,Türkiye,220550.0
9,,138,United Arab Emirates,443195.0
9,,219,Gambia,2889435.0
9,,224,Kenya,1611486.0
9,,233,Mozambique,556516.0
9,,244,South Africa,835285.0
9,,250,Uganda,1084088.0
9,,301,Belgium,570479.0
9,,305,France,358154.0
9,,307,Italy,14991757.0
9,,309,Netherlands,36952.0
9,,312,Spain,169257.0
9,,315,Austria,220747.0
9,,316,Bulgaria,24776.0
9,,327,Poland,1208850.0
9,,410,Brazil,6559165.0
9,,415,Costa Rica,94428.0
9,,427,Jamaica,349087.0
9,,501,Canada,90762.0
10,,127,Pakistan,24937754.0
10,,129,Philippines,349.0
10,,305,France,3304.0
10,,309,Netherlands,7672.0
10,,316,Bulgaria,212306.0
10,,429,Mexico,7195.0
10,,501,Canada,236848857.0
11,,109,Democratic People's Republic of Korea,110023.0
11,,137,Türkiye,440051.0
11,,244,South Africa,2544.0
11,,301,Belgium,4035868.0
11,,305,France,1487479.0
11,,307,Italy,68759.0
11,,309,Netherlands,8303193.0
11,,312,Spain,135261.0
11,,315,Austria,23526.0
11,,318,Finland,253435.0
11,,336,Lithuania,736279.0
11,,429,Mexico,978303.0
11,,501,Canada,981828.0
12,,124,Mongolia,21605004.0
12,,127,Pakistan,1598483.0
12,,129,Philippines,1166243.0
12,,137,Türkiye,172611.0
12,,220,Ghana,321675.0
12,,227,Madagascar,629463.0
12,,233,Mozambique,2939058.0
12,,235,Niger,191588450.0
12,,244,South Africa,768485.0
12,,250,Uganda,9446526.0
12,,252,Democratic Republic of Congo,270207.0
12,,301,Belgium,18821208.0
12,,305,France,3057089.0
12,,307,Italy,8807930.0
12,,309,Netherlands,706689.0
12,,312,Spain,4678456.0
12,,315,Austria,127286.0
12,,316,Bulgaria,214193.0
12,,321,Hungary,7199.0
12,,327,Poland,66248.0
12,,336,Lithuania,186930.0
12,,410,Brazil,4716783652.0
12,,429,Mexico,626346.0
12,,501,Canada,1667121786.0
13,,127,Pakistan,1177017.0
13,,129,Philippines,669163.0
13,,137,Türkiye,947196.0
13,,138,United Arab Emirates,4053105.0
13,,213,Congo,755096.0
13,,227,Madagascar,100922.0
13,,235,Niger,309734.0
13,,244,South Africa,195111.0
13,,301,Belgium,74683.0
13,,305,France,5900314.0
13,,307,Italy,13188464.0
13,,309,Netherlands,52979.0
13,,312,Spain,3307280.0
13,,318,Finland,24063.0
13,,410,Brazil,12203356.0
