Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,124,Mongolia,120000.0
1,,129,Philippines,282730.0
1,,244,South Africa,3793908.0
1,,254,Zimbabwe,5115300.0
1,,301,Belgium,2738582.0
1,,305,France,965487.0
1,,307,Italy,3878.0
1,,309,Netherlands,5195207.0
1,,312,Spain,4101.0
1,,315,Austria,6638.0
1,,327,Poland,3225314.0
1,,429,Mexico,343730.0
1,,501,Canada,592143.0
2,,124,Mongolia,9639837.0
2,,244,South Africa,857706.0
2,,301,Belgium,13456547.0
2,,305,France,142719303.0
2,,306,Ireland,51104130.0
2,,307,Italy,1727494.0
2,,309,Netherlands,168203992.0
2,,312,Spain,459434876.0
2,,318,Finland,4392272.0
2,,321,Hungary,25173010.0
2,,410,Brazil,1466854370.0
2,,415,Costa Rica,15524743.0
2,,429,Mexico,1790607.0
2,,444,Uruguay,422526016.0
2,,501,Canada,248467139.0
3,,123,Maldives,894654.0
3,,127,Pakistan,30290827.0
3,,129,Philippines,28442351.0
3,,137,Türkiye,880873.0
3,,220,Ghana,832491.0
3,,224,Kenya,2839019.0
3,,227,Madagascar,8579298.0
3,,233,Mozambique,16747457.0
3,,244,South Africa,34030470.0
3,,305,France,34495823.0
3,,306,Ireland,25972153.0
3,,309,Netherlands,13609417.0
3,,312,Spain,25675525.0
3,,326,Norway,296003337.0
3,,327,Poland,3431652.0
3,,357,Faroe Islands,70243446.0
3,,410,Brazil,9202490.0
3,,429,Mexico,29232129.0
3,,444,Uruguay,12515104.0
3,,501,Canada,374172320.0
3,,503,Greenland,142562785.0
3,,621,Marshall Islands,39084335.0
4,,301,Belgium,16356151.0
4,,305,France,172411195.0
4,,306,Ireland,17893377.0
4,,307,Italy,15887241.0
4,,309,Netherlands,78948505.0
4,,310,Greece,675260.0
4,,312,Spain,18266773.0
4,,315,Austria,22175488.0
4,,316,Bulgaria,239736.0
4,,318,Finland,21093775.0
4,,321,Hungary,4305.0
4,,326,Norway,1486.0
4,,327,Poland,36203761.0
4,,336,Lithuania,4759794.0
4,,340,Belarus,3460593.0
4,,350,Slovenia,629523.0
4,,410,Brazil,175752.0
4,,429,Mexico,313969.0
4,,444,Uruguay,1622266.0
4,,501,Canada,515914.0
5,,124,Mongolia,368500.0
5,,127,Pakistan,2025748.0
5,,129,Philippines,330063.0
5,,224,Kenya,81594.0
5,,227,Madagascar,81034.0
5,,250,Uganda,103655.0
5,,301,Belgium,373819.0
5,,305,France,5843342.0
5,,306,Ireland,5143233.0
5,,307,Italy,1964340.0
5,,309,Netherlands,23253506.0
5,,310,Greece,74677.0
5,,312,Spain,31295291.0
5,,318,Finland,199510.0
5,,321,Hungary,4620703.0
5,,327,Poland,8374121.0
5,,429,Mexico,388389.0
5,,501,Canada,17153499.0
6,,129,Philippines,120711.0
6,,220,Ghana,943.0
6,,224,Kenya,2892672.0
6,,244,South Africa,2080988.0
6,,250,Uganda,930379.0
6,,254,Zimbabwe,145063.0
6,,301,Belgium,250427.0
6,,305,France,52102.0
6,,306,Ireland,868.0
6,,307,Italy,1653825.0
6,,309,Netherlands,28850874.0
6,,312,Spain,2765044.0
6,,326,Norway,260869.0
6,,327,Poland,15307.0
6,,410,Brazil,5641.0
6,,415,Costa Rica,1330890.0
6,,444,Uruguay,1203624.0
7,,127,Pakistan,558800.0
7,,244,South Africa,789.0
7,,301,Belgium,515470.0
7,,305,France,58979.0
7,,307,Italy,80827.0
7,,309,Netherlands,8138.0
7,,312,Spain,412164.0
7,,315,Austria,22298.0
7,,321,Hungary,17588.0
7,,327,Poland,873384.0
7,,501,Canada,180725362.0
8,,108,Cyprus,588958.0
8,,124,Mongolia,17876303.0
8,,127,Pakistan,3011606.0
8,,129,Philippines,357156787.0
8,,137,Türkiye,18830072.0
8,,244,South Africa,59084410.0
8,,301,Belgium,3986071.0
8,,305,France,6994919.0
8,,307,Italy,4194749.0
8,,309,Netherlands,2274748.0
8,,310,Greece,7447219.0
8,,312,Spain,79742293.0
8,,327,Poland,920269.0
8,,408,Bolivia,190473.0
8,,415,Costa Rica,1855029.0
8,,429,Mexico,55734511.0
8,,501,Canada,9435147.0
9,,137,Türkiye,254489.0
9,,138,United Arab Emirates,177245.0
9,,224,Kenya,2799578.0
9,,233,Mozambique,1042095.0
9,,250,Uganda,1136267.0
9,,301,Belgium,178358.0
9,,305,France,172796.0
9,,307,Italy,13208337.0
9,,309,Netherlands,65041.0
9,,312,Spain,792479.0
9,,315,Austria,722385.0
9,,327,Poland,2029503.0
9,,410,Brazil,10531512.0
9,,415,Costa Rica,8924.0
9,,427,Jamaica,254012.0
9,,429,Mexico,26347.0
9,,501,Canada,189141.0
10,,127,Pakistan,143573693.0
10,,129,Philippines,6823.0
10,,305,France,5015767.0
10,,312,Spain,1833.0
10,,501,Canada,167856447.0
11,,109,Democratic People's Republic of Korea,215845.0
11,,129,Philippines,7224.0
11,,301,Belgium,4540060.0
11,,305,France,2781055.0
11,,307,Italy,234479.0
11,,309,Netherlands,8890579.0
11,,312,Spain,312071.0
11,,318,Finland,519357.0
11,,327,Poland,195963.0
11,,336,Lithuania,707202.0
11,,410,Brazil,1515176.0
11,,429,Mexico,411585.0
11,,501,Canada,570362.0
12,,124,Mongolia,15259340.0
12,,127,Pakistan,71462.0
12,,129,Philippines,386818.0
12,,137,Türkiye,863082.0
12,,220,Ghana,1747587.0
12,,227,Madagascar,41.0
12,,233,Mozambique,4824144.0
12,,235,Niger,195742306.0
12,,244,South Africa,1085012.0
12,,250,Uganda,39715920.0
12,,301,Belgium,29584996.0
12,,305,France,29562707.0
12,,307,Italy,25830406.0
12,,309,Netherlands,1391716.0
12,,312,Spain,5563059.0
12,,315,Austria,125113.0
12,,316,Bulgaria,130226.0
12,,321,Hungary,4762.0
12,,327,Poland,670202.0
12,,336,Lithuania,225350.0
12,,339,Azerbai jan,194749.0
12,,410,Brazil,6356966134.0
12,,415,Costa Rica,909741.0
12,,429,Mexico,1780836.0
12,,501,Canada,944125027.0
13,,127,Pakistan,3511876.0
13,,129,Philippines,2194870.0
13,,137,Türkiye,1175145.0
13,,224,Kenya,2000471.0
13,,227,Madagascar,1409292.0
13,,235,Niger,106879.0
13,,250,Uganda,69255.0
13,,301,Belgium,86181.0
13,,305,France,18901361.0
13,,307,Italy,18886792.0
13,,309,Netherlands,63589.0
13,,312,Spain,4169096.0
13,,318,Finland,31615.0
13,,326,Norway,154764.0
13,,410,Brazil,12484790.0
13,,429,Mexico,7490641.0
13,,501,Canada,6487.0
14,,109,Democratic People's Republic of Korea,73782.0
14,,127,Pakistan,1126643.0
14,,129,Philippines,2347314.0
14,,137,Türkiye,4404269.0
14,,227,Madagascar,646601.0
14,,307,Italy,52741.0
14,,309,Netherlands,175975.0
14,,312,Spain,746.0
14,,429,Mexico,2592753.0
14,,501,Canada,111131.0
15,,124,Mongolia,176960.0
15,,129,Philippines,29212731.0
15,,137,Türkiye,5219954.0
15,,203,Benin,311114.0
15,,244,South Africa,421809.0
15,,252,Democratic Republic of Congo,4406.0
15,,301,Belgium,4902507.0
15,,305,France,6856072.0
15,,306,Ireland,290668.0
15,,307,Italy,16145640.0
15,,309,Netherlands,5751937.0
15,,310,Greece,1370453.0
15,,312,Spain,46326718.0
15,,315,Austria,14807.0
15,,326,Norway,6680544.0
15,,410,Brazil,85286368.0
15,,429,Mexico,991995.0
15,,444,Uruguay,1878429.0
15,,501,Canada,259397678.0
16,,124,Mongolia,5792387.0
16,,127,Pakistan,132894.0
16,,129,Philippines,381308.0
16,,137,Türkiye,3437147.0
