Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,124,Mongolia,239003.0
1,,129,Philippines,156754.0
1,,138,United Arab Emirates,71217.0
1,,244,South Africa,381517.0
1,,301,Belgium,2435274.0
1,,305,France,1106698.0
1,,306,Ireland,19019.0
1,,309,Netherlands,1687789.0
1,,315,Austria,2748.0
1,,318,Finland,7744.0
1,,410,Brazil,33446.0
1,,429,Mexico,82853.0
1,,444,Uruguay,254345.0
1,,501,Canada,2237.0
2,,124,Mongolia,6276007.0
2,,244,South Africa,8951999.0
2,,301,Belgium,15787521.0
2,,305,France,121623640.0
2,,306,Ireland,45109752.0
2,,307,Italy,939097.0
2,,309,Netherlands,167089044.0
2,,312,Spain,355960798.0
2,,318,Finland,6742081.0
2,,321,Hungary,15305843.0
2,,410,Brazil,1356335211.0
2,,415,Costa Rica,12342221.0
2,,429,Mexico,5427327.0
2,,444,Uruguay,430450826.0
2,,501,Canada,285751705.0
3,,123,Maldives,127106.0
3,,127,Pakistan,42033730.0
3,,129,Philippines,30487002.0
3,,137,Türkiye,4220.0
3,,220,Ghana,1213848.0
3,,224,Kenya,1290315.0
3,,227,Madagascar,10813893.0
3,,233,Mozambique,15079207.0
3,,244,South Africa,33232161.0
3,,305,France,33605196.0
3,,306,Ireland,39454515.0
3,,309,Netherlands,18913488.0
3,,312,Spain,17597252.0
3,,326,Norway,366206484.0
3,,327,Poland,659874.0
3,,357,Faroe Islands,84519729.0
3,,410,Brazil,3798121.0
3,,429,Mexico,15565095.0
3,,444,Uruguay,2118517.0
3,,501,Canada,340409015.0
3,,503,Greenland,119900341.0
4,,301,Belgium,17964502.0
4,,305,France,166823874.0
4,,306,Ireland,26807325.0
4,,307,Italy,24545013.0
4,,309,Netherlands,74622599.0
4,,310,Greece,189188.0
4,,312,Spain,16680155.0
4,,315,Austria,17575100.0
4,,316,Bulgaria,93348.0
4,,318,Finland,21841077.0
4,,321,Hungary,10861.0
4,,327,Poland,32739609.0
4,,336,Lithuania,585462.0
4,,340,Belarus,2926775.0
4,,350,Slovenia,160755.0
4,,410,Brazil,3574424.0
4,,444,Uruguay,23889598.0
4,,501,Canada,890828.0
5,,124,Mongolia,860662.0
5,,127,Pakistan,3037299.0
5,,129,Philippines,611043.0
5,,224,Kenya,141575.0
5,,244,South Africa,835360.0
5,,301,Belgium,329436.0
5,,305,France,6698229.0
5,,306,Ireland,2445589.0
5,,307,Italy,932967.0
5,,309,Netherlands,32574071.0
5,,310,Greece,38089.0
5,,312,Spain,33717425.0
5,,315,Austria,995375.0
5,,321,Hungary,5320248.0
5,,326,Norway,922621.0
5,,327,Poland,11463653.0
5,,410,Brazil,248761.0
5,,429,Mexico,130555.0
5,,501,Canada,21759108.0
6,,129,Philippines,250.0
6,,224,Kenya,1784911.0
6,,244,South Africa,1294748.0
6,,250,Uganda,597402.0
6,,254,Zimbabwe,39224.0
6,,301,Belgium,686005.0
6,,305,France,2588156.0
6,,307,Italy,1781776.0
6,,309,Netherlands,28489515.0
6,,312,Spain,3237247.0
6,,316,Bulgaria,2804.0
6,,327,Poland,131566.0
6,,410,Brazil,245603.0
6,,415,Costa Rica,871459.0
6,,444,Uruguay,2146646.0
6,,501,Canada,2386.0
7,,127,Pakistan,1757337.0
7,,137,Türkiye,97744.0
7,,301,Belgium,259839.0
7,,305,France,1032.0
7,,307,Italy,199837.0
7,,309,Netherlands,228977.0
7,,312,Spain,116652.0
7,,327,Poland,270414.0
7,,429,Mexico,1038153.0
7,,501,Canada,219397594.0
8,,108,Cyprus,395933.0
8,,124,Mongolia,16575715.0
8,,129,Philippines,398938966.0
8,,137,Türkiye,2402304.0
8,,138,United Arab Emirates,525060.0
8,,224,Kenya,408341.0
8,,244,South Africa,55992151.0
8,,254,Zimbabwe,354016.0
8,,301,Belgium,3598672.0
8,,305,France,3713326.0
8,,307,Italy,2805152.0
8,,309,Netherlands,1916178.0
8,,310,Greece,2348986.0
8,,312,Spain,93120165.0
8,,316,Bulgaria,177227.0
8,,321,Hungary,1132501.0
8,,327,Poland,651269.0
8,,340,Belarus,1817.0
8,,415,Costa Rica,2285179.0
8,,429,Mexico,50866014.0
8,,501,Canada,4941608.0
9,,127,Pakistan,105045.0
9,,137,Türkiye,620669.0
9,,138,United Arab Emirates,342728.0
9,,219,Gambia,181879.0
9,,224,Kenya,2170726.0
9,,227,Madagascar,2159123.0
9,,233,Mozambique,1466360.0
9,,244,South Africa,129088.0
9,,250,Uganda,1146113.0
9,,301,Belgium,444981.0
9,,305,France,833772.0
9,,307,Italy,10114193.0
9,,309,Netherlands,177764.0
9,,312,Spain,307194.0
9,,326,Norway,12383.0
9,,327,Poland,1407770.0
9,,410,Brazil,11118411.0
9,,427,Jamaica,283421.0
9,,431,Nicaragua,3833969.0
9,,501,Canada,183265.0
10,,127,Pakistan,124825642.0
10,,305,France,186640655.0
10,,315,Austria,1062.0
10,,501,Canada,729550358.0
11,,109,Democratic People's Republic of Korea,108914.0
11,,137,Türkiye,14104.0
11,,244,South Africa,244075.0
11,,301,Belgium,8884861.0
11,,305,France,1223270.0
11,,307,Italy,115441.0
11,,309,Netherlands,7343206.0
11,,318,Finland,475532.0
11,,327,Poland,505583.0
11,,340,Belarus,101180.0
11,,410,Brazil,4988.0
11,,429,Mexico,1069074.0
11,,501,Canada,2051782.0
12,,124,Mongolia,1490578.0
12,,127,Pakistan,485310.0
12,,129,Philippines,4802169.0
12,,137,Türkiye,12552.0
12,,219,Gambia,3181215.0
12,,220,Ghana,8459393.0
12,,224,Kenya,96509.0
12,,227,Madagascar,55492.0
12,,233,Mozambique,2532884.0
12,,235,Niger,132840140.0
12,,244,South Africa,3351799.0
12,,250,Uganda,20846629.0
12,,305,France,2400077.0
12,,307,Italy,3462359.0
12,,309,Netherlands,2806208.0
12,,312,Spain,11019311.0
12,,327,Poland,1588.0
12,,336,Lithuania,429078.0
12,,350,Slovenia,737315.0
12,,410,Brazil,12038297928.0
12,,415,Costa Rica,1500634.0
12,,429,Mexico,2038428.0
12,,501,Canada,939098452.0
13,,127,Pakistan,4853319.0
13,,129,Philippines,1157586.0
13,,137,Türkiye,1630713.0
13,,138,United Arab Emirates,7987896.0
13,,224,Kenya,2604466.0
13,,227,Madagascar,478015.0
13,,235,Niger,380500.0
13,,244,South Africa,96145.0
13,,301,Belgium,121984.0
13,,305,France,16123348.0
13,,306,Ireland,27047.0
13,,307,Italy,9682546.0
13,,309,Netherlands,115487.0
13,,312,Spain,2741811.0
13,,315,Austria,52656.0
13,,318,Finland,46905.0
13,,326,Norway,154686.0
13,,410,Brazil,11079758.0
13,,429,Mexico,6672150.0
13,,501,Canada,2698.0
14,,127,Pakistan,1292936.0
14,,129,Philippines,3006422.0
14,,137,Türkiye,2821043.0
14,,220,Ghana,17679.0
14,,227,Madagascar,596699.0
14,,318,Finland,731213.0
14,,410,Brazil,1081948.0
