Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,229,Mali,36915.0
1,Live animals,247,Tanzania,347798.0
1,Live animals,302,Denmark,22081.0
1,Live animals,311,Portugal,1342258.0
1,Live animals,331,Switzerland,4015.0
1,Live animals,352,Czechia（Czech Republic）,134712.0
1,Live animals,353,Slovakia,190088.0
1,Live animals,412,Chile,12475943.0
2,Meat and edible meat offal,302,Denmark,185192338.0
2,Meat and edible meat offal,402,Argentina,127539118.0
2,Meat and edible meat offal,412,Chile,64012064.0
2,Meat and edible meat offal,609,New Zealand,620368438.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Bangladesh,29469308.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",106,Myanmar,14532247.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",107,Cambodia,1438630.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",134,Sri Lanka,336767.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",232,Morocco,1807212.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",247,Tanzania,2831298.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Denmark,3354264.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,Portugal,6678592.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",322,Iceland,14332290.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",334,Estonia,2925718.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",402,Argentina,24755282.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",412,Chile,40489800.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",413,Colombia,52945.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",419,Ecuador,23954904.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",434,Peru,16452158.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",602,Cook Islands,1382860.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",608,Vanuatu,1041853.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",609,New Zealand,188271231.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",613,Solomon Islands,629273.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",146,Kyrgyzstan,116822.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",215,Egypt,1231.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",302,Denmark,13171628.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",311,Portugal,336431.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",330,Sweden,8847328.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",331,Switzerland,3792387.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",402,Argentina,22224324.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",412,Chile,7327565.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",609,New Zealand,860251295.0
5,"roducts of animal origin,not elsewhere specified or included",103,Bangladesh,138385.0
5,"roducts of animal origin,not elsewhere specified or included",236,Nigeria,195375.0
5,"roducts of animal origin,not elsewhere specified or included",247,Tanzania,444048.0
5,"roducts of animal origin,not elsewhere specified or included",302,Denmark,20396282.0
5,"roducts of animal origin,not elsewhere specified or included",413,Colombia,136079.0
5,"roducts of animal origin,not elsewhere specified or included",419,Ecuador,119732.0
5,"roducts of animal origin,not elsewhere specified or included",603,Fiji,119972.0
5,"roducts of animal origin,not elsewhere specified or included",609,New Zealand,31736088.0
5,"roducts of animal origin,not elsewhere specified or included",623,French Polynesia,508864.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",115,Israel,38173.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",232,Morocco,1354.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",247,Tanzania,50666.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",253,Zambia,580.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",302,Denmark,1081.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",311,Portugal,31512.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",413,Colombia,487647.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",419,Ecuador,3089294.0
7,Edible vegetables and certain roots and tubers,106,Myanmar,14893395.0
7,Edible vegetables and certain roots and tubers,107,Cambodia,27092492.0
7,Edible vegetables and certain roots and tubers,311,Portugal,180898.0
7,Edible vegetables and certain roots and tubers,330,Sweden,140682.0
7,Edible vegetables and certain roots and tubers,609,New Zealand,3856960.0
8,Edible fruit and nuts; peel of citrus fruit or melons,106,Myanmar,5647100.0
8,Edible fruit and nuts; peel of citrus fruit or melons,107,Cambodia,70173.0
8,Edible fruit and nuts; peel of citrus fruit or melons,121,"Macao,China",36044.0
8,Edible fruit and nuts; peel of citrus fruit or melons,131,Saudi Arabia,157031.0
8,Edible fruit and nuts; peel of citrus fruit or melons,146,Kyrgyzstan,1657859.0
8,Edible fruit and nuts; peel of citrus fruit or melons,215,Egypt,33614832.0
8,Edible fruit and nuts; peel of citrus fruit or melons,232,Morocco,781069.0
8,Edible fruit and nuts; peel of citrus fruit or melons,247,Tanzania,1913486.0
8,Edible fruit and nuts; peel of citrus fruit or melons,248,Togo,444334.0
8,Edible fruit and nuts; peel of citrus fruit or melons,330,Sweden,11634726.0
8,Edible fruit and nuts; peel of citrus fruit or melons,402,Argentina,4968.0
