Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,,146,Kyrgyzstan,1079226.0
1,,215,Egypt,103305.0
1,,246,Sudan,192836.0
1,,331,Switzerland,119892.0
1,,352,Czechia（Czech Republic）,173552.0
1,,353,Slovakia,211914.0
1,,434,Peru,265149.0
1,,609,New Zealand,41003963.0
2,,302,Denmark,235485732.0
2,,328,Romania,22766969.0
2,,402,Argentina,238699357.0
2,,412,Chile,125461551.0
2,,609,New Zealand,764692032.0
3,,103,Bangladesh,51924016.0
3,,105,Brunei,1218014.0
3,,106,Myanmar,9356596.0
3,,107,Cambodia,500131.0
3,,134,Sri Lanka,322103.0
3,,215,Egypt,3754340.0
3,,232,Morocco,7127171.0
3,,247,Tanzania,6149835.0
3,,302,Denmark,15651615.0
3,,311,Portugal,16713903.0
3,,322,Iceland,34527958.0
3,,330,Sweden,114291.0
3,,334,Estonia,3735914.0
3,,402,Argentina,99721176.0
3,,412,Chile,140755536.0
3,,413,Colombia,133339.0
3,,416,Cuba,3669143.0
3,,419,Ecuador,70065234.0
3,,434,Peru,20943341.0
3,,602,Cook Islands,1150869.0
3,,603,Fiji,3258700.0
3,,609,New Zealand,265775550.0
4,,106,Myanmar,238.0
4,,146,Kyrgyzstan,260390.0
4,,215,Egypt,4134.0
4,,302,Denmark,41102495.0
4,,308,Luxembourg,731864.0
4,,330,Sweden,13575685.0
4,,331,Switzerland,4983957.0
4,,343,Moldova,6180.0
4,,347,Ukraine,6829598.0
4,,352,Czechia（Czech Republic）,904109.0
4,,402,Argentina,8314720.0
4,,412,Chile,6582992.0
4,,609,New Zealand,1362406238.0
5,,103,Bangladesh,117664.0
5,,106,Myanmar,845940.0
5,,130,Qatar,1099.0
5,,236,Nigeria,290986.0
5,,247,Tanzania,228337.0
5,,302,Denmark,13936108.0
5,,347,Ukraine,2061730.0
5,,352,Czechia（Czech Republic）,977133.0
5,,402,Argentina,161569.0
5,,412,Chile,1130570.0
5,,419,Ecuador,115950.0
5,,426,Honduras,132230.0
5,,609,New Zealand,56384953.0
5,,623,French Polynesia,435859.0
6,,115,Israel,180928.0
6,,134,Sri Lanka,34781.0
6,,228,Malawi,776.0
6,,247,Tanzania,324222.0
6,,302,Denmark,21258.0
6,,311,Portugal,187277.0
6,,412,Chile,206428.0
6,,413,Colombia,2286359.0
6,,419,Ecuador,10790104.0
6,,423,Guatemala,36234.0
6,,609,New Zealand,9075.0
7,,106,Myanmar,17233540.0
7,,232,Morocco,65075.0
7,,330,Sweden,234585.0
7,,609,New Zealand,7561228.0
8,,106,Myanmar,7213500.0
8,,114,Iraq,366181.0
8,,115,Israel,9872736.0
8,,131,Saudi Arabia,346901.0
8,,146,Kyrgyzstan,606990.0
8,,215,Egypt,206629418.0
8,,232,Morocco,2039058.0
8,,236,Nigeria,3392591.0
8,,248,Togo,2369128.0
8,,311,Portugal,3483.0
8,,330,Sweden,13884173.0
8,,343,Moldova,585395.0
8,,402,Argentina,6278379.0
8,,412,Chile,622963382.0
8,,419,Ecuador,58260067.0
8,,434,Peru,26967271.0
8,,609,New Zealand,432600299.0
9,,121,"Macao,China",45856.0
9,,134,Sri Lanka,22411371.0
9,,215,Egypt,1129.0
9,,228,Malawi,332642.0
9,,232,Morocco,89032.0
9,,238,Rwanda,28134.0
9,,247,Tanzania,3147997.0
9,,311,Portugal,236153.0
9,,330,Sweden,184032.0
9,,331,Switzerland,3169301.0
9,,402,Argentina,411249.0
9,,412,Chile,588.0
9,,413,Colombia,4031308.0
9,,423,Guatemala,3155282.0
9,,426,Honduras,459579.0
9,,432,Panama,35843.0
9,,609,New Zealand,27313.0
9,,611,Papua New Guinea,957727.0
10,,106,Myanmar,14886905.0
10,,107,Cambodia,41527482.0
10,,302,Denmark,6637853.0
10,,347,Ukraine,30834733.0
10,,402,Argentina,414618.0
10,,412,Chile,19707.0
11,,107,Cambodia,11432813.0
11,,302,Denmark,1213727.0
11,,347,Ukraine,1518779.0
11,,412,Chile,1310811.0
11,,609,New Zealand,198013.0
12,,103,Bangladesh,917581.0
12,,106,Myanmar,53555289.0
12,,115,Israel,3739957.0
12,,215,Egypt,634553.0
12,,229,Mali,34991280.0
12,,232,Morocco,2843158.0
12,,236,Nigeria,112938.0
12,,246,Sudan,110011164.0
12,,247,Tanzania,19304010.0
12,,248,Togo,33886597.0
12,,302,Denmark,21179304.0
12,,311,Portugal,1060.0
12,,330,Sweden,141430.0
12,,347,Ukraine,7023247.0
12,,352,Czechia（Czech Republic）,14955480.0
12,,402,Argentina,193726096.0
12,,412,Chile,81095843.0
12,,423,Guatemala,334565.0
12,,434,Peru,29906268.0
12,,609,New Zealand,3121181.0
13,,115,Israel,1565049.0
13,,232,Morocco,263426.0
13,,236,Nigeria,180334.0
13,,246,Sudan,256594.0
13,,302,Denmark,3892424.0
13,,311,Portugal,12482.0
13,,325,Monaco,21755.0
13,,331,Switzerland,909827.0
13,,352,Czechia（Czech Republic）,6012626.0
13,,412,Chile,2453371.0
13,,434,Peru,149517.0
14,,103,Bangladesh,49394.0
14,,106,Myanmar,612488.0
14,,134,Sri Lanka,1090485.0
14,,215,Egypt,101966.0
14,,236,Nigeria,72912.0
14,,247,Tanzania,89557.0
14,,302,Denmark,226348.0
14,,311,Portugal,49745.0
14,,412,Chile,653654.0
14,,419,Ecuador,165364.0
14,,434,Peru,210112.0
15,,103,Bangladesh,1113652.0
