Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,215,Egypt,193294.0
1,Live animals,302,Denmark,20874924.0
1,Live animals,352,Czechia（Czech Republic）,530730.0
1,Live animals,353,Slovakia,880092.0
1,Live animals,402,Argentina,3785485.0
1,Live animals,434,Peru,279586.0
1,Live animals,609,New Zealand,71143177.0
2,Meat and edible meat offal,302,Denmark,353039492.0
2,Meat and edible meat offal,311,Portugal,1201687.0
2,Meat and edible meat offal,402,Argentina,1231970526.0
2,Meat and edible meat offal,412,Chile,266944903.0
2,Meat and edible meat offal,432,Panama,5406911.0
2,Meat and edible meat offal,609,New Zealand,1211075296.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Bangladesh,55960856.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",105,Brunei,1665891.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",106,Myanmar,15073892.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",131,Saudi Arabia,71782939.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",134,Sri Lanka,4498133.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",215,Egypt,632935.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",232,Morocco,4277043.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",247,Tanzania,4027804.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Denmark,6828180.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,Portugal,13204685.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",322,Iceland,53672298.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",334,Estonia,20716098.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",402,Argentina,78758537.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",412,Chile,286720247.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",413,Colombia,474127.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",419,Ecuador,1435540443.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",432,Panama,662928.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",434,Peru,63764437.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",602,Cook Islands,2672815.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",608,Vanuatu,4828229.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",609,New Zealand,234955342.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",611,Papua New Guinea,8477101.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",620,The Federated States of Micronesia,4218290.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",146,Kyrgyzstan,492797.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",215,Egypt,10360.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",302,Denmark,56124417.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",308,Luxembourg,29424.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",311,Portugal,386788.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",328,Romania,144057.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",330,Sweden,6339395.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",331,Switzerland,20866845.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",334,Estonia,2940005.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",347,Ukraine,46519648.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",352,Czechia（Czech Republic）,1475153.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",402,Argentina,11835040.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",412,Chile,4712567.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",609,New Zealand,1763274495.0
5,"roducts of animal origin,not elsewhere specified or included",103,Bangladesh,1866781.0
5,"roducts of animal origin,not elsewhere specified or included",115,Israel,2220.0
5,"roducts of animal origin,not elsewhere specified or included",236,Nigeria,654984.0
5,"roducts of animal origin,not elsewhere specified or included",247,Tanzania,136730.0
5,"roducts of animal origin,not elsewhere specified or included",302,Denmark,20779314.0
5,"roducts of animal origin,not elsewhere specified or included",322,Iceland,45079.0
5,"roducts of animal origin,not elsewhere specified or included",331,Switzerland,625.0
5,"roducts of animal origin,not elsewhere specified or included",347,Ukraine,6691648.0
5,"roducts of animal origin,not elsewhere specified or included",412,Chile,945284.0
5,"roducts of animal origin,not elsewhere specified or included",426,Honduras,246173.0
5,"roducts of animal origin,not elsewhere specified or included",433,Paraguay,276134.0
