商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,331,瑞士,962
1,第1章 活动物,609,新西兰,116557066
2,第2章 肉及食用...,302,丹麦,261872847
2,第2章 肉及食用...,311,葡萄牙,9877594
2,第2章 肉及食用...,331,瑞士,9633056
2,第2章 肉及食用...,347,乌克兰,43498903
2,第2章 肉及食用...,402,阿根廷,1326465325
2,第2章 肉及食用...,412,智利,215864223
2,第2章 肉及食用...,432,巴拿马,6031032
2,第2章 肉及食用...,609,新西兰,1283324351
3,第3章 鱼、甲壳...,103,孟加拉国,48554121
3,第3章 鱼、甲壳...,106,缅甸,108108996
3,第3章 鱼、甲壳...,131,沙特阿拉伯,37636318
3,第3章 鱼、甲壳...,134,斯里兰卡,7252885
3,第3章 鱼、甲壳...,215,埃及,69503
3,第3章 鱼、甲壳...,232,摩洛哥,2647618
3,第3章 鱼、甲壳...,236,尼日利亚,96878
3,第3章 鱼、甲壳...,247,坦桑尼亚,28798627
3,第3章 鱼、甲壳...,302,丹麦,19048786
3,第3章 鱼、甲壳...,311,葡萄牙,35168512
3,第3章 鱼、甲壳...,322,冰岛,106828862
3,第3章 鱼、甲壳...,334,爱沙尼亚,13736216
3,第3章 鱼、甲壳...,402,阿根廷,341829090
3,第3章 鱼、甲壳...,412,智利,352956895
3,第3章 鱼、甲壳...,413,哥伦比亚,147784
3,第3章 鱼、甲壳...,416,古巴,35676446
3,第3章 鱼、甲壳...,419,厄瓜多尔,2702079042
3,第3章 鱼、甲壳...,434,秘鲁,594441261
3,第3章 鱼、甲壳...,445,委内瑞拉,24451806
3,第3章 鱼、甲壳...,602,库克群岛,6493996
3,第3章 鱼、甲壳...,609,新西兰,328645517
3,第3章 鱼、甲壳...,611,巴布亚新几内亚,9116983
3,第3章 鱼、甲壳...,620,密克罗尼西亚联邦,88576977
4,第4章 乳品；蛋...,146,吉尔吉斯斯坦,181665
4,第4章 乳品；蛋...,302,丹麦,56114054
4,第4章 乳品；蛋...,311,葡萄牙,914
4,第4章 乳品；蛋...,328,罗马尼亚,8034
4,第4章 乳品；蛋...,330,瑞典,27719987
4,第4章 乳品；蛋...,331,瑞士,26718675
4,第4章 乳品；蛋...,334,爱沙尼亚,3990846
4,第4章 乳品；蛋...,335,拉脱维亚,22623
4,第4章 乳品；蛋...,347,乌克兰,5999492
4,第4章 乳品；蛋...,352,捷克,1416426
4,第4章 乳品；蛋...,402,阿根廷,18423211
4,第4章 乳品；蛋...,412,智利,2031790
4,第4章 乳品；蛋...,609,新西兰,2500298148
5,第5章 其他动物...,103,孟加拉国,769271
5,第5章 其他动物...,106,缅甸,5778995
5,第5章 其他动物...,215,埃及,180340
5,第5章 其他动物...,232,摩洛哥,205302
5,第5章 其他动物...,236,尼日利亚,983870
5,第5章 其他动物...,247,坦桑尼亚,143514
5,第5章 其他动物...,302,丹麦,49885987
5,第5章 其他动物...,347,乌克兰,774162
5,第5章 其他动物...,426,洪都拉斯,375018
5,第5章 其他动物...,609,新西兰,106427323
5,第5章 其他动物...,613,所罗门群岛,88656
5,第5章 其他动物...,623,法属波利尼西亚,399903
6,第6章 活树及其...,115,以色列,96920
6,第6章 活树及其...,134,斯里兰卡,5082
6,第6章 活树及其...,215,埃及,48056
6,第6章 活树及其...,247,坦桑尼亚,409626
6,第6章 活树及其...,311,葡萄牙,358564
6,第6章 活树及其...,413,哥伦比亚,3548556
6,第6章 活树及其...,419,厄瓜多尔,5672131
6,第6章 活树及其...,423,危地马拉,43038
6,第6章 活树及其...,609,新西兰,815171
7,第7章 食用蔬菜...,106,缅甸,239284121
7,第7章 食用蔬菜...,215,埃及,76551
7,第7章 食用蔬菜...,330,瑞典,4022522
7,第7章 食用蔬菜...,353,斯洛伐克,1493
7,第7章 食用蔬菜...,412,智利,66284
7,第7章 食用蔬菜...,609,新西兰,11618882
8,第8章 食用水果...,101,阿富汗,26065783
8,第8章 食用水果...,105,文莱,6200
8,第8章 食用水果...,106,缅甸,10680106
8,第8章 食用水果...,107,柬埔寨,161856317
8,第8章 食用水果...,115,以色列,1594597
8,第8章 食用水果...,131,沙特阿拉伯,918522
8,第8章 食用水果...,134,斯里兰卡,208367
8,第8章 食用水果...,215,埃及,133373908
8,第8章 食用水果...,232,摩洛哥,3590662
8,第8章 食用水果...,247,坦桑尼亚,2003066
8,第8章 食用水果...,330,瑞典,15464380
8,第8章 食用水果...,347,乌克兰,5506828
8,第8章 食用水果...,402,阿根廷,3374173
8,第8章 食用水果...,412,智利,468436437
8,第8章 食用水果...,419,厄瓜多尔,112775392
8,第8章 食用水果...,423,危地马拉,8571950
8,第8章 食用水果...,434,秘鲁,155940102
8,第8章 食用水果...,609,新西兰,681981476
9,第9章 咖啡、茶...,106,缅甸,11327024
9,第9章 咖啡、茶...,121,中国澳门,52111
9,第9章 咖啡、茶...,134,斯里兰卡,35484838
9,第9章 咖啡、茶...,215,埃及,400
9,第9章 咖啡、茶...,228,马拉维,3784593
9,第9章 咖啡、茶...,232,摩洛哥,2064051
9,第9章 咖啡、茶...,236,尼日利亚,3927962
9,第9章 咖啡、茶...,238,卢旺达,5943279
9,第9章 咖啡、茶...,247,坦桑尼亚,709431
9,第9章 咖啡、茶...,302,丹麦,102946
9,第9章 咖啡、茶...,311,葡萄牙,1357904
9,第9章 咖啡、茶...,330,瑞典,334390
9,第9章 咖啡、茶...,331,瑞士,6479564
9,第9章 咖啡、茶...,352,捷克,292
9,第9章 咖啡、茶...,402,阿根廷,355141
9,第9章 咖啡、茶...,413,哥伦比亚,35211269
9,第9章 咖啡、茶...,419,厄瓜多尔,392164
9,第9章 咖啡、茶...,423,危地马拉,12931054
9,第9章 咖啡、茶...,426,洪都拉斯,45393
9,第9章 咖啡、茶...,432,巴拿马,3873928
9,第9章 咖啡、茶...,434,秘鲁,176685
9,第9章 咖啡、茶...,609,新西兰,43471
9,第9章 咖啡、茶...,611,巴布亚新几内亚,2314065
10,第10章 谷物,106,缅甸,68366018
10,第10章 谷物,107,柬埔寨,76281741
10,第10章 谷物,302,丹麦,37236942
10,第10章 谷物,347,乌克兰,2177628274
10,第10章 谷物,402,阿根廷,865819345
10,第10章 谷物,412,智利,35055
10,第10章 谷物,434,秘鲁,615471
11,第11章 制粉工业...,107,柬埔寨,10064456
11,第11章 制粉工业...,302,丹麦,1179900
11,第11章 制粉工业...,334,爱沙尼亚,11745
11,第11章 制粉工业...,347,乌克兰,2511431
11,第11章 制粉工业...,412,智利,125639
11,第11章 制粉工业...,419,厄瓜多尔,5043
11,第11章 制粉工业...,609,新西兰,198383
12,第12章 含油子仁...,103,孟加拉国,223357
12,第12章 含油子仁...,106,缅甸,54633201
12,第12章 含油子仁...,115,以色列,2458763
12,第12章 含油子仁...,134,斯里兰卡,173977
12,第12章 含油子仁...,201,阿尔及利亚,77210
12,第12章 含油子仁...,215,埃及,1188648
12,第12章 含油子仁...,229,马里,23353812
12,第12章 含油子仁...,232,摩洛哥,925301
12,第12章 含油子仁...,236,尼日利亚,22171125
12,第12章 含油子仁...,246,苏丹,475170974
12,第12章 含油子仁...,247,坦桑尼亚,20234845
12,第12章 含油子仁...,248,多哥,50398678
12,第12章 含油子仁...,251,布基纳法索,11990163
12,第12章 含油子仁...,253,赞比亚,949827
12,第12章 含油子仁...,302,丹麦,13923249
12,第12章 含油子仁...,330,瑞典,396000
12,第12章 含油子仁...,335,拉脱维亚,611
12,第12章 含油子仁...,347,乌克兰,11569114
12,第12章 含油子仁...,352,捷克,1232033
12,第12章 含油子仁...,402,阿根廷,25209681
12,第12章 含油子仁...,412,智利,94730798
12,第12章 含油子仁...,419,厄瓜多尔,138
12,第12章 含油子仁...,423,危地马拉,2013819
12,第12章 含油子仁...,434,秘鲁,77236809
12,第12章 含油子仁...,608,瓦努阿图,2592649
12,第12章 含油子仁...,609,新西兰,876320
12,第12章 含油子仁...,613,所罗门群岛,1172029
13,第13章 虫胶；树...,106,缅甸,3769988
13,第13章 虫胶；树...,115,以色列,158082
13,第13章 虫胶；树...,246,苏丹,3604566
13,第13章 虫胶；树...,302,丹麦,527823
13,第13章 虫胶；树...,331,瑞士,1311673
13,第13章 虫胶；树...,352,捷克,1088794
13,第13章 虫胶；树...,402,阿根廷,5560839
13,第13章 虫胶；树...,412,智利,3824449
13,第13章 虫胶；树...,434,秘鲁,4296555
13,第13章 虫胶；树...,609,新西兰,205049
14,第14章 编结用植...,101,阿富汗,220989
14,第14章 编结用植...,106,缅甸,828740
14,第14章 编结用植...,134,斯里兰卡,10585151
14,第14章 编结用植...,232,摩洛哥,22801
14,第14章 编结用植...,236,尼日利亚,542316
14,第14章 编结用植...,247,坦桑尼亚,959777
14,第14章 编结用植...,412,智利,1176599
