Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,110,"Hong Kong,China",112.0
1,Live animals,112,Indonesia,98268.0
1,Live animals,116,Japan,565.0
1,Live animals,133,Republic of Korea,638.0
1,Live animals,136,Thailand,101256.0
1,Live animals,143,"Taiwan,China",69139.0
1,Live animals,303,United Kingdom,56410.0
1,Live animals,304,Germany,295942.0
1,Live animals,344,Russia,43570.0
1,Live animals,502,United States,1107594.0
1,Live animals,601,Australia,55818082.0
2,Meat and edible meat offal,142,China,48600.0
2,Meat and edible meat offal,303,United Kingdom,5542755.0
2,Meat and edible meat offal,304,Germany,48517961.0
2,Meat and edible meat offal,502,United States,81530309.0
2,Meat and edible meat offal,601,Australia,86531826.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110,"Hong Kong,China",125375.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,India,11219271.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112,Indonesia,21775725.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",116,Japan,14915717.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122,Malaysia,2906537.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",126,Oman,121865.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",132,Singapore,189135.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",133,Republic of Korea,9168969.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",136,Thailand,16648676.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",139,Yemen,316547.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",141,Viet Nam,8263584.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",142,China,3274547.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",143,"Taiwan,China",12525070.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",145,Kazakhstan,353236.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",221,Guinea,19643.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",230,Mauritania,371876.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",234,Namibia,51664.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",240,Senegal,198709.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",303,United Kingdom,8544957.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",304,Germany,1598978.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",344,Russia,98391256.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",502,United States,59715542.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",601,Australia,8472624.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",112,Indonesia,392338.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",122,Malaysia,1319533.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",132,Singapore,270208.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",133,Republic of Korea,1310486.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",136,Thailand,278514.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",143,"Taiwan,China",209689.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",145,Kazakhstan,30000.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",303,United Kingdom,2760697.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",304,Germany,13665692.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",344,Russia,200130.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",502,United States,18042935.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",601,Australia,19641820.0
5,"roducts of animal origin,not elsewhere specified or included",111,India,96126.0
5,"roducts of animal origin,not elsewhere specified or included",112,Indonesia,804597.0
5,"roducts of animal origin,not elsewhere specified or included",116,Japan,262324.0
5,"roducts of animal origin,not elsewhere specified or included",132,Singapore,1488.0
5,"roducts of animal origin,not elsewhere specified or included",133,Republic of Korea,156144.0
5,"roducts of animal origin,not elsewhere specified or included",136,Thailand,91694.0
5,"roducts of animal origin,not elsewhere specified or included",141,Viet Nam,33379.0
5,"roducts of animal origin,not elsewhere specified or included",142,China,190116.0
5,"roducts of animal origin,not elsewhere specified or included",143,"Taiwan,China",1973889.0
5,"roducts of animal origin,not elsewhere specified or included",145,Kazakhstan,231776.0
5,"roducts of animal origin,not elsewhere specified or included",149,Uzbekistan,21273.0
5,"roducts of animal origin,not elsewhere specified or included",303,United Kingdom,47283.0
5,"roducts of animal origin,not elsewhere specified or included",304,Germany,2002219.0
5,"roducts of animal origin,not elsewhere specified or included",344,Russia,1383868.0
5,"roducts of animal origin,not elsewhere specified or included",502,United States,9157487.0
5,"roducts of animal origin,not elsewhere specified or included",601,Australia,2730876.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",111,India,28517.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",112,Indonesia,9081.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",113,Iran,6844.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",116,Japan,3333233.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",122,Malaysia,17966.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",125,Nepal,70195.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",133,Republic of Korea,565625.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",136,Thailand,1305250.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",141,Viet Nam,173531.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",142,China,73579.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",143,"Taiwan,China",276037.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",217,Ethiopia,19568.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",304,Germany,3074.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",502,United States,89176.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",601,Australia,38303.0
7,Edible vegetables and certain roots and tubers,110,"Hong Kong,China",753.0
7,Edible vegetables and certain roots and tubers,111,India,12398480.0
7,Edible vegetables and certain roots and tubers,112,Indonesia,2441119.0
7,Edible vegetables and certain roots and tubers,122,Malaysia,3014.0
7,Edible vegetables and certain roots and tubers,136,Thailand,152439833.0
7,Edible vegetables and certain roots and tubers,141,Viet Nam,10580591.0
7,Edible vegetables and certain roots and tubers,142,China,39160.0
7,Edible vegetables and certain roots and tubers,143,"Taiwan,China",559451.0
7,Edible vegetables and certain roots and tubers,303,United Kingdom,233273.0
7,Edible vegetables and certain roots and tubers,304,Germany,12742.0
7,Edible vegetables and certain roots and tubers,358,Serbia,7762.0
7,Edible vegetables and certain roots and tubers,502,United States,5355116.0
7,Edible vegetables and certain roots and tubers,601,Australia,984.0
8,Edible fruit and nuts; peel of citrus fruit or melons,110,"Hong Kong,China",2269.0
8,Edible fruit and nuts; peel of citrus fruit or melons,111,India,590844.0
8,Edible fruit and nuts; peel of citrus fruit or melons,112,Indonesia,9043082.0
8,Edible fruit and nuts; peel of citrus fruit or melons,113,Iran,5668562.0
8,Edible fruit and nuts; peel of citrus fruit or melons,116,Japan,1083424.0
8,Edible fruit and nuts; peel of citrus fruit or melons,122,Malaysia,2396027.0
8,Edible fruit and nuts; peel of citrus fruit or melons,133,Republic of Korea,37244.0
8,Edible fruit and nuts; peel of citrus fruit or melons,136,Thailand,51781910.0
8,Edible fruit and nuts; peel of citrus fruit or melons,141,Viet Nam,100584714.0
8,Edible fruit and nuts; peel of citrus fruit or melons,143,"Taiwan,China",9463853.0
8,Edible fruit and nuts; peel of citrus fruit or melons,145,Kazakhstan,6774573.0
8,Edible fruit and nuts; peel of citrus fruit or melons,149,Uzbekistan,2136297.0
8,Edible fruit and nuts; peel of citrus fruit or melons,249,Tunisia,100476.0
8,Edible fruit and nuts; peel of citrus fruit or melons,304,Germany,86883.0
8,Edible fruit and nuts; peel of citrus fruit or melons,344,Russia,27927443.0
8,Edible fruit and nuts; peel of citrus fruit or melons,358,Serbia,65251.0
8,Edible fruit and nuts; peel of citrus fruit or melons,502,United States,51655681.0
8,Edible fruit and nuts; peel of citrus fruit or melons,601,Australia,8935352.0
9,"Coffee, tea, maté and spices",110,"Hong Kong,China",51114.0
9,"Coffee, tea, maté and spices",111,India,1766543.0
9,"Coffee, tea, maté and spices",112,Indonesia,4586347.0
9,"Coffee, tea, maté and spices",113,Iran,16712.0
9,"Coffee, tea, maté and spices",116,Japan,235124.0
9,"Coffee, tea, maté and spices",122,Malaysia,2228366.0
9,"Coffee, tea, maté and spices",125,Nepal,23100.0
9,"Coffee, tea, maté and spices",132,Singapore,538207.0
9,"Coffee, tea, maté and spices",133,Republic of Korea,164031.0
9,"Coffee, tea, maté and spices",135,Syria,3295.0
9,"Coffee, tea, maté and spices",136,Thailand,97773.0
9,"Coffee, tea, maté and spices",141,Viet Nam,6245701.0
9,"Coffee, tea, maté and spices",142,China,118981.0
9,"Coffee, tea, maté and spices",143,"Taiwan,China",1681040.0
9,"Coffee, tea, maté and spices",206,Cameroon,5994.0
9,"Coffee, tea, maté and spices",217,Ethiopia,288276.0
9,"Coffee, tea, maté and spices",303,United Kingdom,488941.0
9,"Coffee, tea, maté and spices",304,Germany,217609.0
9,"Coffee, tea, maté and spices",440,El Salvador,19359.0
9,"Coffee, tea, maté and spices",502,United States,648819.0
9,"Coffee, tea, maté and spices",601,Australia,65147.0
10,Cereals,116,Japan,328900.0
10,Cereals,119,Lao,447075.0
10,Cereals,136,Thailand,29531102.0
10,Cereals,141,Viet Nam,13004151.0
10,Cereals,143,"Taiwan,China",89949.0
10,Cereals,344,Russia,1240874.0
10,Cereals,502,United States,205134337.0
10,Cereals,601,Australia,180930911.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,111,India,30056.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,116,Japan,16592.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,119,Lao,581474.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,122,Malaysia,124616.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,133,Republic of Korea,239051.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,136,Thailand,59550325.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,141,Viet Nam,17879467.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,143,"Taiwan,China",59882.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,303,United Kingdom,9863.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,304,Germany,1693412.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,344,Russia,947053.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,502,United States,1493813.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,601,Australia,143291.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,701,Countries（Territories）Unknown,13840.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",111,India,26960322.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",112,Indonesia,13429777.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",116,Japan,1639242.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",119,Lao,3024962.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",122,Malaysia,59062.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",125,Nepal,12494.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",133,Republic of Korea,1306426.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",136,Thailand,880811.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",141,Viet Nam,171230.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",142,China,60535.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",143,"Taiwan,China",208485.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",145,Kazakhstan,2577080.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",149,Uzbekistan,744973.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",206,Cameroon,26000.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",217,Ethiopia,17302638.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",240,Senegal,215.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",243,Somalia,3367037.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",304,Germany,5334805.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",344,Russia,15708620.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",502,United States,3244606364.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",601,Australia,47285499.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",618,Kiribati,34357.0
13,"Lac; gums, resins and other vegetable saps and extracts",110,"Hong Kong,China",13156.0
13,"Lac; gums, resins and other vegetable saps and extracts",111,India,1755513.0
13,"Lac; gums, resins and other vegetable saps and extracts",112,Indonesia,592097.0
13,"Lac; gums, resins and other vegetable saps and extracts",116,Japan,501248.0
13,"Lac; gums, resins and other vegetable saps and extracts",122,Malaysia,1247.0
13,"Lac; gums, resins and other vegetable saps and extracts",125,Nepal,4903.0
13,"Lac; gums, resins and other vegetable saps and extracts",132,Singapore,32515.0
13,"Lac; gums, resins and other vegetable saps and extracts",133,Republic of Korea,1516492.0
13,"Lac; gums, resins and other vegetable saps and extracts",136,Thailand,713023.0
13,"Lac; gums, resins and other vegetable saps and extracts",141,Viet Nam,1600271.0
13,"Lac; gums, resins and other vegetable saps and extracts",142,China,4822.0
13,"Lac; gums, resins and other vegetable saps and extracts",143,"Taiwan,China",23433.0
