商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章 活动物,112,印度尼西亚,36042
1,第1章 活动物,116,日本,78730
1,第1章 活动物,136,泰国,42892
1,第1章 活动物,141,越南,52500
1,第1章 活动物,143,中国台湾,80960
1,第1章 活动物,303,英国,3467
1,第1章 活动物,304,德国,90439
1,第1章 活动物,344,俄罗斯,1193649
1,第1章 活动物,502,美国,611603
1,第1章 活动物,601,澳大利亚,4352991
2,第2章 肉及食用...,303,英国,6240804
2,第2章 肉及食用...,304,德国,48584496
2,第2章 肉及食用...,502,美国,36601473
2,第2章 肉及食用...,601,澳大利亚,105563889
3,第3章 鱼、甲壳...,110,中国香港,11936
3,第3章 鱼、甲壳...,111,印度,9998458
3,第3章 鱼、甲壳...,112,印度尼西亚,16633251
3,第3章 鱼、甲壳...,113,伊朗,599513
3,第3章 鱼、甲壳...,116,日本,14289572
3,第3章 鱼、甲壳...,122,马来西亚,3062284
3,第3章 鱼、甲壳...,126,阿曼,101554
3,第3章 鱼、甲壳...,132,新加坡,134180
3,第3章 鱼、甲壳...,133,韩国,13978716
3,第3章 鱼、甲壳...,136,泰国,8391206
3,第3章 鱼、甲壳...,141,越南,7519028
3,第3章 鱼、甲壳...,142,中国,1020798
3,第3章 鱼、甲壳...,143,中国台湾,36317041
3,第3章 鱼、甲壳...,145,哈萨克斯坦,49012
3,第3章 鱼、甲壳...,230,毛里塔尼亚,647007
3,第3章 鱼、甲壳...,231,毛里求斯,242753
3,第3章 鱼、甲壳...,234,纳米比亚,171725
3,第3章 鱼、甲壳...,240,塞内加尔,2115145
3,第3章 鱼、甲壳...,303,英国,8314117
3,第3章 鱼、甲壳...,304,德国,1371013
3,第3章 鱼、甲壳...,344,俄罗斯,99712081
3,第3章 鱼、甲壳...,502,美国,42564107
3,第3章 鱼、甲壳...,601,澳大利亚,3403990
3,第3章 鱼、甲壳...,618,基里巴斯,1282549
4,第4章 乳品;蛋...,110,中国香港,216
4,第4章 乳品;蛋...,112,印度尼西亚,2441791
4,第4章 乳品;蛋...,116,日本,139
4,第4章 乳品;蛋...,122,马来西亚,1798597
4,第4章 乳品;蛋...,125,尼泊尔,2065
4,第4章 乳品;蛋...,132,新加坡,251139
4,第4章 乳品;蛋...,133,韩国,1762052
4,第4章 乳品;蛋...,136,泰国,1043856
4,第4章 乳品;蛋...,143,中国台湾,805934
4,第4章 乳品;蛋...,303,英国,2360423
4,第4章 乳品;蛋...,304,德国,23263637
4,第4章 乳品;蛋...,344,俄罗斯,118545
4,第4章 乳品;蛋...,502,美国,31318806
4,第4章 乳品;蛋...,601,澳大利亚,33932087
5,第5章 其他动物...,110,中国香港,159072
5,第5章 其他动物...,111,印度,4226
5,第5章 其他动物...,112,印度尼西亚,622814
5,第5章 其他动物...,113,伊朗,7448
5,第5章 其他动物...,116,日本,577065
5,第5章 其他动物...,122,马来西亚,54284
5,第5章 其他动物...,132,新加坡,235
5,第5章 其他动物...,133,韩国,1812735
5,第5章 其他动物...,136,泰国,119431
5,第5章 其他动物...,141,越南,10403
5,第5章 其他动物...,142,中国,14794
5,第5章 其他动物...,143,中国台湾,1529548
5,第5章 其他动物...,145,哈萨克斯坦,100050
5,第5章 其他动物...,149,乌兹别克斯坦,31408
5,第5章 其他动物...,217,埃塞俄比亚,15847
5,第5章 其他动物...,303,英国,50300
5,第5章 其他动物...,304,德国,1277908
5,第5章 其他动物...,344,俄罗斯,257588
5,第5章 其他动物...,502,美国,11106209
5,第5章 其他动物...,601,澳大利亚,2685116
6,第6章 活树及其...,111,印度,55255
