Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,112,Indonesia,177745.0
1,Live animals,116,Japan,1946663.0
1,Live animals,119,Lao,1412400.0
1,Live animals,132,Singapore,114.0
1,Live animals,135,Syria,105885.0
1,Live animals,136,Thailand,830.0
1,Live animals,141,Viet Nam,176000.0
1,Live animals,143,"Taiwan,China",53305.0
1,Live animals,202,Angola,511530.0
1,Live animals,303,United Kingdom,255.0
1,Live animals,424,Guyana,91918.0
1,Live animals,502,United States,552365.0
1,Live animals,601,Australia,26686811.0
2,Meat and edible meat offal,136,Thailand,14639497.0
2,Meat and edible meat offal,303,United Kingdom,19644171.0
2,Meat and edible meat offal,304,Germany,95374033.0
2,Meat and edible meat offal,344,Russia,7046312.0
2,Meat and edible meat offal,358,Serbia,213511.0
2,Meat and edible meat offal,502,United States,76958368.0
2,Meat and edible meat offal,601,Australia,228132830.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",110,"Hong Kong,China",58519.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,India,110896857.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112,Indonesia,37171596.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",113,Iran,231097.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",116,Japan,33092434.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",122,Malaysia,16496312.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",132,Singapore,535406.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",133,Republic of Korea,8896077.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",136,Thailand,30707500.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",141,Viet Nam,92954155.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",142,China,423611.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",143,"Taiwan,China",10875889.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",145,Kazakhstan,30718.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",230,Mauritania,3038017.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",234,Namibia,36327.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",240,Senegal,4094655.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",243,Somalia,68398.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",303,United Kingdom,7593654.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",304,Germany,2212.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",344,Russia,146963317.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",424,Guyana,828893.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",441,Suriname,355137.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",502,United States,52810588.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",601,Australia,32275806.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",110,"Hong Kong,China",22104.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",112,Indonesia,14524068.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",116,Japan,30755.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",122,Malaysia,10185196.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",132,Singapore,2147680.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",133,Republic of Korea,2099284.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",136,Thailand,992345.0
