Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,,124,Mongolia,33884.0
1,,129,Philippines,13666.0
1,,244,South Africa,14946.0
1,,301,Belgium,14036.0
1,,305,France,529.0
1,,306,Ireland,2000.0
1,,309,Netherlands,354642.0
1,,321,Hungary,236300.0
1,,429,Mexico,7278.0
1,,444,Uruguay,5676239.0
1,,501,Canada,755471.0
2,,124,Mongolia,4696639.0
2,,301,Belgium,2178994.0
2,,305,France,17513406.0
2,,306,Ireland,9077388.0
2,,307,Italy,365454.0
2,,309,Netherlands,26559374.0
2,,312,Spain,40105328.0
2,,318,Finland,526787.0
2,,321,Hungary,2978689.0
2,,410,Brazil,168299072.0
2,,415,Costa Rica,1455952.0
2,,429,Mexico,460154.0
2,,444,Uruguay,74045123.0
2,,501,Canada,33165387.0
3,,109,Democratic People's Republic of Korea,28141250.0
3,,123,Maldives,10264.0
3,,127,Pakistan,4552977.0
3,,129,Philippines,5415246.0
3,,137,Türkiye,300448.0
3,,220,Ghana,107723.0
3,,224,Kenya,296477.0
3,,227,Madagascar,1267876.0
3,,233,Mozambique,2806908.0
3,,241,Seychelles,186558.0
3,,244,South Africa,1377195.0
3,,250,Uganda,119156.0
3,,305,France,3010433.0
3,,306,Ireland,2580664.0
3,,307,Italy,350563.0
3,,309,Netherlands,2791997.0
3,,312,Spain,2495204.0
3,,326,Norway,34216970.0
3,,327,Poland,237903.0
3,,357,Faroe Islands,7831946.0
3,,410,Brazil,531827.0
3,,429,Mexico,4861850.0
3,,431,Nicaragua,181134.0
3,,444,Uruguay,236950.0
3,,501,Canada,97427857.0
3,,503,Greenland,14088189.0
3,,621,Marshall Islands,5064600.0
4,,301,Belgium,3027457.0
4,,305,France,41415684.0
4,,306,Ireland,6217291.0
4,,307,Italy,4037463.0
4,,309,Netherlands,16393770.0
4,,310,Greece,60645.0
4,,312,Spain,2778440.0
4,,315,Austria,4114518.0
4,,316,Bulgaria,18162.0
4,,318,Finland,4267865.0
4,,321,Hungary,6126.0
4,,327,Poland,5079760.0
4,,340,Belarus,799700.0
4,,410,Brazil,162172.0
4,,429,Mexico,109358.0
4,,444,Uruguay,1367832.0
4,,501,Canada,263447.0
5,,109,Democratic People's Republic of Korea,165652.0
5,,124,Mongolia,182613.0
5,,127,Pakistan,192025.0
5,,129,Philippines,93346.0
5,,224,Kenya,45275.0
5,,244,South Africa,74142.0
5,,250,Uganda,15599.0
5,,301,Belgium,67415.0
5,,305,France,298960.0
5,,306,Ireland,210165.0
5,,307,Italy,2044762.0
5,,309,Netherlands,4774697.0
5,,310,Greece,10216.0
5,,312,Spain,5166121.0
5,,318,Finland,651.0
5,,321,Hungary,1171991.0
5,,327,Poland,603804.0
5,,404,Bahamas,5818.0
5,,410,Brazil,32576.0
5,,429,Mexico,20608.0
5,,501,Canada,2332006.0
6,,109,Democratic People's Republic of Korea,61397.0
6,,129,Philippines,16874.0
6,,219,Gambia,184.0
6,,224,Kenya,585767.0
6,,244,South Africa,324090.0
6,,250,Uganda,189610.0
6,,254,Zimbabwe,12987.0
6,,301,Belgium,24058.0
