Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,,129,Philippines,41318.0
1,,244,South Africa,41978.0
1,,301,Belgium,894789.0
1,,306,Ireland,725.0
1,,309,Netherlands,1017978.0
1,,327,Poland,283348.0
1,,501,Canada,236428.0
2,,124,Mongolia,2648580.0
2,,244,South Africa,3061468.0
2,,301,Belgium,2022593.0
2,,305,France,10796876.0
2,,306,Ireland,4933559.0
2,,307,Italy,231896.0
2,,309,Netherlands,16898562.0
2,,312,Spain,35168926.0
2,,318,Finland,177413.0
2,,321,Hungary,2823891.0
2,,340,Belarus,2893.0
2,,410,Brazil,163724877.0
2,,415,Costa Rica,390784.0
2,,429,Mexico,317243.0
2,,444,Uruguay,56525006.0
2,,501,Canada,25434471.0
3,,123,Maldives,196834.0
3,,127,Pakistan,3306967.0
3,,129,Philippines,5576352.0
3,,137,Türkiye,816349.0
3,,220,Ghana,179008.0
3,,224,Kenya,160949.0
3,,227,Madagascar,1486725.0
3,,233,Mozambique,1758616.0
3,,244,South Africa,5938117.0
3,,250,Uganda,151654.0
3,,305,France,3328830.0
3,,306,Ireland,4003634.0
3,,309,Netherlands,672213.0
3,,312,Spain,985970.0
3,,326,Norway,32088533.0
3,,327,Poland,396146.0
3,,357,Faroe Islands,10959942.0
3,,410,Brazil,849488.0
3,,429,Mexico,8345249.0
3,,444,Uruguay,1924923.0
3,,501,Canada,61316875.0
3,,503,Greenland,6626763.0
4,,137,Türkiye,5301.0
4,,301,Belgium,545886.0
4,,305,France,18427321.0
4,,306,Ireland,1730836.0
4,,307,Italy,1556739.0
4,,309,Netherlands,6313440.0
4,,310,Greece,48002.0
4,,312,Spain,2632918.0
4,,315,Austria,948761.0
4,,316,Bulgaria,12502.0
4,,318,Finland,1445401.0
4,,327,Poland,3058111.0
4,,336,Lithuania,910485.0
4,,340,Belarus,453003.0
4,,410,Brazil,378863.0
4,,444,Uruguay,412900.0
4,,501,Canada,69395.0
5,,127,Pakistan,193843.0
5,,129,Philippines,33264.0
5,,244,South Africa,67908.0
5,,250,Uganda,10650.0
5,,301,Belgium,80827.0
5,,305,France,1695381.0
5,,306,Ireland,747371.0
5,,307,Italy,450852.0
5,,309,Netherlands,2064704.0
5,,310,Greece,32460.0
5,,312,Spain,4103588.0
5,,315,Austria,125966.0
5,,321,Hungary,184735.0
5,,327,Poland,452854.0
5,,350,Slovenia,4829.0
5,,429,Mexico,40822.0
5,,444,Uruguay,60927.0
5,,501,Canada,1920239.0
6,,109,Democratic People's Republic of Korea,18520.0
6,,224,Kenya,614114.0
6,,244,South Africa,322140.0
6,,250,Uganda,83929.0
6,,254,Zimbabwe,18911.0
6,,301,Belgium,59788.0
6,,305,France,110961.0
6,,306,Ireland,289.0
6,,307,Italy,191924.0
6,,309,Netherlands,4729293.0
6,,312,Spain,1136585.0
6,,326,Norway,10156.0
6,,327,Poland,2987.0
6,,410,Brazil,1443.0
6,,415,Costa Rica,10376.0
6,,429,Mexico,55136.0
6,,435,Puerto Rico,1678.0
6,,444,Uruguay,181050.0
7,,127,Pakistan,307100.0
7,,301,Belgium,91298.0
7,,305,France,3200528.0
7,,307,Italy,2304.0
7,,309,Netherlands,1308.0
7,,313,Albania,2257.0
7,,315,Austria,2353.0
7,,318,Finland,21815.0
7,,429,Mexico,247179.0
7,,501,Canada,26828286.0
8,,108,Cyprus,14872.0
8,,124,Mongolia,2055600.0
8,,127,Pakistan,108839.0
8,,129,Philippines,43594901.0
8,,137,Türkiye,1405709.0
8,,138,United Arab Emirates,92882.0
8,,244,South Africa,4990383.0
8,,301,Belgium,676278.0
8,,305,France,1000656.0
8,,307,Italy,2141049.0
8,,309,Netherlands,125759.0
8,,310,Greece,425770.0
8,,312,Spain,4813715.0
8,,316,Bulgaria,88652.0
8,,321,Hungary,4900.0
8,,327,Poland,324522.0
8,,415,Costa Rica,311704.0
8,,429,Mexico,3353793.0
8,,501,Canada,506372.0
9,,137,Türkiye,34282.0
9,,138,United Arab Emirates,68890.0
9,,219,Gambia,449123.0
9,,224,Kenya,250515.0
9,,233,Mozambique,86504.0
9,,244,South Africa,129834.0
9,,250,Uganda,167162.0
9,,301,Belgium,89655.0
9,,305,France,56315.0
9,,307,Italy,2353193.0
9,,309,Netherlands,5825.0
9,,312,Spain,26500.0
9,,315,Austria,34685.0
9,,316,Bulgaria,3894.0
9,,327,Poland,187929.0
9,,410,Brazil,1024495.0
9,,415,Costa Rica,14751.0
9,,427,Jamaica,54262.0
9,,501,Canada,14135.0
10,,127,Pakistan,3867421.0
10,,129,Philippines,54.0
10,,305,France,519.0
10,,309,Netherlands,1205.0
10,,316,Bulgaria,33000.0
10,,429,Mexico,1101.0
10,,501,Canada,36815315.0
11,,109,Democratic People's Republic of Korea,17102.0
11,,137,Türkiye,68400.0
11,,244,South Africa,395.0
11,,301,Belgium,633144.0
11,,305,France,230815.0
11,,307,Italy,10785.0
11,,309,Netherlands,1292301.0
11,,312,Spain,21033.0
11,,315,Austria,3673.0
11,,318,Finland,40014.0
11,,336,Lithuania,115685.0
11,,429,Mexico,154455.0
11,,501,Canada,152612.0
12,,124,Mongolia,3357639.0
12,,127,Pakistan,248463.0
12,,129,Philippines,181278.0
12,,137,Türkiye,27034.0
12,,220,Ghana,50000.0
12,,227,Madagascar,98885.0
12,,233,Mozambique,461318.0
12,,235,Niger,29721202.0
12,,244,South Africa,119460.0
12,,250,Uganda,1468353.0
12,,252,Democratic Republic of Congo,42000.0
12,,301,Belgium,2946958.0
12,,305,France,480308.0
12,,307,Italy,1383511.0
12,,309,Netherlands,110973.0
12,,312,Spain,734974.0
12,,315,Austria,19998.0
12,,316,Bulgaria,33654.0
12,,321,Hungary,1128.0
12,,327,Poland,10350.0
12,,336,Lithuania,29056.0
12,,410,Brazil,730269696.0
12,,429,Mexico,97433.0
12,,501,Canada,256838638.0
13,,127,Pakistan,182955.0
13,,129,Philippines,104056.0
13,,137,Türkiye,148824.0
13,,138,United Arab Emirates,630000.0
13,,213,Congo,117369.0
13,,227,Madagascar,15687.0
13,,235,Niger,48144.0
13,,244,South Africa,30344.0
13,,301,Belgium,11735.0
13,,305,France,923213.0
13,,307,Italy,2062565.0
13,,309,Netherlands,8235.0
13,,312,Spain,514261.0
13,,318,Finland,3674.0
13,,410,Brazil,1896846.0
13,,429,Mexico,371349.0
14,,109,Democratic People's Republic of Korea,5720.0
14,,127,Pakistan,78223.0
14,,129,Philippines,411286.0
14,,137,Türkiye,863863.0
14,,227,Madagascar,44333.0
14,,429,Mexico,45600.0
15,,129,Philippines,1060001.0
15,,137,Türkiye,164316.0
15,,244,South Africa,2203.0
15,,301,Belgium,328233.0
15,,305,France,637483.0
15,,307,Italy,1828075.0
15,,309,Netherlands,375923.0
15,,310,Greece,217826.0
15,,312,Spain,4303779.0
15,,315,Austria,2344.0
15,,316,Bulgaria,1925.0
15,,326,Norway,273721.0
15,,410,Brazil,12840470.0
15,,429,Mexico,85497.0
15,,431,Nicaragua,2264.0
15,,444,Uruguay,295193.0
15,,501,Canada,37746928.0
16,,124,Mongolia,1844593.0
16,,129,Philippines,132962.0
16,,305,France,34274.0
16,,306,Ireland,38640.0
16,,307,Italy,237274.0
16,,312,Spain,148034.0
16,,327,Poland,13096.0
16,,429,Mexico,100.0
16,,501,Canada,983185.0
17,,127,Pakistan,247741.0
17,,137,Türkiye,46600.0
17,,138,United Arab Emirates,795330.0
17,,301,Belgium,485566.0
17,,305,France,333710.0
17,,306,Ireland,7596.0
17,,307,Italy,117132.0
17,,309,Netherlands,114508.0
17,,310,Greece,2650.0
17,,312,Spain,29667.0
17,,315,Austria,32017.0
17,,316,Bulgaria,27356.0
17,,318,Finland,470.0
17,,326,Norway,18713.0
17,,327,Poland,317045.0
17,,410,Brazil,12110.0
17,,501,Canada,140372.0
18,,129,Philippines,2072.0
18,,137,Türkiye,79557.0
18,,138,United Arab Emirates,4812.0
18,,220,Ghana,1451981.0
18,,244,South Africa,1745.0
18,,301,Belgium,2699625.0
18,,305,France,1297014.0
18,,306,Ireland,80281.0
18,,307,Italy,1849898.0
18,,309,Netherlands,687040.0
18,,312,Spain,374038.0
18,,315,Austria,348744.0
18,,316,Bulgaria,69454.0
18,,318,Finland,5144.0
18,,326,Norway,51121.0
18,,327,Poland,78435.0
18,,336,Lithuania,31626.0
18,,340,Belarus,79254.0
18,,429,Mexico,260160.0
18,,501,Canada,54815.0
19,,129,Philippines,191863.0
19,,137,Türkiye,179712.0
19,,138,United Arab Emirates,280138.0
19,,244,South Africa,15587.0
19,,301,Belgium,51181.0
19,,305,France,24976716.0
19,,306,Ireland,39225454.0
19,,307,Italy,1827401.0
19,,309,Netherlands,126249586.0
19,,310,Greece,136452.0
19,,312,Spain,757791.0
19,,315,Austria,382139.0
19,,316,Bulgaria,32384.0
19,,327,Poland,1559321.0
19,,336,Lithuania,72347.0
19,,340,Belarus,49336.0
19,,429,Mexico,98410.0
19,,501,Canada,58983.0
20,,108,Cyprus,79773.0
20,,124,Mongolia,120.0
20,,127,Pakistan,295066.0
20,,129,Philippines,1001715.0
20,,137,Türkiye,2123865.0
20,,138,United Arab Emirates,1139.0
20,,244,South Africa,830579.0
20,,250,Uganda,600.0
20,,301,Belgium,1166045.0
20,,305,France,719409.0
20,,307,Italy,1222827.0
20,,309,Netherlands,986078.0
20,,310,Greece,15886.0
20,,312,Spain,1203819.0
20,,315,Austria,56115.0
20,,316,Bulgaria,110018.0
20,,318,Finland,1750.0
20,,327,Poland,372516.0
20,,410,Brazil,9177886.0
20,,415,Costa Rica,25246.0
20,,429,Mexico,204063.0
20,,501,Canada,800928.0
20,,617,Samoa,24018.0
21,,109,Democratic People's Republic of Korea,74499.0
21,,124,Mongolia,117098.0
21,,127,Pakistan,20347.0
21,,129,Philippines,662035.0
21,,137,Türkiye,60621.0
21,,138,United Arab Emirates,8244.0
21,,244,South Africa,36313.0
21,,301,Belgium,309843.0
21,,305,France,5136045.0
21,,306,Ireland,1223067.0
21,,307,Italy,1938281.0
21,,309,Netherlands,1644668.0
21,,312,Spain,225452.0
21,,315,Austria,153839.0
21,,316,Bulgaria,53190.0
21,,321,Hungary,49395.0
21,,326,Norway,14309.0
21,,327,Poland,313404.0
21,,340,Belarus,116405.0
21,,410,Brazil,755493.0
21,,415,Costa Rica,9093.0
21,,429,Mexico,104193.0
21,,435,Puerto Rico,638589.0
21,,501,Canada,1989715.0
22,,108,Cyprus,17077.0
22,,124,Mongolia,4069.0
22,,127,Pakistan,4945345.0
22,,129,Philippines,26174.0
22,,137,Türkiye,46337.0
22,,138,United Arab Emirates,127824.0
22,,244,South Africa,2750643.0
22,,301,Belgium,4681748.0
22,,305,France,107517605.0
22,,306,Ireland,619965.0
22,,307,Italy,11674768.0
22,,309,Netherlands,2419325.0
22,,310,Greece,103696.0
22,,312,Spain,12993963.0
22,,313,Albania,28885.0
22,,315,Austria,356180.0
22,,316,Bulgaria,129331.0
22,,318,Finland,24447.0
22,,321,Hungary,341445.0
22,,327,Poland,87800.0
22,,336,Lithuania,48724.0
22,,339,Azerbai jan,14116.0
