Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,,124,Mongolia,18959.0
1,,129,Philippines,44576.0
1,,244,South Africa,598144.0
1,,254,Zimbabwe,807609.0
1,,301,Belgium,427223.0
1,,305,France,150617.0
1,,307,Italy,605.0
1,,309,Netherlands,810621.0
1,,312,Spain,643.0
1,,315,Austria,1037.0
1,,327,Poland,508500.0
1,,429,Mexico,54191.0
1,,501,Canada,92069.0
2,,124,Mongolia,1520171.0
2,,244,South Africa,135226.0
2,,301,Belgium,2120738.0
2,,305,France,22436010.0
2,,306,Ireland,8050194.0
2,,307,Italy,269544.0
2,,309,Netherlands,26506049.0
2,,312,Spain,72368210.0
2,,318,Finland,685510.0
2,,321,Hungary,3968755.0
2,,410,Brazil,231120898.0
2,,415,Costa Rica,2447604.0
2,,429,Mexico,282307.0
2,,444,Uruguay,66554077.0
2,,501,Canada,39154928.0
3,,123,Maldives,141050.0
3,,127,Pakistan,4778567.0
3,,129,Philippines,4484064.0
3,,137,Türkiye,138878.0
3,,220,Ghana,131248.0
3,,224,Kenya,447592.0
3,,227,Madagascar,1352606.0
3,,233,Mozambique,2640385.0
3,,244,South Africa,5365227.0
3,,305,France,5404698.0
3,,306,Ireland,4086661.0
3,,309,Netherlands,2140978.0
3,,312,Spain,4048017.0
3,,326,Norway,46673331.0
3,,327,Poland,541030.0
3,,357,Faroe Islands,11074357.0
3,,410,Brazil,1450859.0
3,,429,Mexico,4597105.0
3,,444,Uruguay,1973120.0
3,,501,Canada,58841319.0
3,,503,Greenland,22478384.0
3,,621,Marshall Islands,6162000.0
4,,301,Belgium,2562495.0
4,,305,France,26957296.0
4,,306,Ireland,2794441.0
4,,307,Italy,2482619.0
4,,309,Netherlands,12407049.0
4,,310,Greece,105663.0
4,,312,Spain,2849892.0
4,,315,Austria,3483954.0
4,,316,Bulgaria,37417.0
4,,318,Finland,3332645.0
4,,321,Hungary,679.0
4,,326,Norway,232.0
4,,327,Poland,5679097.0
4,,336,Lithuania,750424.0
4,,340,Belarus,544656.0
4,,350,Slovenia,98206.0
4,,410,Brazil,27710.0
4,,429,Mexico,49500.0
4,,444,Uruguay,255765.0
4,,501,Canada,81192.0
5,,124,Mongolia,58221.0
5,,127,Pakistan,319393.0
5,,129,Philippines,52037.0
5,,224,Kenya,12864.0
5,,227,Madagascar,12596.0
5,,250,Uganda,16343.0
5,,301,Belgium,58736.0
5,,305,France,914403.0
5,,306,Ireland,805186.0
5,,307,Italy,308093.0
5,,309,Netherlands,3661149.0
5,,310,Greece,11663.0
5,,312,Spain,4910064.0
5,,318,Finland,31455.0
5,,321,Hungary,724770.0
5,,327,Poland,1317579.0
5,,429,Mexico,61233.0
5,,501,Canada,2701766.0
6,,129,Philippines,19028.0
6,,220,Ghana,147.0
6,,224,Kenya,454971.0
6,,244,South Africa,327826.0
6,,250,Uganda,145145.0
6,,254,Zimbabwe,22631.0
6,,301,Belgium,39466.0
6,,305,France,8134.0
6,,306,Ireland,135.0
6,,307,Italy,258183.0
6,,309,Netherlands,4502128.0
6,,312,Spain,431804.0
6,,326,Norway,40699.0
6,,327,Poland,2388.0
6,,410,Brazil,881.0
6,,415,Costa Rica,209824.0
6,,444,Uruguay,189860.0
7,,127,Pakistan,88100.0
7,,244,South Africa,124.0
7,,301,Belgium,80416.0
7,,305,France,9236.0
7,,307,Italy,12733.0
7,,309,Netherlands,1269.0
7,,312,Spain,64298.0
7,,315,Austria,3479.0
7,,321,Hungary,2751.0
7,,327,Poland,137602.0
7,,501,Canada,28491609.0
8,,108,Cyprus,92855.0
8,,124,Mongolia,2818497.0
8,,127,Pakistan,474808.0
8,,129,Philippines,56208648.0
8,,137,Türkiye,2974437.0
8,,244,South Africa,9310870.0
8,,301,Belgium,628155.0
8,,305,France,1091558.0
