Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,301,Belgium,75832.0
1,Live animals,305,France,142.0
1,Live animals,315,Austria,96.0
1,Live animals,429,Mexico,34574.0
1,Live animals,501,Canada,2655172.0
2,Meat and edible meat offal,244,South Africa,2428901.0
2,Meat and edible meat offal,305,France,49593048.0
2,Meat and edible meat offal,306,Ireland,22469003.0
2,Meat and edible meat offal,307,Italy,3683972.0
2,Meat and edible meat offal,309,Netherlands,104926254.0
2,Meat and edible meat offal,312,Spain,246711538.0
2,Meat and edible meat offal,315,Austria,5291875.0
2,Meat and edible meat offal,318,Finland,4770342.0
2,Meat and edible meat offal,321,Hungary,531204.0
2,Meat and edible meat offal,327,Poland,430039.0
2,Meat and edible meat offal,340,Belarus,6432024.0
2,Meat and edible meat offal,408,Bolivia,3858667.0
2,Meat and edible meat offal,410,Brazil,617932929.0
2,Meat and edible meat offal,415,Costa Rica,4110504.0
2,Meat and edible meat offal,429,Mexico,19129451.0
2,Meat and edible meat offal,444,Uruguay,75042324.0
2,Meat and edible meat offal,501,Canada,123551818.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",127,Pakistan,13277604.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",129,Philippines,456833.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",137,Türkiye,387128.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",220,Ghana,19879.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",224,Kenya,388150.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",244,South Africa,2098015.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",305,France,3666111.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",306,Ireland,539372.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",309,Netherlands,5244433.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",312,Spain,3037228.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",326,Norway,55445087.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",327,Poland,90553.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",336,Lithuania,43842.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",357,Faroe Islands,5071270.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",410,Brazil,238037.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",429,Mexico,3377886.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",444,Uruguay,721662.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",501,Canada,39779019.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",503,Greenland,15794363.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",301,Belgium,3192557.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",305,France,32056616.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",306,Ireland,5331624.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",307,Italy,1425747.0
