Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,129,Philippines,181.0
1,Live animals,305,France,2809035.0
1,Live animals,307,Italy,1790.0
2,Meat and edible meat offal,124,Mongolia,1548852.0
2,Meat and edible meat offal,244,South Africa,6836061.0
2,Meat and edible meat offal,305,France,43226545.0
2,Meat and edible meat offal,306,Ireland,27175052.0
2,Meat and edible meat offal,307,Italy,9738758.0
2,Meat and edible meat offal,309,Netherlands,86610534.0
2,Meat and edible meat offal,312,Spain,264728753.0
2,Meat and edible meat offal,315,Austria,6613832.0
2,Meat and edible meat offal,318,Finland,4951014.0
2,Meat and edible meat offal,321,Hungary,451633.0
2,Meat and edible meat offal,327,Poland,66322.0
2,Meat and edible meat offal,336,Lithuania,321405.0
2,Meat and edible meat offal,340,Belarus,13564889.0
2,Meat and edible meat offal,408,Bolivia,2573988.0
2,Meat and edible meat offal,410,Brazil,730110714.0
2,Meat and edible meat offal,415,Costa Rica,5771439.0
2,Meat and edible meat offal,429,Mexico,30240651.0
2,Meat and edible meat offal,444,Uruguay,79219542.0
2,Meat and edible meat offal,501,Canada,118519163.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",123,Maldives,10469.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",127,Pakistan,12852387.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",129,Philippines,5060082.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",137,Türkiye,722269.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",220,Ghana,69282.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",224,Kenya,417119.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",227,Madagascar,1256069.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",233,Mozambique,1709709.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",244,South Africa,2890767.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",305,France,7009438.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",306,Ireland,2133218.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",309,Netherlands,3525116.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",310,Greece,67414.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",312,Spain,15061820.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",326,Norway,40450584.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",327,Poland,156155.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",336,Lithuania,754620.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",357,Faroe Islands,5895572.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",410,Brazil,1749213.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",429,Mexico,3779258.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",444,Uruguay,816727.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",501,Canada,60421467.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",503,Greenland,17342850.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",137,Türkiye,68.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",301,Belgium,4617568.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",305,France,52488047.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",306,Ireland,14495975.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",307,Italy,5305988.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",309,Netherlands,17855145.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",310,Greece,50680.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",312,Spain,12418644.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",315,Austria,5456244.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",318,Finland,12144230.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",321,Hungary,259029.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",326,Norway,60.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",327,Poland,13586054.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",336,Lithuania,563333.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",340,Belarus,10481974.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",350,Slovenia,233161.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",410,Brazil,29635.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",429,Mexico,11.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",444,Uruguay,2562261.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",501,Canada,150099.0
5,"roducts of animal origin,not elsewhere specified or included",124,Mongolia,113481.0
5,"roducts of animal origin,not elsewhere specified or included",127,Pakistan,701299.0
5,"roducts of animal origin,not elsewhere specified or included",129,Philippines,14224.0
5,"roducts of animal origin,not elsewhere specified or included",244,South Africa,143562.0
5,"roducts of animal origin,not elsewhere specified or included",250,Uganda,3199.0
5,"roducts of animal origin,not elsewhere specified or included",305,France,278144.0
5,"roducts of animal origin,not elsewhere specified or included",306,Ireland,437646.0
5,"roducts of animal origin,not elsewhere specified or included",307,Italy,70606.0
5,"roducts of animal origin,not elsewhere specified or included",309,Netherlands,4702459.0
5,"roducts of animal origin,not elsewhere specified or included",310,Greece,37894.0
5,"roducts of animal origin,not elsewhere specified or included",312,Spain,4229332.0
5,"roducts of animal origin,not elsewhere specified or included",321,Hungary,864277.0
5,"roducts of animal origin,not elsewhere specified or included",340,Belarus,142728.0
5,"roducts of animal origin,not elsewhere specified or included",410,Brazil,133690.0
5,"roducts of animal origin,not elsewhere specified or included",415,Costa Rica,25577.0
5,"roducts of animal origin,not elsewhere specified or included",444,Uruguay,18054.0
5,"roducts of animal origin,not elsewhere specified or included",501,Canada,2506088.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",127,Pakistan,2398.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",129,Philippines,112.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",224,Kenya,124873.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",244,South Africa,322228.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",250,Uganda,60671.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",254,Zimbabwe,2061.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",301,Belgium,3956.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",305,France,475185.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",307,Italy,88357.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",309,Netherlands,9527791.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",312,Spain,331296.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",316,Bulgaria,72.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",327,Poland,7725.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",410,Brazil,650.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",415,Costa Rica,166416.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",444,Uruguay,392796.0
7,Edible vegetables and certain roots and tubers,127,Pakistan,467700.0
7,Edible vegetables and certain roots and tubers,137,Türkiye,499166.0
7,Edible vegetables and certain roots and tubers,244,South Africa,507500.0
7,Edible vegetables and certain roots and tubers,301,Belgium,21459.0
7,Edible vegetables and certain roots and tubers,305,France,5259153.0
7,Edible vegetables and certain roots and tubers,307,Italy,12082.0
7,Edible vegetables and certain roots and tubers,312,Spain,76436.0
7,Edible vegetables and certain roots and tubers,315,Austria,11233.0
7,Edible vegetables and certain roots and tubers,429,Mexico,155535.0
7,Edible vegetables and certain roots and tubers,501,Canada,76152882.0
8,Edible fruit and nuts; peel of citrus fruit or melons,129,Philippines,46296555.0
8,Edible fruit and nuts; peel of citrus fruit or melons,137,Türkiye,6768722.0
8,Edible fruit and nuts; peel of citrus fruit or melons,138,United Arab Emirates,18740.0
8,Edible fruit and nuts; peel of citrus fruit or melons,203,Benin,206275.0
8,Edible fruit and nuts; peel of citrus fruit or melons,220,Ghana,98864.0
8,Edible fruit and nuts; peel of citrus fruit or melons,224,Kenya,138.0
8,Edible fruit and nuts; peel of citrus fruit or melons,244,South Africa,38487712.0
8,Edible fruit and nuts; peel of citrus fruit or melons,254,Zimbabwe,1619932.0
8,Edible fruit and nuts; peel of citrus fruit or melons,305,France,303785.0
8,Edible fruit and nuts; peel of citrus fruit or melons,307,Italy,76749.0
8,Edible fruit and nuts; peel of citrus fruit or melons,309,Netherlands,3113.0
8,Edible fruit and nuts; peel of citrus fruit or melons,312,Spain,856444.0
8,Edible fruit and nuts; peel of citrus fruit or melons,316,Bulgaria,29686.0
8,Edible fruit and nuts; peel of citrus fruit or melons,327,Poland,271072.0
8,Edible fruit and nuts; peel of citrus fruit or melons,340,Belarus,617359.0
8,Edible fruit and nuts; peel of citrus fruit or melons,408,Bolivia,1139.0
8,Edible fruit and nuts; peel of citrus fruit or melons,410,Brazil,1028738.0
8,Edible fruit and nuts; peel of citrus fruit or melons,415,Costa Rica,29.0
8,Edible fruit and nuts; peel of citrus fruit or melons,429,Mexico,346410.0
8,Edible fruit and nuts; peel of citrus fruit or melons,501,Canada,3664673.0
9,"Coffee, tea, maté and spices",137,Türkiye,12781.0
9,"Coffee, tea, maté and spices",138,United Arab Emirates,74929.0
9,"Coffee, tea, maté and spices",219,Gambia,109.0
9,"Coffee, tea, maté and spices",224,Kenya,1096479.0
9,"Coffee, tea, maté and spices",227,Madagascar,189496.0
9,"Coffee, tea, maté and spices",233,Mozambique,229080.0
9,"Coffee, tea, maté and spices",244,South Africa,686.0
9,"Coffee, tea, maté and spices",250,Uganda,421601.0
9,"Coffee, tea, maté and spices",301,Belgium,86739.0
9,"Coffee, tea, maté and spices",305,France,93579.0
9,"Coffee, tea, maté and spices",306,Ireland,137.0
9,"Coffee, tea, maté and spices",307,Italy,3297386.0
9,"Coffee, tea, maté and spices",309,Netherlands,12697.0
9,"Coffee, tea, maté and spices",312,Spain,10206.0
9,"Coffee, tea, maté and spices",313,Albania,25054.0
9,"Coffee, tea, maté and spices",315,Austria,384327.0
9,"Coffee, tea, maté and spices",316,Bulgaria,3111.0
9,"Coffee, tea, maté and spices",318,Finland,403.0
9,"Coffee, tea, maté and spices",326,Norway,1208.0
9,"Coffee, tea, maté and spices",327,Poland,676802.0
9,"Coffee, tea, maté and spices",405,Barbados,89.0
9,"Coffee, tea, maté and spices",408,Bolivia,21.0
9,"Coffee, tea, maté and spices",410,Brazil,1106283.0
9,"Coffee, tea, maté and spices",415,Costa Rica,421137.0
9,"Coffee, tea, maté and spices",427,Jamaica,336302.0
9,"Coffee, tea, maté and spices",429,Mexico,57736.0
9,"Coffee, tea, maté and spices",431,Nicaragua,7547.0
9,"Coffee, tea, maté and spices",501,Canada,4312.0
10,Cereals,127,Pakistan,5651574.0
10,Cereals,305,France,80991446.0
10,Cereals,321,Hungary,16.0
10,Cereals,336,Lithuania,5886554.0
10,Cereals,408,Bolivia,470514.0
10,Cereals,501,Canada,132945031.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,129,Philippines,4575.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,137,Türkiye,622006.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,301,Belgium,1199070.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,305,France,709979.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,307,Italy,49712.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,309,Netherlands,5484485.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,312,Spain,84.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,315,Austria,3453.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,318,Finland,56.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,327,Poland,318479.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,336,Lithuania,19553.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,410,Brazil,52529.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,429,Mexico,90925.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,501,Canada,102725.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",124,Mongolia,586117.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",127,Pakistan,50400.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",129,Philippines,945581.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",137,Türkiye,397869.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",203,Benin,586773.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",219,Gambia,245614.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",220,Ghana,631704.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",224,Kenya,154.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",227,Madagascar,88480.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",235,Niger,10546095.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",244,South Africa,1748872.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",250,Uganda,811575.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",252,Democratic Republic of Congo,7140.0
