商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章 活动物,306,爱尔兰,1362334
1,第1章 活动物,309,荷兰,2176497
1,第1章 活动物,444,乌拉圭,17811730
1,第1章 活动物,501,加拿大,6800
2,第2章 肉及食用...,137,土耳其,4464431
2,第2章 肉及食用...,244,南非,3066131
2,第2章 肉及食用...,305,法国,29148560
2,第2章 肉及食用...,306,爱尔兰,9357661
2,第2章 肉及食用...,307,意大利,2337177
2,第2章 肉及食用...,309,荷兰,38889812
2,第2章 肉及食用...,312,西班牙,148936469
2,第2章 肉及食用...,315,奥地利,2380437
2,第2章 肉及食用...,318,芬兰,2760520
2,第2章 肉及食用...,321,匈牙利,1035564
2,第2章 肉及食用...,336,立陶宛,359544
2,第2章 肉及食用...,340,白俄罗斯,31951535
2,第2章 肉及食用...,408,多民族玻利维亚国,3691475
2,第2章 肉及食用...,410,巴西,634855134
2,第2章 肉及食用...,415,哥斯达黎加,12632353
2,第2章 肉及食用...,429,墨西哥,4415092
2,第2章 肉及食用...,444,乌拉圭,205011687
2,第2章 肉及食用...,501,加拿大,36567070
3,第3章 鱼、甲壳...,127,巴基斯坦,10330313
3,第3章 鱼、甲壳...,129,菲律宾,4799924
3,第3章 鱼、甲壳...,137,土耳其,3117
3,第3章 鱼、甲壳...,220,加纳,305663
3,第3章 鱼、甲壳...,224,肯尼亚,675836
3,第3章 鱼、甲壳...,227,马达加斯加,275504
3,第3章 鱼、甲壳...,233,莫桑比克,1777945
3,第3章 鱼、甲壳...,244,南非,3874081
3,第3章 鱼、甲壳...,250,乌干达,7222
3,第3章 鱼、甲壳...,305,法国,5831529
3,第3章 鱼、甲壳...,306,爱尔兰,964085
3,第3章 鱼、甲壳...,309,荷兰,1035128
3,第3章 鱼、甲壳...,312,西班牙,7840384
3,第3章 鱼、甲壳...,326,挪威,74936146
3,第3章 鱼、甲壳...,357,法罗群岛,8908733
3,第3章 鱼、甲壳...,410,巴西,2659742
3,第3章 鱼、甲壳...,429,墨西哥,9051413
3,第3章 鱼、甲壳...,444,乌拉圭,1832153
3,第3章 鱼、甲壳...,501,加拿大,68894250
3,第3章 鱼、甲壳...,503,格陵兰,21814248
4,第4章 乳品；蛋...,137,土耳其,513092
4,第4章 乳品；蛋...,301,比利时,4752636
4,第4章 乳品；蛋...,305,法国,41798066
4,第4章 乳品；蛋...,306,爱尔兰,8343206
4,第4章 乳品；蛋...,307,意大利,7172648
4,第4章 乳品；蛋...,309,荷兰,17486916
4,第4章 乳品；蛋...,310,希腊,537926
4,第4章 乳品；蛋...,312,西班牙,11267260
4,第4章 乳品；蛋...,315,奥地利,2694028
4,第4章 乳品；蛋...,318,芬兰,10565183
4,第4章 乳品；蛋...,327,波兰,9061507
4,第4章 乳品；蛋...,340,白俄罗斯,6096343
4,第4章 乳品；蛋...,350,斯洛文尼亚,201127
4,第4章 乳品；蛋...,410,巴西,7910
4,第4章 乳品；蛋...,444,乌拉圭,21994032
4,第4章 乳品；蛋...,501,加拿大,72340
5,第5章 其他动物...,127,巴基斯坦,1999668
5,第5章 其他动物...,129,菲律宾,45301
5,第5章 其他动物...,227,马达加斯加,30209
5,第5章 其他动物...,244,南非,262135
5,第5章 其他动物...,250,乌干达,11545
5,第5章 其他动物...,305,法国,374934
5,第5章 其他动物...,306,爱尔兰,419445
5,第5章 其他动物...,307,意大利,121695
5,第5章 其他动物...,309,荷兰,4681753
5,第5章 其他动物...,310,希腊,63796
5,第5章 其他动物...,312,西班牙,5366803
5,第5章 其他动物...,321,匈牙利,379692
5,第5章 其他动物...,327,波兰,96348
5,第5章 其他动物...,340,白俄罗斯,174997
5,第5章 其他动物...,404,巴哈马,14845
5,第5章 其他动物...,410,巴西,24314
5,第5章 其他动物...,429,墨西哥,81773
5,第5章 其他动物...,444,乌拉圭,20578
5,第5章 其他动物...,501,加拿大,930823
6,第6章 活树及其...,224,肯尼亚,266346
6,第6章 活树及其...,244,南非,79772
6,第6章 活树及其...,250,乌干达,36747
6,第6章 活树及其...,254,津巴布韦,854
6,第6章 活树及其...,301,比利时,153144
6,第6章 活树及其...,305,法国,115099
6,第6章 活树及其...,307,意大利,77068
6,第6章 活树及其...,309,荷兰,4719556
6,第6章 活树及其...,312,西班牙,428610
6,第6章 活树及其...,316,保加利亚,471
6,第6章 活树及其...,327,波兰,43210
6,第6章 活树及其...,415,哥斯达黎加,257097
6,第6章 活树及其...,429,墨西哥,1604
7,第7章 食用蔬菜...,127,巴基斯坦,502971
7,第7章 食用蔬菜...,137,土耳其,774902
7,第7章 食用蔬菜...,244,南非,329875
7,第7章 食用蔬菜...,305,法国,2743298
7,第7章 食用蔬菜...,327,波兰,19318
7,第7章 食用蔬菜...,410,巴西,344
7,第7章 食用蔬菜...,501,加拿大,65035252
8,第8章 食用水果...,127,巴基斯坦,7456296
8,第8章 食用水果...,129,菲律宾,55743038
8,第8章 食用水果...,137,土耳其,3425031
8,第8章 食用水果...,138,阿联酋,5552
8,第8章 食用水果...,203,贝宁,158
8,第8章 食用水果...,244,南非,9332199
8,第8章 食用水果...,301,比利时,1258008
8,第8章 食用水果...,305,法国,791213
8,第8章 食用水果...,307,意大利,1309706
8,第8章 食用水果...,309,荷兰,354753
8,第8章 食用水果...,310,希腊,309287
8,第8章 食用水果...,327,波兰,298915
8,第8章 食用水果...,340,白俄罗斯,100393
8,第8章 食用水果...,408,多民族玻利维亚国,55
8,第8章 食用水果...,429,墨西哥,1503599
8,第8章 食用水果...,501,加拿大,1305910
9,第9章 咖啡、茶...,137,土耳其,519647
9,第9章 咖啡、茶...,138,阿联酋,3884
9,第9章 咖啡、茶...,224,肯尼亚,32565
9,第9章 咖啡、茶...,227,马达加斯加,471534
9,第9章 咖啡、茶...,233,莫桑比克,273
9,第9章 咖啡、茶...,244,南非,28
