商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章 活动物,124,蒙古,239396
1,第1章 活动物,305,法国,253727
1,第1章 活动物,309,荷兰,2794060
1,第1章 活动物,312,西班牙,3533384
2,第2章 肉及食用...,124,蒙古,2266172
2,第2章 肉及食用...,227,马达加斯加,154294
2,第2章 肉及食用...,244,南非,3565788
2,第2章 肉及食用...,301,比利时,2701250
2,第2章 肉及食用...,305,法国,25296729
2,第2章 肉及食用...,306,爱尔兰,8546372
2,第2章 肉及食用...,309,荷兰,42226732
2,第2章 肉及食用...,312,西班牙,102445240
2,第2章 肉及食用...,315,奥地利,833478
2,第2章 肉及食用...,318,芬兰,1623419
2,第2章 肉及食用...,340,白俄罗斯,12689844
2,第2章 肉及食用...,408,玻利维亚,38785507
2,第2章 肉及食用...,410,巴西,774399561
2,第2章 肉及食用...,415,哥斯达黎加,4907290
2,第2章 肉及食用...,431,尼加拉瓜,251406
2,第2章 肉及食用...,444,乌拉圭,90693590
2,第2章 肉及食用...,501,加拿大,31553132
3,第3章 鱼、甲壳...,124,蒙古,48480
3,第3章 鱼、甲壳...,127,巴基斯坦,14576203
3,第3章 鱼、甲壳...,129,菲律宾,9133280
3,第3章 鱼、甲壳...,137,土耳其,500209
3,第3章 鱼、甲壳...,220,加纳,81194
3,第3章 鱼、甲壳...,224,肯尼亚,847811
3,第3章 鱼、甲壳...,227,马达加斯加,808216
3,第3章 鱼、甲壳...,233,莫桑比克,55114
3,第3章 鱼、甲壳...,244,南非,3394024
3,第3章 鱼、甲壳...,305,法国,6339961
3,第3章 鱼、甲壳...,306,爱尔兰,1943472
3,第3章 鱼、甲壳...,309,荷兰,2756307
3,第3章 鱼、甲壳...,310,希腊,21740
3,第3章 鱼、甲壳...,312,西班牙,7876439
3,第3章 鱼、甲壳...,326,挪威,113560572
3,第3章 鱼、甲壳...,327,波兰,16745
3,第3章 鱼、甲壳...,357,法罗群岛,14173901
3,第3章 鱼、甲壳...,410,巴西,4484010
3,第3章 鱼、甲壳...,427,牙买加,77927
3,第3章 鱼、甲壳...,429,墨西哥,16859764
3,第3章 鱼、甲壳...,431,尼加拉瓜,2541398
3,第3章 鱼、甲壳...,444,乌拉圭,3065704
3,第3章 鱼、甲壳...,501,加拿大,157705178
3,第3章 鱼、甲壳...,503,格陵兰,46976407
4,第4章 乳品；蛋...,108,塞浦路斯,784
4,第4章 乳品；蛋...,137,土耳其,3321470
4,第4章 乳品；蛋...,138,阿联酋,1295259
4,第4章 乳品；蛋...,301,比利时,8720463
4,第4章 乳品；蛋...,305,法国,18199497
4,第4章 乳品；蛋...,306,爱尔兰,7723151
4,第4章 乳品；蛋...,307,意大利,5935426
4,第4章 乳品；蛋...,309,荷兰,17060503
4,第4章 乳品；蛋...,310,希腊,467984
4,第4章 乳品；蛋...,312,西班牙,4854359
4,第4章 乳品；蛋...,315,奥地利,1640860
4,第4章 乳品；蛋...,318,芬兰,3393441
4,第4章 乳品；蛋...,327,波兰,7192408
4,第4章 乳品；蛋...,340,白俄罗斯,5870108
4,第4章 乳品；蛋...,350,斯洛文尼亚,33700
4,第4章 乳品；蛋...,410,巴西,226432
4,第4章 乳品；蛋...,444,乌拉圭,1234745
4,第4章 乳品；蛋...,501,加拿大,19498
5,第5章 其他动物...,124,蒙古,66006
5,第5章 其他动物...,127,巴基斯坦,1178331
5,第5章 其他动物...,129,菲律宾,74807
5,第5章 其他动物...,220,加纳,8049
5,第5章 其他动物...,233,莫桑比克,33502
5,第5章 其他动物...,244,南非,1026528
5,第5章 其他动物...,305,法国,2552241
5,第5章 其他动物...,306,爱尔兰,256915
5,第5章 其他动物...,307,意大利,26481
5,第5章 其他动物...,309,荷兰,7040768
5,第5章 其他动物...,310,希腊,70451
5,第5章 其他动物...,312,西班牙,4072922
5,第5章 其他动物...,315,奥地利,7381
5,第5章 其他动物...,321,匈牙利,2102156
5,第5章 其他动物...,327,波兰,3376749
5,第5章 其他动物...,340,白俄罗斯,120573
5,第5章 其他动物...,410,巴西,53377
5,第5章 其他动物...,444,乌拉圭,6270312
5,第5章 其他动物...,501,加拿大,3244534
6,第6章 活树及其...,109,朝鲜,2124
6,第6章 活树及其...,127,巴基斯坦,902
6,第6章 活树及其...,137,土耳其,39134
6,第6章 活树及其...,224,肯尼亚,112701
6,第6章 活树及其...,244,南非,230090
6,第6章 活树及其...,254,津巴布韦,237
6,第6章 活树及其...,301,比利时,104479
6,第6章 活树及其...,305,法国,149242
6,第6章 活树及其...,307,意大利,103783
6,第6章 活树及其...,309,荷兰,9369618
6,第6章 活树及其...,312,西班牙,370393
6,第6章 活树及其...,316,保加利亚,1494
6,第6章 活树及其...,327,波兰,289
6,第6章 活树及其...,410,巴西,149086
6,第6章 活树及其...,415,哥斯达黎加,50590
6,第6章 活树及其...,429,墨西哥,1557
7,第7章 食用蔬菜...,127,巴基斯坦,125600
7,第7章 食用蔬菜...,137,土耳其,954587
7,第7章 食用蔬菜...,307,意大利,96
