Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,302,Denmark,4009004.0
1,Live animals,331,Switzerland,45.0
1,Live animals,352,Czechia（Czech Republic）,52000.0
1,Live animals,353,Slovakia,31401.0
1,Live animals,413,Colombia,342.0
1,Live animals,609,New Zealand,652666.0
2,Meat and edible meat offal,302,Denmark,38338669.0
2,Meat and edible meat offal,328,Romania,391340.0
2,Meat and edible meat offal,402,Argentina,28912398.0
2,Meat and edible meat offal,412,Chile,20207600.0
2,Meat and edible meat offal,609,New Zealand,70625463.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Bangladesh,8424180.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",105,Brunei,162460.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",106,Myanmar,2825051.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",107,Cambodia,220668.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",134,Sri Lanka,83958.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",232,Morocco,25817.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",247,Tanzania,553559.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Denmark,4141482.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,Portugal,588829.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",322,Iceland,7422692.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",334,Estonia,571618.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",402,Argentina,11132823.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",412,Chile,20107640.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",413,Colombia,31742.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",416,Cuba,2042086.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",418,Dominican Republic,18003.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",419,Ecuador,19050928.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",434,Peru,921795.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",602,Cook Islands,97433.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",603,Fiji,1078.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",608,Vanuatu,266575.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",609,New Zealand,27095622.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",611,Papua New Guinea,401702.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",146,Kyrgyzstan,232598.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",253,Zambia,36000.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",302,Denmark,2562213.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",308,Luxembourg,41239.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",311,Portugal,105000.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",330,Sweden,54580.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",331,Switzerland,1514546.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",335,Latvia,30816.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",347,Ukraine,250875.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",352,Czechia（Czech Republic）,14228.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",402,Argentina,2928196.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",412,Chile,649921.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",609,New Zealand,115019850.0
5,"roducts of animal origin,not elsewhere specified or included",103,Bangladesh,12688.0
5,"roducts of animal origin,not elsewhere specified or included",121,"Macao,China",347.0
5,"roducts of animal origin,not elsewhere specified or included",236,Nigeria,31992.0
5,"roducts of animal origin,not elsewhere specified or included",246,Sudan,1100.0
5,"roducts of animal origin,not elsewhere specified or included",247,Tanzania,205340.0
5,"roducts of animal origin,not elsewhere specified or included",302,Denmark,2695735.0
5,"roducts of animal origin,not elsewhere specified or included",322,Iceland,42126.0
5,"roducts of animal origin,not elsewhere specified or included",426,Honduras,19258.0
5,"roducts of animal origin,not elsewhere specified or included",603,Fiji,7153.0
5,"roducts of animal origin,not elsewhere specified or included",609,New Zealand,4553301.0
5,"roducts of animal origin,not elsewhere specified or included",623,French Polynesia,46420.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",115,Israel,18722.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",228,Malawi,34.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",247,Tanzania,29024.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",302,Denmark,13524.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",311,Portugal,13369.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",412,Chile,1131475.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",413,Colombia,88544.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",419,Ecuador,500357.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",423,Guatemala,2458.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",434,Peru,1059.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",609,New Zealand,247907.0
7,Edible vegetables and certain roots and tubers,106,Myanmar,1955115.0
7,Edible vegetables and certain roots and tubers,302,Denmark,46.0
7,Edible vegetables and certain roots and tubers,311,Portugal,79119.0
7,Edible vegetables and certain roots and tubers,609,New Zealand,468995.0
