Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,Live animals,302,Denmark,2624557.0
1,Live animals,311,Portugal,406653.0
1,Live animals,331,Switzerland,51.0
1,Live animals,352,Czechia（Czech Republic）,34000.0
1,Live animals,353,Slovakia,27182.0
1,Live animals,412,Chile,1337300.0
1,Live animals,609,New Zealand,13515686.0
2,Meat and edible meat offal,302,Denmark,65392728.0
2,Meat and edible meat offal,328,Romania,491888.0
2,Meat and edible meat offal,402,Argentina,26162272.0
2,Meat and edible meat offal,412,Chile,17687113.0
2,Meat and edible meat offal,609,New Zealand,86864510.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Bangladesh,7191505.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",105,Brunei,108884.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",106,Myanmar,2453735.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",107,Cambodia,212382.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",134,Sri Lanka,45737.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",215,Egypt,435005.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",232,Morocco,1238362.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",247,Tanzania,317331.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Denmark,1152783.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,Portugal,612919.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",322,Iceland,3344894.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",334,Estonia,1126618.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",402,Argentina,9686743.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",412,Chile,14093351.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",413,Colombia,27005.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",416,Cuba,552870.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",419,Ecuador,10519387.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",434,Peru,724195.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",603,Fiji,321.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",609,New Zealand,30111867.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",611,Papua New Guinea,78189.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",131,Saudi Arabia,33590.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",215,Egypt,502.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",302,Denmark,2800474.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",308,Luxembourg,168608.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",311,Portugal,4425.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",330,Sweden,1749089.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",331,Switzerland,643367.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",335,Latvia,67803.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",402,Argentina,1722551.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",412,Chile,780375.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",609,New Zealand,127885630.0
5,"roducts of animal origin,not elsewhere specified or included",103,Bangladesh,192859.0
5,"roducts of animal origin,not elsewhere specified or included",107,Cambodia,3019.0
5,"roducts of animal origin,not elsewhere specified or included",232,Morocco,30000.0
5,"roducts of animal origin,not elsewhere specified or included",236,Nigeria,20045.0
5,"roducts of animal origin,not elsewhere specified or included",247,Tanzania,91053.0
5,"roducts of animal origin,not elsewhere specified or included",302,Denmark,3033855.0
5,"roducts of animal origin,not elsewhere specified or included",322,Iceland,4.0
5,"roducts of animal origin,not elsewhere specified or included",330,Sweden,756.0
5,"roducts of animal origin,not elsewhere specified or included",331,Switzerland,1995.0
5,"roducts of animal origin,not elsewhere specified or included",413,Colombia,22261.0
5,"roducts of animal origin,not elsewhere specified or included",419,Ecuador,16887.0
5,"roducts of animal origin,not elsewhere specified or included",603,Fiji,20863.0
5,"roducts of animal origin,not elsewhere specified or included",609,New Zealand,7609397.0
5,"roducts of animal origin,not elsewhere specified or included",623,French Polynesia,47343.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",115,Israel,44609.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",247,Tanzania,43611.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",302,Denmark,748.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",311,Portugal,15532.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",412,Chile,135.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",413,Colombia,167269.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",419,Ecuador,534263.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",423,Guatemala,17614.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",609,New Zealand,6683.0
7,Edible vegetables and certain roots and tubers,106,Myanmar,2067674.0
7,Edible vegetables and certain roots and tubers,107,Cambodia,406600.0
7,Edible vegetables and certain roots and tubers,251,Burkina Faso,511.0
7,Edible vegetables and certain roots and tubers,328,Romania,9218.0
7,Edible vegetables and certain roots and tubers,330,Sweden,62197.0
7,Edible vegetables and certain roots and tubers,412,Chile,14375.0
7,Edible vegetables and certain roots and tubers,434,Peru,3233.0
7,Edible vegetables and certain roots and tubers,609,New Zealand,1099175.0
8,Edible fruit and nuts; peel of citrus fruit or melons,106,Myanmar,824895.0
8,Edible fruit and nuts; peel of citrus fruit or melons,114,Iraq,22852.0
8,Edible fruit and nuts; peel of citrus fruit or melons,115,Israel,292043.0
8,Edible fruit and nuts; peel of citrus fruit or melons,131,Saudi Arabia,8425.0
8,Edible fruit and nuts; peel of citrus fruit or melons,146,Kyrgyzstan,61848.0
8,Edible fruit and nuts; peel of citrus fruit or melons,215,Egypt,6621449.0
8,Edible fruit and nuts; peel of citrus fruit or melons,247,Tanzania,78190.0
8,Edible fruit and nuts; peel of citrus fruit or melons,330,Sweden,2507767.0
8,Edible fruit and nuts; peel of citrus fruit or melons,335,Latvia,544632.0
8,Edible fruit and nuts; peel of citrus fruit or melons,402,Argentina,1128770.0
8,Edible fruit and nuts; peel of citrus fruit or melons,412,Chile,155590903.0
8,Edible fruit and nuts; peel of citrus fruit or melons,419,Ecuador,12508845.0
8,Edible fruit and nuts; peel of citrus fruit or melons,434,Peru,11819623.0
8,Edible fruit and nuts; peel of citrus fruit or melons,609,New Zealand,27092725.0
9,"Coffee, tea, maté and spices",106,Myanmar,12000.0
9,"Coffee, tea, maté and spices",115,Israel,14161.0
9,"Coffee, tea, maté and spices",121,"Macao,China",2106.0
9,"Coffee, tea, maté and spices",134,Sri Lanka,3171276.0
9,"Coffee, tea, maté and spices",144,Timor-Leste,45496.0
9,"Coffee, tea, maté and spices",215,Egypt,790.0
9,"Coffee, tea, maté and spices",232,Morocco,29065.0
9,"Coffee, tea, maté and spices",236,Nigeria,6406.0
9,"Coffee, tea, maté and spices",238,Rwanda,294.0
9,"Coffee, tea, maté and spices",247,Tanzania,2469.0
9,"Coffee, tea, maté and spices",311,Portugal,11947.0
9,"Coffee, tea, maté and spices",330,Sweden,28099.0
9,"Coffee, tea, maté and spices",331,Switzerland,201267.0
9,"Coffee, tea, maté and spices",352,Czechia（Czech Republic）,13773.0
9,"Coffee, tea, maté and spices",402,Argentina,42042.0
9,"Coffee, tea, maté and spices",413,Colombia,726682.0
9,"Coffee, tea, maté and spices",423,Guatemala,351041.0
9,"Coffee, tea, maté and spices",426,Honduras,2507.0
9,"Coffee, tea, maté and spices",434,Peru,9660.0
9,"Coffee, tea, maté and spices",609,New Zealand,2190.0
9,"Coffee, tea, maté and spices",611,Papua New Guinea,8517.0
10,Cereals,106,Myanmar,733000.0
10,Cereals,107,Cambodia,7416421.0
10,Cereals,115,Israel,241.0
10,Cereals,347,Ukraine,193450337.0
10,Cereals,402,Argentina,63301.0
10,Cereals,412,Chile,22958.0
10,Cereals,434,Peru,127682.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,107,Cambodia,2712474.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,302,Denmark,170100.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,330,Sweden,3357.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,412,Chile,406862.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",103,Bangladesh,257524.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",106,Myanmar,3812178.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",115,Israel,949304.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",215,Egypt,93150.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",229,Mali,9084405.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",232,Morocco,1064.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",236,Nigeria,171114.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",246,Sudan,3070823.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",247,Tanzania,699866.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",248,Togo,18211411.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",251,Burkina Faso,53242.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",302,Denmark,2567439.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",311,Portugal,83.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",328,Romania,388.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",330,Sweden,47503.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",343,Moldova,32337.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",347,Ukraine,304571.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",352,Czechia（Czech Republic）,1595102.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",402,Argentina,30180169.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",412,Chile,7127023.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",419,Ecuador,273056.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",433,Paraguay,618846.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",434,Peru,3843928.0
