Commodity code,Commodity,Trading partner code,Trading partner,US dollar
1,,146,Kyrgyzstan,90000.0
1,,215,Egypt,21063.0
1,,246,Sudan,32096.0
1,,353,Slovakia,9353.0
1,,402,Argentina,650000.0
1,,434,Peru,106456.0
1,,609,New Zealand,969557.0
2,,302,Denmark,23701523.0
2,,402,Argentina,71814999.0
2,,412,Chile,17929385.0
2,,413,Colombia,90.0
2,,609,New Zealand,127034005.0
3,,103,Bangladesh,7269680.0
3,,105,Brunei,110959.0
3,,106,Myanmar,1452929.0
3,,107,Cambodia,28202.0
3,,134,Sri Lanka,193538.0
3,,215,Egypt,128143.0
3,,228,Malawi,1124.0
3,,232,Morocco,44108.0
3,,236,Nigeria,1650.0
3,,247,Tanzania,569739.0
3,,302,Denmark,830255.0
3,,311,Portugal,4028471.0
3,,322,Iceland,16071326.0
3,,334,Estonia,3297344.0
3,,402,Argentina,22424173.0
3,,412,Chile,39997517.0
3,,413,Colombia,26914.0
3,,416,Cuba,1382986.0
3,,419,Ecuador,68838025.0
3,,434,Peru,7813343.0
3,,602,Cook Islands,420309.0
3,,608,Vanuatu,9408085.0
3,,609,New Zealand,30322258.0
3,,611,Papua New Guinea,7929341.0
3,,620,The Federated States of Micronesia,314327.0
4,,106,Myanmar,35.0
4,,146,Kyrgyzstan,29509.0
4,,302,Denmark,4564963.0
4,,311,Portugal,40575.0
4,,328,Romania,153.0
4,,330,Sweden,1746272.0
4,,331,Switzerland,1554685.0
4,,334,Estonia,275365.0
4,,347,Ukraine,2247276.0
4,,352,Czechia（Czech Republic）,31255.0
4,,402,Argentina,1687986.0
4,,412,Chile,565000.0
4,,609,New Zealand,190065950.0
5,,103,Bangladesh,110245.0
5,,106,Myanmar,31233.0
5,,146,Kyrgyzstan,6613.0
5,,236,Nigeria,19725.0
5,,247,Tanzania,88812.0
5,,302,Denmark,3162789.0
5,,330,Sweden,73430.0
5,,347,Ukraine,1371790.0
5,,352,Czechia（Czech Republic）,351050.0
5,,402,Argentina,24906.0
5,,412,Chile,100164.0
5,,433,Paraguay,17233.0
5,,609,New Zealand,12571299.0
5,,623,French Polynesia,45720.0
6,,115,Israel,81597.0
6,,134,Sri Lanka,1271.0
6,,228,Malawi,1292.0
6,,232,Morocco,233.0
6,,247,Tanzania,87974.0
6,,253,Zambia,272.0
6,,311,Portugal,7309.0
6,,411,Cayman Islands,153.0
6,,412,Chile,33267.0
6,,413,Colombia,126460.0
6,,419,Ecuador,1051991.0
6,,423,Guatemala,31122.0
6,,434,Peru,95.0
6,,609,New Zealand,88041.0
7,,106,Myanmar,1405915.0
7,,311,Portugal,17302.0
7,,434,Peru,4707.0
7,,609,New Zealand,984289.0
8,,106,Myanmar,3907393.0
8,,107,Cambodia,172082.0
8,,114,Iraq,44154.0
8,,115,Israel,991866.0
8,,131,Saudi Arabia,17594.0
8,,134,Sri Lanka,126.0
8,,146,Kyrgyzstan,310955.0
8,,215,Egypt,5691355.0
8,,232,Morocco,2277804.0
8,,330,Sweden,2600650.0
8,,335,Latvia,113095.0
8,,347,Ukraine,234319.0
8,,402,Argentina,1848466.0
8,,412,Chile,24410965.0
8,,419,Ecuador,12985069.0
8,,423,Guatemala,298671.0
8,,434,Peru,7557611.0
8,,609,New Zealand,64648351.0
9,,106,Myanmar,40534.0
9,,115,Israel,159.0
9,,121,"Macao,China",4904.0
9,,134,Sri Lanka,5465231.0
