商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
1,第1章 活动物,121,中国澳门,34000
1,第1章 活动物,331,瑞士,62
1,第1章 活动物,434,秘鲁,140420
1,第1章 活动物,609,新西兰,1088183
2,第2章 肉及食用...,302,丹麦,27876881
2,第2章 肉及食用...,311,葡萄牙,509134
2,第2章 肉及食用...,331,瑞士,1280440
2,第2章 肉及食用...,347,乌克兰,1280932
2,第2章 肉及食用...,402,阿根廷,160488406
2,第2章 肉及食用...,412,智利,41603810
2,第2章 肉及食用...,413,哥伦比亚,1811896
2,第2章 肉及食用...,432,巴拿马,20407
2,第2章 肉及食用...,609,新西兰,59872143
3,第3章 鱼、甲壳...,103,孟加拉国,9776704
3,第3章 鱼、甲壳...,105,文莱,94189
3,第3章 鱼、甲壳...,106,缅甸,20048252
3,第3章 鱼、甲壳...,107,柬埔寨,30471
3,第3章 鱼、甲壳...,131,沙特阿拉伯,4926282
3,第3章 鱼、甲壳...,134,斯里兰卡,525536
3,第3章 鱼、甲壳...,215,埃及,24571
3,第3章 鱼、甲壳...,232,摩洛哥,913848
3,第3章 鱼、甲壳...,247,坦桑尼亚,2722063
3,第3章 鱼、甲壳...,302,丹麦,853377
3,第3章 鱼、甲壳...,311,葡萄牙,4917651
3,第3章 鱼、甲壳...,322,冰岛,10509129
3,第3章 鱼、甲壳...,334,爱沙尼亚,1087920
3,第3章 鱼、甲壳...,335,拉脱维亚,532080
3,第3章 鱼、甲壳...,402,阿根廷,20166236
3,第3章 鱼、甲壳...,412,智利,25708229
3,第3章 鱼、甲壳...,413,哥伦比亚,171304
3,第3章 鱼、甲壳...,416,古巴,1864101
3,第3章 鱼、甲壳...,419,厄瓜多尔,229136570
3,第3章 鱼、甲壳...,426,洪都拉斯,247873
3,第3章 鱼、甲壳...,432,巴拿马,141371
3,第3章 鱼、甲壳...,434,秘鲁,21548362
3,第3章 鱼、甲壳...,445,委内瑞拉,1202041
3,第3章 鱼、甲壳...,608,瓦努阿图,827402
3,第3章 鱼、甲壳...,609,新西兰,39597313
3,第3章 鱼、甲壳...,611,巴布亚新几内亚,210397
3,第3章 鱼、甲壳...,620,密克罗尼西亚联邦,10782048
4,第4章 乳品；蛋...,146,吉尔吉斯斯坦,18100
4,第4章 乳品；蛋...,302,丹麦,5933922
4,第4章 乳品；蛋...,311,葡萄牙,465
4,第4章 乳品；蛋...,330,瑞典,2278
4,第4章 乳品；蛋...,331,瑞士,502206
4,第4章 乳品；蛋...,334,爱沙尼亚,222915
4,第4章 乳品；蛋...,347,乌克兰,159250
4,第4章 乳品；蛋...,352,捷克,73683
4,第4章 乳品；蛋...,353,斯洛伐克,21862
4,第4章 乳品；蛋...,402,阿根廷,1188609
4,第4章 乳品；蛋...,609,新西兰,215848082
5,第5章 其他动物...,103,孟加拉国,115104
5,第5章 其他动物...,106,缅甸,150491
5,第5章 其他动物...,215,埃及,236927
5,第5章 其他动物...,232,摩洛哥,51812
5,第5章 其他动物...,236,尼日利亚,457031
5,第5章 其他动物...,247,坦桑尼亚,46822
5,第5章 其他动物...,302,丹麦,3456005
5,第5章 其他动物...,322,冰岛,140584
5,第5章 其他动物...,347,乌克兰,778315
5,第5章 其他动物...,426,洪都拉斯,27282
5,第5章 其他动物...,609,新西兰,5880207
5,第5章 其他动物...,623,法属波利尼西亚,102068
6,第6章 活树及其...,115,以色列,81647
6,第6章 活树及其...,247,坦桑尼亚,69831
6,第6章 活树及其...,302,丹麦,133
6,第6章 活树及其...,311,葡萄牙,2038
6,第6章 活树及其...,347,乌克兰,500
6,第6章 活树及其...,412,智利,307360
6,第6章 活树及其...,413,哥伦比亚,409453
6,第6章 活树及其...,419,厄瓜多尔,229294
6,第6章 活树及其...,423,危地马拉,5998
6,第6章 活树及其...,434,秘鲁,1170722
6,第6章 活树及其...,609,新西兰,1102192
7,第7章 食用蔬菜...,106,缅甸,20419849
7,第7章 食用蔬菜...,215,埃及,24426
7,第7章 食用蔬菜...,247,坦桑尼亚,7375
7,第7章 食用蔬菜...,609,新西兰,1280537
8,第8章 食用水果...,101,阿富汗,37299
8,第8章 食用水果...,106,缅甸,1027913
8,第8章 食用水果...,107,柬埔寨,15805081
8,第8章 食用水果...,131,沙特阿拉伯,139573
8,第8章 食用水果...,134,斯里兰卡,27974
8,第8章 食用水果...,146,吉尔吉斯斯坦,7506
8,第8章 食用水果...,215,埃及,1810622
8,第8章 食用水果...,229,马里,797300
8,第8章 食用水果...,232,摩洛哥,269995
8,第8章 食用水果...,247,坦桑尼亚,515831
8,第8章 食用水果...,248,多哥,750584
8,第8章 食用水果...,330,瑞典,1567854
8,第8章 食用水果...,402,阿根廷,184461
8,第8章 食用水果...,412,智利,18167816
8,第8章 食用水果...,419,厄瓜多尔,14898875
8,第8章 食用水果...,432,巴拿马,413
8,第8章 食用水果...,434,秘鲁,30735426
8,第8章 食用水果...,609,新西兰,117251217
9,第9章 咖啡、茶...,106,缅甸,3748467
9,第9章 咖啡、茶...,107,柬埔寨,49011
9,第9章 咖啡、茶...,121,中国澳门,9802
9,第9章 咖啡、茶...,134,斯里兰卡,5497929
9,第9章 咖啡、茶...,201,阿尔及利亚,214
9,第9章 咖啡、茶...,215,埃及,41412
9,第9章 咖啡、茶...,228,马拉维,19566
9,第9章 咖啡、茶...,232,摩洛哥,52489
9,第9章 咖啡、茶...,238,卢旺达,846507
9,第9章 咖啡、茶...,247,坦桑尼亚,29117
9,第9章 咖啡、茶...,302,丹麦,16888
9,第9章 咖啡、茶...,311,葡萄牙,163365
9,第9章 咖啡、茶...,330,瑞典,95897
9,第9章 咖啡、茶...,331,瑞士,1727078
9,第9章 咖啡、茶...,412,智利,403
9,第9章 咖啡、茶...,413,哥伦比亚,7562971
9,第9章 咖啡、茶...,419,厄瓜多尔,5785
9,第9章 咖啡、茶...,423,危地马拉,80
9,第9章 咖啡、茶...,426,洪都拉斯,19795
9,第9章 咖啡、茶...,432,巴拿马,1068408
9,第9章 咖啡、茶...,434,秘鲁,508358
9,第9章 咖啡、茶...,609,新西兰,33025
9,第9章 咖啡、茶...,611,巴布亚新几内亚,973745
10,第10章 谷物,106,缅甸,26133617
10,第10章 谷物,107,柬埔寨,531250
10,第10章 谷物,347,乌克兰,78523680
10,第10章 谷物,402,阿根廷,105762559
10,第10章 谷物,412,智利,447
10,第10章 谷物,434,秘鲁,207237
11,第11章 制粉工业...,107,柬埔寨,578997
11,第11章 制粉工业...,215,埃及,43
11,第11章 制粉工业...,302,丹麦,126338
11,第11章 制粉工业...,328,罗马尼亚,272
11,第11章 制粉工业...,412,智利,657730
11,第11章 制粉工业...,434,秘鲁,984
12,第12章 含油子仁...,101,阿富汗,43839
12,第12章 含油子仁...,103,孟加拉国,1392347
12,第12章 含油子仁...,106,缅甸,7338088
12,第12章 含油子仁...,115,以色列,68689
12,第12章 含油子仁...,134,斯里兰卡,720
12,第12章 含油子仁...,215,埃及,68553
12,第12章 含油子仁...,229,马里,261435
12,第12章 含油子仁...,236,尼日利亚,2023019
12,第12章 含油子仁...,246,苏丹,39666173
12,第12章 含油子仁...,247,坦桑尼亚,105753902
12,第12章 含油子仁...,248,多哥,1095595
12,第12章 含油子仁...,251,布基纳法索,95085
12,第12章 含油子仁...,253,赞比亚,136972
12,第12章 含油子仁...,302,丹麦,1628134
12,第12章 含油子仁...,328,罗马尼亚,901358
12,第12章 含油子仁...,347,乌克兰,1376002
12,第12章 含油子仁...,352,捷克,71127
12,第12章 含油子仁...,402,阿根廷,309448715
12,第12章 含油子仁...,412,智利,9023734
12,第12章 含油子仁...,423,危地马拉,276225
12,第12章 含油子仁...,426,洪都拉斯,4714
12,第12章 含油子仁...,434,秘鲁,1886020
12,第12章 含油子仁...,603,斐济,462494
12,第12章 含油子仁...,608,瓦努阿图,910122
12,第12章 含油子仁...,609,新西兰,1244747
12,第12章 含油子仁...,611,巴布亚新几内亚,53
12,第12章 含油子仁...,613,所罗门群岛,267852
13,第13章 虫胶；树...,106,缅甸,334318
13,第13章 虫胶；树...,115,以色列,38400
13,第13章 虫胶；树...,236,尼日利亚,19396
13,第13章 虫胶；树...,246,苏丹,989653
13,第13章 虫胶；树...,247,坦桑尼亚,186459
13,第13章 虫胶；树...,302,丹麦,432028
13,第13章 虫胶；树...,325,摩纳哥,2452
13,第13章 虫胶；树...,331,瑞士,66751
13,第13章 虫胶；树...,352,捷克,27062
13,第13章 虫胶；树...,402,阿根廷,176764
13,第13章 虫胶；树...,412,智利,472342
13,第13章 虫胶；树...,434,秘鲁,110935
13,第13章 虫胶；树...,609,新西兰,20733
14,第14章 编结用植...,106,缅甸,127022
14,第14章 编结用植...,134,斯里兰卡,1286204
14,第14章 编结用植...,146,吉尔吉斯斯坦,45160
14,第14章 编结用植...,247,坦桑尼亚,144878
14,第14章 编结用植...,412,智利,217646
14,第14章 编结用植...,419,厄瓜多尔,73142
14,第14章 编结用植...,433,巴拉圭,277928
14,第14章 编结用植...,434,秘鲁,4395285
14,第14章 编结用植...,609,新西兰,56064
14,第14章 编结用植...,613,所罗门群岛,37372
15,动、植物或微生物油、...,106,缅甸,911748
15,动、植物或微生物油、...,115,以色列,250080
15,动、植物或微生物油、...,134,斯里兰卡,65840
15,动、植物或微生物油、...,215,埃及,5700
15,动、植物或微生物油、...,232,摩洛哥,36058
15,动、植物或微生物油、...,236,尼日利亚,91236
15,动、植物或微生物油、...,302,丹麦,602900
15,动、植物或微生物油、...,311,葡萄牙,551025
15,动、植物或微生物油、...,322,冰岛,176573
15,动、植物或微生物油、...,325,摩纳哥,144
15,动、植物或微生物油、...,330,瑞典,425922
15,动、植物或微生物油、...,331,瑞士,1169343
15,动、植物或微生物油、...,347,乌克兰,25430287
15,动、植物或微生物油、...,352,捷克,65449
15,动、植物或微生物油、...,402,阿根廷,19819064
15,动、植物或微生物油、...,412,智利,1765574
15,动、植物或微生物油、...,413,哥伦比亚,428518
15,动、植物或微生物油、...,426,洪都拉斯,2540
15,动、植物或微生物油、...,432,巴拿马,11628
15,动、植物或微生物油、...,433,巴拉圭,173343
15,动、植物或微生物油、...,434,秘鲁,18270361
15,动、植物或微生物油、...,609,新西兰,3353763
15,动、植物或微生物油、...,623,法属波利尼西亚,11877
16,第16章 肉、鱼、...,134,斯里兰卡,40397
16,第16章 肉、鱼、...,302,丹麦,237837
16,第16章 肉、鱼、...,311,葡萄牙,5850
16,第16章 肉、鱼、...,322,冰岛,261157
16,第16章 肉、鱼、...,335,拉脱维亚,179354
16,第16章 肉、鱼、...,412,智利,268532
16,第16章 肉、鱼、...,434,秘鲁,854551
16,第16章 肉、鱼、...,609,新西兰,36193
17,第17章 糖及糖食,106,缅甸,1758
17,第17章 糖及糖食,107,柬埔寨,54336
17,第17章 糖及糖食,115,以色列,31250
17,第17章 糖及糖食,121,中国澳门,1075
17,第17章 糖及糖食,146,吉尔吉斯斯坦,452
17,第17章 糖及糖食,232,摩洛哥,6000
17,第17章 糖及糖食,302,丹麦,381826
17,第17章 糖及糖食,329,圣马力诺,9710
17,第17章 糖及糖食,330,瑞典,199
17,第17章 糖及糖食,331,瑞士,751303
17,第17章 糖及糖食,347,乌克兰,880712
17,第17章 糖及糖食,352,捷克,495
17,第17章 糖及糖食,353,斯洛伐克,40
17,第17章 糖及糖食,402,阿根廷,98530
17,第17章 糖及糖食,412,智利,239517
17,第17章 糖及糖食,413,哥伦比亚,38468
17,第17章 糖及糖食,419,厄瓜多尔,44695
17,第17章 糖及糖食,609,新西兰,2803710
18,第18章 可可及可...,107,柬埔寨,652725
18,第18章 可可及可...,131,沙特阿拉伯,375
18,第18章 可可及可...,134,斯里兰卡,1588
18,第18章 可可及可...,146,吉尔吉斯斯坦,1834
18,第18章 可可及可...,236,尼日利亚,386524
18,第18章 可可及可...,248,多哥,2587243
18,第18章 可可及可...,329,圣马力诺,69837
18,第18章 可可及可...,330,瑞典,32939
18,第18章 可可及可...,331,瑞士,7827934
18,第18章 可可及可...,352,捷克,14866
18,第18章 可可及可...,402,阿根廷,66688
18,第18章 可可及可...,413,哥伦比亚,11259
18,第18章 可可及可...,418,多米尼加,2124
18,第18章 可可及可...,419,厄瓜多尔,2886195
18,第18章 可可及可...,434,秘鲁,308
18,第18章 可可及可...,609,新西兰,475511
18,第18章 可可及可...,611,巴布亚新几内亚,3485625
19,第19章 谷物、粮...,103,孟加拉国,91331
19,第19章 谷物、粮...,106,缅甸,87893
19,第19章 谷物、粮...,107,柬埔寨,53020
19,第19章 谷物、粮...,121,中国澳门,90834
19,第19章 谷物、粮...,131,沙特阿拉伯,32019
19,第19章 谷物、粮...,134,斯里兰卡,1008
19,第19章 谷物、粮...,146,吉尔吉斯斯坦,1233
19,第19章 谷物、粮...,215,埃及,3375
19,第19章 谷物、粮...,302,丹麦,7329977
19,第19章 谷物、粮...,311,葡萄牙,22806
19,第19章 谷物、粮...,329,圣马力诺,329
19,第19章 谷物、粮...,330,瑞典,1515771
19,第19章 谷物、粮...,331,瑞士,4658383
19,第19章 谷物、粮...,347,乌克兰,125629
19,第19章 谷物、粮...,412,智利,125488
19,第19章 谷物、粮...,609,新西兰,146515665
20,第20章 蔬菜、水...,106,缅甸,2109
20,第20章 蔬菜、水...,107,柬埔寨,9127790
20,第20章 蔬菜、水...,115,以色列,7033456
20,第20章 蔬菜、水...,121,中国澳门,1549
20,第20章 蔬菜、水...,134,斯里兰卡,18861
20,第20章 蔬菜、水...,215,埃及,16745
20,第20章 蔬菜、水...,302,丹麦,57849
20,第20章 蔬菜、水...,329,圣马力诺,177635
20,第20章 蔬菜、水...,330,瑞典,155453
20,第20章 蔬菜、水...,331,瑞士,370399
20,第20章 蔬菜、水...,343,摩尔多瓦,61068
20,第20章 蔬菜、水...,354,北马其顿,59696
20,第20章 蔬菜、水...,402,阿根廷,563026
20,第20章 蔬菜、水...,412,智利,4016943
20,第20章 蔬菜、水...,413,哥伦比亚,95316
20,第20章 蔬菜、水...,419,厄瓜多尔,72224
20,第20章 蔬菜、水...,434,秘鲁,549
20,第20章 蔬菜、水...,609,新西兰,140242
20,第20章 蔬菜、水...,623,法属波利尼西亚,52304
21,第21章 杂项食品,101,阿富汗,26
21,第21章 杂项食品,106,缅甸,48229
21,第21章 杂项食品,115,以色列,717926
21,第21章 杂项食品,121,中国澳门,306465
21,第21章 杂项食品,131,沙特阿拉伯,2820
21,第21章 杂项食品,134,斯里兰卡,83774
21,第21章 杂项食品,201,阿尔及利亚,398
21,第21章 杂项食品,215,埃及,8858
21,第21章 杂项食品,232,摩洛哥,59910
21,第21章 杂项食品,257,斯威士兰,49
21,第21章 杂项食品,302,丹麦,3129934
21,第21章 杂项食品,311,葡萄牙,637
21,第21章 杂项食品,328,罗马尼亚,32016
21,第21章 杂项食品,329,圣马力诺,83819
21,第21章 杂项食品,330,瑞典,3885282
21,第21章 杂项食品,331,瑞士,8028983
21,第21章 杂项食品,334,爱沙尼亚,43234
21,第21章 杂项食品,335,拉脱维亚,47645
21,第21章 杂项食品,352,捷克,567210
21,第21章 杂项食品,353,斯洛伐克,54958
21,第21章 杂项食品,402,阿根廷,394
21,第21章 杂项食品,412,智利,134
21,第21章 杂项食品,413,哥伦比亚,294982
21,第21章 杂项食品,416,古巴,20280
21,第21章 杂项食品,419,厄瓜多尔,128832
21,第21章 杂项食品,434,秘鲁,21030
21,第21章 杂项食品,603,斐济,1286
21,第21章 杂项食品,609,新西兰,20925831
22,第22章 饮料、酒...,103,孟加拉国,29089
22,第22章 饮料、酒...,106,缅甸,188103
22,第22章 饮料、酒...,107,柬埔寨,28975
22,第22章 饮料、酒...,114,伊拉克,110
22,第22章 饮料、酒...,115,以色列,607
22,第22章 饮料、酒...,117,约旦,56
22,第22章 饮料、酒...,121,中国澳门,189668
22,第22章 饮料、酒...,130,卡塔尔,40
22,第22章 饮料、酒...,131,沙特阿拉伯,927
22,第22章 饮料、酒...,134,斯里兰卡,12
22,第22章 饮料、酒...,201,阿尔及利亚,72
22,第22章 饮料、酒...,215,埃及,38473
22,第22章 饮料、酒...,226,利比亚,62
22,第22章 饮料、酒...,232,摩洛哥,61
22,第22章 饮料、酒...,302,丹麦,741060
22,第22章 饮料、酒...,311,葡萄牙,2161159
22,第22章 饮料、酒...,328,罗马尼亚,19399
22,第22章 饮料、酒...,330,瑞典,1365778
22,第22章 饮料、酒...,331,瑞士,52423
22,第22章 饮料、酒...,334,爱沙尼亚,124803
22,第22章 饮料、酒...,335,拉脱维亚,650
22,第22章 饮料、酒...,343,摩尔多瓦,488218
22,第22章 饮料、酒...,347,乌克兰,139236
22,第22章 饮料、酒...,352,捷克,177135
22,第22章 饮料、酒...,354,北马其顿,54115
22,第22章 饮料、酒...,355,波斯尼亚和黑塞哥维那,1683
22,第22章 饮料、酒...,402,阿根廷,1306785
22,第22章 饮料、酒...,412,智利,11979938
22,第22章 饮料、酒...,416,古巴,50
22,第22章 饮料、酒...,418,多米尼加,33
22,第22章 饮料、酒...,432,巴拿马,14954
22,第22章 饮料、酒...,434,秘鲁,70
22,第22章 饮料、酒...,504,百慕大,160
22,第22章 饮料、酒...,603,斐济,695366
22,第22章 饮料、酒...,609,新西兰,9643299
23,第23章 食品工业...,106,缅甸,475751
23,第23章 食品工业...,107,柬埔寨,77067
23,第23章 食品工业...,215,埃及,173304
23,第23章 食品工业...,232,摩洛哥,395
23,第23章 食品工业...,246,苏丹,29379
23,第23章 食品工业...,247,坦桑尼亚,2338087
23,第23章 食品工业...,248,多哥,9094
23,第23章 食品工业...,302,丹麦,2270012
23,第23章 食品工业...,331,瑞士,157979
23,第23章 食品工业...,334,爱沙尼亚,152618
23,第23章 食品工业...,347,乌克兰,21066054
23,第23章 食品工业...,352,捷克,110131
23,第23章 食品工业...,402,阿根廷,6208810
23,第23章 食品工业...,412,智利,12022564
23,第23章 食品工业...,419,厄瓜多尔,13627772
23,第23章 食品工业...,432,巴拿马,5266112
23,第23章 食品工业...,434,秘鲁,245321065
23,第23章 食品工业...,609,新西兰,3610759
24,第24章 烟草、烟...,107,柬埔寨,485239
24,第24章 烟草、烟...,121,中国澳门,1244730
24,第24章 烟草、烟...,247,坦桑尼亚,682
24,第24章 烟草、烟...,302,丹麦,116195
