数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202107,1,第1章   活动物,110,中国香港,264434993.0
202107,1,第1章   活动物,116,日本,268169.0
202107,1,第1章   活动物,122,马来西亚,50519.0
202107,1,第1章   活动物,132,新加坡,435598.0
202107,1,第1章   活动物,133,韩国,2115537.0
202107,1,第1章   活动物,136,泰国,152497.0
202107,1,第1章   活动物,141,越南,776922.0
202107,1,第1章   活动物,143,中国台湾,112721.0
202107,1,第1章   活动物,304,德国,101301.0
202107,1,第1章   活动物,344,俄罗斯,745346.0
202107,1,第1章   活动物,502,美国,848399.0
202107,2,第2章   肉及食用杂碎,110,中国香港,359109675.0
202107,2,第2章   肉及食用杂碎,116,日本,575257.0
202107,2,第2章   肉及食用杂碎,122,马来西亚,9131390.0
202107,2,第2章   肉及食用杂碎,136,泰国,13125.0
202107,2,第2章   肉及食用杂碎,145,哈萨克斯坦,5143203.0
202107,2,第2章   肉及食用杂碎,304,德国,1310125.0
202107,2,第2章   肉及食用杂碎,337,格鲁吉亚,3528175.0
202107,2,第2章   肉及食用杂碎,344,俄罗斯,210815.0
202107,2,第2章   肉及食用杂碎,502,美国,1362154.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,82301.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,653785230.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,83216692.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,913540019.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,140391.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,93834883.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,93232.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,31988781.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,511348216.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,250550349.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,181840762.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,166116106.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,684107.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,202,安哥拉,315584.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,4481481.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,4240997.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,4009510.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,57071608.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,225,利比里亚,265282.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,10654431.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,634755.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,1250125.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,552430.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,242,塞拉利昂,1626939.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,687769.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,463901.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,172847524.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,231233805.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,337,格鲁吉亚,147878.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,92231704.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,1681909.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,403,阿鲁巴,189927.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,440,萨尔瓦多,93077.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,1882610.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,635155307.0
202107,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,34284639.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,115772059.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,111,印度,1800.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,132565.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,27513815.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,2550337.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,126,阿曼,427244.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,9826807.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,10028956.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,9007340.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,29258835.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,2978376.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,124952.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,351,克罗地亚,231446.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,7613354.0
202107,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,8236108.0
202107,5,第5章   其他动物产品,110,中国香港,26992240.0
202107,5,第5章   其他动物产品,111,印度,1907672.0
202107,5,第5章   其他动物产品,112,印度尼西亚,34585581.0
202107,5,第5章   其他动物产品,116,日本,95353706.0
202107,5,第5章   其他动物产品,122,马来西亚,1664560.0
202107,5,第5章   其他动物产品,132,新加坡,43327.0
202107,5,第5章   其他动物产品,133,韩国,18318171.0
202107,5,第5章   其他动物产品,136,泰国,31917220.0
202107,5,第5章   其他动物产品,141,越南,148216639.0
202107,5,第5章   其他动物产品,143,中国台湾,28567093.0
202107,5,第5章   其他动物产品,149,乌兹别克斯坦,6920.0
202107,5,第5章   其他动物产品,231,毛里求斯,141610.0
202107,5,第5章   其他动物产品,249,突尼斯,71126.0
202107,5,第5章   其他动物产品,303,英国,34972275.0
202107,5,第5章   其他动物产品,304,德国,190184541.0
202107,5,第5章   其他动物产品,344,俄罗斯,462729.0
202107,5,第5章   其他动物产品,502,美国,144702391.0
202107,5,第5章   其他动物产品,601,澳大利亚,844330.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,110,中国香港,5999434.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,6225406.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,112,印度尼西亚,376375.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,116,日本,69255520.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,119,老挝,38824.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,122,马来西亚,2765624.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,126,阿曼,69651.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,132,新加坡,5990633.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,133,韩国,33386516.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,136,泰国,8008415.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,141,越南,3957440.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,143,中国台湾,3238402.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,145,哈萨克斯坦,1275895.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,217,埃塞俄比亚,14455.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,303,英国,976310.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,304,德国,7540153.0
202107,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,344,俄罗斯,16477.0
