数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202211,1,第1章   活动物,110,中国香港,316220741.0
202211,1,第1章   活动物,112,印度尼西亚,94712.0
202211,1,第1章   活动物,116,日本,803531.0
202211,1,第1章   活动物,122,马来西亚,91550.0
202211,1,第1章   活动物,125,尼泊尔,711.0
202211,1,第1章   活动物,132,新加坡,130229.0
202211,1,第1章   活动物,133,韩国,4324099.0
202211,1,第1章   活动物,136,泰国,100258.0
202211,1,第1章   活动物,141,越南,8269024.0
202211,1,第1章   活动物,143,中国台湾,145766.0
202211,1,第1章   活动物,303,英国,21974.0
202211,1,第1章   活动物,304,德国,287234.0
202211,1,第1章   活动物,344,俄罗斯,31997.0
202211,1,第1章   活动物,502,美国,3098192.0
202211,2,第2章   肉及食用杂碎,102,巴林,6188097.0
202211,2,第2章   肉及食用杂碎,110,中国香港,458173713.0
202211,2,第2章   肉及食用杂碎,116,日本,4054571.0
202211,2,第2章   肉及食用杂碎,122,马来西亚,1058813.0
202211,2,第2章   肉及食用杂碎,141,越南,2813814.0
202211,2,第2章   肉及食用杂碎,304,德国,2030141.0
202211,2,第2章   肉及食用杂碎,337,格鲁吉亚,5254373.0
202211,2,第2章   肉及食用杂碎,344,俄罗斯,5946996.0
202211,2,第2章   肉及食用杂碎,502,美国,900900.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,953295389.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,2035167.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,131754918.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,545751.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,1178761513.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,170652.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,12443.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,210499857.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,715672.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,63334747.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,793588898.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,239482493.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,149686827.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,444436602.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,149,乌兹别克斯坦,190561.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,731671.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,5618821.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,536132.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,34257903.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,9116273.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,342726.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,3903731.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,650057.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,688759.0
202211,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,537530.0
