数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202311,1,第1章   活动物,110,中国香港,247696822.0
202311,1,第1章   活动物,116,日本,2380668.0
202311,1,第1章   活动物,122,马来西亚,130161.0
202311,1,第1章   活动物,125,尼泊尔,420000.0
202311,1,第1章   活动物,132,新加坡,792433.0
202311,1,第1章   活动物,133,韩国,4713733.0
202311,1,第1章   活动物,136,泰国,76679.0
202311,1,第1章   活动物,141,越南,5296524.0
202311,1,第1章   活动物,143,中国台湾,83857.0
202311,1,第1章   活动物,303,英国,59778.0
202311,1,第1章   活动物,304,德国,123559.0
202311,1,第1章   活动物,344,俄罗斯,658865.0
202311,1,第1章   活动物,502,美国,7730043.0
202311,2,第2章   肉及食用杂碎,102,巴林,12362555.0
202311,2,第2章   肉及食用杂碎,110,中国香港,386496082.0
202311,2,第2章   肉及食用杂碎,116,日本,5657440.0
202311,2,第2章   肉及食用杂碎,119,老挝,1527364.0
202311,2,第2章   肉及食用杂碎,122,马来西亚,13248694.0
202311,2,第2章   肉及食用杂碎,136,泰国,261011.0
202311,2,第2章   肉及食用杂碎,141,越南,24.0
202311,2,第2章   肉及食用杂碎,145,哈萨克斯坦,3206083.0
202311,2,第2章   肉及食用杂碎,150,格鲁吉亚,10040523.0
202311,2,第2章   肉及食用杂碎,225,利比里亚,301087.0
202311,2,第2章   肉及食用杂碎,242,塞拉利昂,312838.0
202311,2,第2章   肉及食用杂碎,304,德国,873584.0
202311,2,第2章   肉及食用杂碎,344,俄罗斯,49971380.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,705596907.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,2513.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,74715481.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,3722367.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,1146955269.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,3739000.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,142617525.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,1856410.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,57757123.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,984662404.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,211550711.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,218810994.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,349534587.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,1870331.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,149,乌兹别克斯坦,389488.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,150,格鲁吉亚,1003686.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,152,阿塞拜疆,1969366.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,202,安哥拉,886878.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,1253971.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,2827062.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,145715.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,138134.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,1860926.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,63298209.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,225,利比里亚,1189166.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,4818218.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,343540.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,20721391.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,573086.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,314175.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,1329521.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,504675.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,191711193.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,173496871.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,87805327.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,1240798.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,403,阿鲁巴,347631.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,725459.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,440,萨尔瓦多,1432363.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,607709.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,613367897.0
202311,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,61847139.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,168141021.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,169408.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,51902956.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,119,老挝,72760.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,120,黎巴嫩,33385.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,2725600.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,125,尼泊尔,53954.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,126,阿曼,294108.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,11877532.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,13744508.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,6577558.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,255774.0
202311,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,231,毛里求斯,53799.0
