数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202304,1,第1章   活动物,110,中国香港,238432245.0
202304,1,第1章   活动物,112,印度尼西亚,71427.0
202304,1,第1章   活动物,116,日本,1060057.0
202304,1,第1章   活动物,122,马来西亚,114493.0
202304,1,第1章   活动物,132,新加坡,295170.0
202304,1,第1章   活动物,133,韩国,2780094.0
202304,1,第1章   活动物,136,泰国,72799.0
202304,1,第1章   活动物,141,越南,666558.0
202304,1,第1章   活动物,303,英国,1717.0
202304,1,第1章   活动物,304,德国,375083.0
202304,1,第1章   活动物,344,俄罗斯,350977.0
202304,1,第1章   活动物,351,克罗地亚,9787.0
202304,1,第1章   活动物,502,美国,6623192.0
202304,2,第2章   肉及食用杂碎,102,巴林,13275075.0
202304,2,第2章   肉及食用杂碎,110,中国香港,370097052.0
202304,2,第2章   肉及食用杂碎,116,日本,3297465.0
202304,2,第2章   肉及食用杂碎,119,老挝,259500.0
202304,2,第2章   肉及食用杂碎,122,马来西亚,27580911.0
202304,2,第2章   肉及食用杂碎,136,泰国,129152.0
202304,2,第2章   肉及食用杂碎,141,越南,2133750.0
202304,2,第2章   肉及食用杂碎,150,格鲁吉亚,14007863.0
202304,2,第2章   肉及食用杂碎,202,安哥拉,253130.0
202304,2,第2章   肉及食用杂碎,225,利比里亚,356010.0
202304,2,第2章   肉及食用杂碎,304,德国,4689526.0
202304,2,第2章   肉及食用杂碎,344,俄罗斯,4199139.0
202304,2,第2章   肉及食用杂碎,502,美国,2416328.0
202304,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,611964720.0
202304,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,4416673.0
202304,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,92976823.0
202304,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,987117544.0
202304,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,895977.0
202304,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,516538.0
